# Adolescence Rank Table T-1.6
# Source: RMSS Cultures & Races appendix, p.2.
# Generated by .scratch/build_adolescence_table.py.
#
# Format: tab-separated. Header row = culture names; subsequent
# rows are skill rows with one starting-rank value per culture.
# Some rows are 'skill category' rows; the rest are leaf skills.
#
skill	Hillmen	Mariners	Nomads	Ruralmen	Urbanmen	Woodmen	High Men	Wood Elves	Grey Elves	High Elves	Half-elves	Dwarves	Halflings	Common Orcs	Greater Orcs	Half-orcs
Armor • Light skill category	1	2	1	1	1	1	1	0	0	0	1	1	0	3	3	3
Soft Leather skill	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1
Rigid Leather skill	1	2	0	1	0	0	1	0	0	0	1	1	0	3	3	3
Armor • Medium skill category	0	0	0	0	0	0	2	0	0	0	1	3	0	2	3	1
Chain skill	0	0	0	0	0	0	2	0	0	0	1	3	0	2	3	1
Athletic • Brawn skill category	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Athletic • Endurance skill category	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Swimming skill	1	5	0	1	1	1	1	3	2	2	1	0	0	0	0	0
Athletic • Gymnastics skill category	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Climbing skill	5	0	0	0	0	3	0	2	1	0	1	1	2	1	1	1
Awareness • Perceptions skill category	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alertness skill	2	2	2	2	2	2	2	6	6	6	2	4	8	2	2	2
Awareness • Searching skill category	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Body Development skill	3	2	2	2	1	2	3	1	1	1	1	3	2	2	3	2
Communications skill category	1	1	1	1	3	1	3	2	3	4	3	1	1	0	0	0
Language skills †	4	10	4	8	10	4	12	12	16	20	8	8	6	4	4	4
Lore • General skill category	3	3	3	3	3	3	3	3	3	3	3	3	2	1	1	2
“Own” Region Lore skill	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
“Own” Culture Lore skill	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Outdoor • Animal skill category	0	0	5	1	0	0	1	1	1	1	1	0	0	0	1	0
Riding skill (usually horses)	0	0	5	1	0	0	1	1	1	1	1	0	0	0	1	0
Outdoor • Environmental skill category	4	1	3	2	0	5	1	5	4	3	3	2	1	2	2	2
Power Awareness skill category *	0	0	0	0	2	0	1	1	1	2	1	0	0	0	0	0
Science/Analytic • Basic skill category	0	1	0	0	1	0	1	1	1	2	1	1	0	0	0	0
Spells • Own Realm Open Lists –	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
skill in one spell list *	0	1	0	0	2	0	0	2	3	4	1	0	0	0	0	0
Subterfuge • Stealth skill category	2	0	0	1	0	4	0	4	3	2	2	0	5	0	0	0
Stalking skill	2	0	0	1	0	4	0	4	3	2	2	0	5	0	0	0
Hiding skill	2	0	0	1	0	4	0	4	3	2	2	0	5	0	0	0
Tech./Trade • General skill category	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Urban skill skill category	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Weapon • 1-H Conc. skill category	1	0	0	0	0	0	0	0	0	0	0	4	0	3	1	3
1 Weapon Based on Culture/Race ‡	1	0	0	0	0	0	0	0	0	0	0	4	0	3	1	3
Weapon • 1-H Edged skill category	0	2	1	1	1	1	2	1	1	1	1	0	0	0	4	0
1 Weapon Based on Culture/Race ‡	0	2	1	1	1	1	2	1	1	1	1	0	0	0	4	0
Weapon • 2-Handed skill category	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
1 Weapon Based on Culture/Race ‡	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Weapon • Missile skill category	1	1	2	1	1	1	1	3	2	1	2	0	2	0	1	1
1 Weapon Based on Culture/Race ‡	1	1	2	1	1	1	1	3	2	1	2	0	2	0	1	1
Weapon • Pole-arms skill category	2	0	2	1	0	1	1	0	0	0	0	0	0	1	1	0
1 Weapon Based on Culture/Race ‡	2	0	2	1	0	1	1	0	0	0	0	0	0	1	1	0
Weapon • Thrown skill category	2	1	1	1	0	1	0	0	0	0	0	1	2	1	1	1
1 Weapon Based on Culture/Race ‡	2	1	1	1	0	1	0	0	0	0	0	1	2	1	1	1
Hobby Ranks (see Section 13.0) ‡	12	12	12	12	12	12	10	10	8	6	10	12	12	12	10	12
Number of Background Options §	6/5	6/5	6/5	6/5	6/5	6/5	4	4	3	2	4	5	5	5	4	5
