# Critical Strike Table 4.1 — Brawling
# Transcribed from author-supplied PDF (X:\RMFRPSuite\brawling_crit.pdf).
#
@name:           Brawling
@table_number:   4.1
@crit_type_code:
@notes:
@column_axis:    severity
#
01-05 | A | Feeble. You're getting old. | +0H
01-05 | B | Maybe next time.... | +0H
01-05 | C | Barely made it. | +1H
01-05 | D | Great move. | +2H
01-05 | E | Light blow, but foe's thinks it's your best. | +2H
06-10 | A | You hit foe's forehead. | +1H
06-10 | B | A glancing blow. | +1H
06-10 | C | You pull at foe's hair. | +2H
06-10 | D | You gain the initiative next round. | +2H
06-10 | E | Things just failed to connect right. | +3H – π
11-15 | A | Push foe with the punch. You receive initiative next round. | +1H
11-15 | B | Deflected blow, but you gain the initiative next round. | +2H
11-15 | C | You move quickly after blocking punch. You gain the initiative next round. | +2H
11-15 | D | Use your body like a broom. Foe is unbalanced. | +2H – π
11-15 | E | You block foe's forearm. You gain the initiative next round. | +4H – π
16-20 | A | Foe steps aside unbalanced. You gain the initiative next round. | +2H
16-20 | B | Your backhand is powerful. Strike foe across his face. You unbalance him. | +2H – π
16-20 | C | Step into foe to knock him down. Bash to side unbalances foe. | +3H – π
16-20 | D | Elbow to foe's side sends him reeling. Your follow-up swing misses. | +4H – 2π
16-20 | E | Duck in close and hammer foe's side. You gain the initiative next round. | +5H – ∑
21-35 | A | Good placement. You gain the initiative for the next two rounds. | +3H
21-35 | B | Push foe back and kick his leg. You gain the initiative next round. | +3H – π
21-35 | C | You try to sweep your foe off his feet. | +4H – π – (+10)
21-35 | D | You trip foe. He shuffles a full 15 feet before he gets his balance. | +5H – ∑ – π
21-35 | E | Cheap shot to foe's side bruises ribs. Foe crashes into the nearest obstacle. | +8H – ∑ – 4(-20)
36-45 | A | Slight abrasion. You gain the initiative for the next two rounds. | +4H
36-45 | B | Leg strike unsteadies foe. You stomp foe's feet for an extra advantage. | +4H – π
36-45 | C | Boot to calf hits hard. You have the initiative next round. | +5H – ∑ – (-20)
36-45 | D | You go in low and strike foe in his calf. He stumbles back with a nasty bruise. | +6H – 2∑
36-45 | E | Strike to the back of foe's leg gives you a back attack next round. | +10H – ∑
46-50 | A | Glancing blow to foe's back. You gain the initiative for the next three rounds. | +5H
46-50 | B | Foe lunges past you and you come down on his back. He realizes his pain. | +5H – ∑
46-50 | C | You grab foe and bring your knee into foe's side. Strike lifts foe up and sends foe reeling. | +6H – ∑ – (+5)
46-50 | D | Pull foe off balance and hammer him in the back with a solid fist. | +10H – ∑∏
46-50 | E | You bash foe brutally. Your strike is solid. | +10H – ∑∏
51-55 | A | Strike lands solid to the chest. Foe leaps back on the defensive. | +5H – π
51-55 | B | You strike foe in his chest. Foe reels. | +6H – ∑
51-55 | C | Classic grip to foe's collar garment. You punch him hard. He stumbles back 5 feet. | +8H – 2∑
51-55 | D | Chest strike causes deep bruise. Foe looks very surprised. | +10H – ∑∏ – (-10)
51-55 | E | Chest wound knocks foe down. Your attack puts you in the place he was just standing. | +10H – 2∑∏
56-60 | A | Foe kicks out at you and you strike his leg in response. | +5H – ∑
56-60 | B | You duck down and strike across at foe. Blow to thigh leaves a bad bruise. | +6H – 2∑
56-60 | C | Strike to foe's thigh. Your fist hits hard. | +8H – 2∑∏
56-60 | D | Bring your forearm down on foe's thigh, with most of your weight behind it. You have the initiative next round. | +10H – 2∑∏
56-60 | E | You do not know what a sweep or a throw is, but this surely seems like one. You slam foe to the ground. | +10H – 3∑∏
61-65 | A | Arm strike gives foe a bruised bicep. You are cruel. | +6H – (π-25)
61-65 | B | You block foe's guard and punch him in the face. He just stands there. | +6H – ∑∏
61-65 | C | Catch weapon arm and strike it across your own knee. Foe drops his weapon. | +8H – 2∑∏ – (+5)
61-65 | D | Strike to nerve in foe's upper arm causes him to drop whatever he is carrying. | +10H – 2∑∏ – (+5)
61-65 | E | Strong shoulder strike and a follow-up strike to the face. | +10H – 4∑∏
66    | A | Grapple foe's weapon arm and jerk his weapon free. Foe goes twisting and spinning out of your grasp. | +8H – 6∑ – (-15)
