# Critical Strike Table 4.4 — Large Creature
# Skeleton generated by extract_skeletons.py.
# Effect codes are extracted verbatim from the PDF by x-position bucketing.
# Narratives are TODO — fill in from your source copy.
# Some armor-conditional cells may be split across multiple lines tagged
# 'alt' — review and rename the condition (e.g. 'with shield' / 'without shield').
#
@name:           Large Creature
@table_number:   4.4
@crit_type_code: 
@notes:          Skeleton; narratives need to be transcribed.
@column_axis:    attack_type
@column_1:        normal
@column_2:        magic
@column_3:        mithril
@column_4:        holy_arms
@column_5:        slaying
#
01-05 | normal | TODO | +12H
01-05 | magic | TODO | +15H
01-05 | mithril | TODO | +18H
01-05 | holy_arms | TODO | +20H
01-05 | slaying | TODO | +5
06-10 | normal | TODO | +3H
06-10 | magic | TODO | +4H
06-10 | mithril | TODO | +5H
06-10 | holy_arms | TODO | +9H
06-10 | slaying | TODO | +10
11-15 | normal | TODO | +6H
11-15 | magic | TODO | +8H
11-15 | mithril | TODO | +9H
11-15 | holy_arms | TODO | +12H
11-15 | slaying | TODO | +15
16-20 | normal | TODO | +9H
16-20 | magic | TODO | +10H
16-20 | mithril | TODO | +12H
16-20 | holy_arms | TODO | +15H
16-20 | slaying | TODO | +20
21-35 | normal | TODO | +12H
21-35 | magic | TODO | +15H
21-35 | mithril | TODO | +20H
21-35 | holy_arms | TODO | +25H
21-35 | slaying | TODO | +30
36-45 | normal | TODO | +15H
36-45 | magic | TODO | +18H
36-45 | mithril | TODO | +25H
36-45 | holy_arms | TODO | +30H
36-45 | slaying | TODO | +12H – ∏ –
46-50 | normal | TODO | +20H
46-50 | magic | TODO | +5H – ∑
46-50 | mithril | TODO | +30H
46-50 | holy_arms | TODO | +10H – π –
46-50 | slaying | TODO | 2∫
51-55 | normal | TODO | —
51-55 | magic | TODO | +30H
51-55 | mithril | TODO | —
51-55 | holy_arms | TODO | — +20H
51-55 | slaying | TODO | +10H – 2∑
56-60 | normal | TODO | +25H
56-60 | magic | TODO | +30H
56-60 | mithril | TODO | +15H – 2∑ – (-20) – (+10)
56-60 | holy_arms | TODO | +20H – 2∑∏ – (+10)
56-60 | slaying | TODO | +20H – (+1
61-65 | normal | TODO | +30H
61-65 | magic | TODO | +13H – 3∑∏
61-65 | mithril | TODO | +20H – 2∑∏ –
61-65 | holy_arms | TODO | 3∫ +9H – ∑∏ – 3∫ – (-10)
61-65 | slaying | TODO | +15H – 3
66 | normal | TODO | +20H – 2∑∏ – (+10)
66 | magic | TODO | +22H – 3∑ – ∏
66 | mithril | TODO | +15H – 2∑ – 2∫ – (-20)
66 | holy_arms | TODO | +30H
66 | slaying | TODO | +25H – (+1
67-70 | normal | TODO | +18H – 3∑ – 5∫ –(-10)
67-70 | magic | TODO | +5H – 3∫ – (-25) – (+20)
67-70 | mithril | TODO | +30H – (+10)
67-70 | holy_arms | TODO | —
67-70 | slaying | TODO | —
71-75 | normal | TODO | —
71-75 | magic | TODO | +25H
71-75 | mithril | TODO | —
71-75 | holy_arms | TODO | — +15H – (+25)
71-75 | slaying | TODO | —
76-80 | normal | TODO | +24H – (+20)
76-80 | magic | TODO | +35H – ∑∏
76-80 | mithril | TODO | +20H – 6∑∏
76-80 | holy_arms | TODO | +5H – 2∑∏ – (-100)
76-80 | slaying | TODO | —
81-85 | normal | TODO | +50H – 3∑∏ – (-35)
81-85 | magic | TODO | +20H – (+10)
81-85 | mithril | TODO | +60H
81-85 | holy_arms | TODO | +3H – 2∑ – 2∫ – (-30)
81-85 | slaying | TODO | +20H – 6∑∏ – 1
86-90 | normal | TODO | —
86-90 | magic | TODO | —
86-90 | mithril | TODO | —
86-90 | holy_arms | TODO | — —
86-90 | slaying | TODO | (+2
91-95 | normal | TODO | you. Foe dies in 12 rounds. You
91-95 | magic | TODO | are mighty in battle.
91-95 | mithril | TODO | rounds, then drops and dies in 6
91-95 | holy_arms | TODO | waist down. You will not have trouble
91-95 | slaying | TODO | rounds. You have half the round to act.
96-99 | normal | TODO | +35H – (+15)
96-99 | magic | TODO | +10H – (+20)
96-99 | mithril | TODO | +5H – 2(-20)
96-99 | holy_arms | TODO | +20H
96-99 | slaying | TODO | (+2
100 | normal | TODO | +15H – 6∑ – (-30)
100 | magic | TODO | +15H
100 | mithril | TODO | +20H – 2(+15)
100 | holy_arms | TODO | +25H – 3(+20)
100 | slaying | TODO | —
