# Critical Strike Table 4.4-H — Large (Holy Weapon)
# Source: Rolemaster Fantasy Roleplaying — Arms Law (ERA: arms_law)
# Auto-generated by .scratch/build_crit_tables.py from the .era archive.
#
@name:           Large (Holy Weapon)
@table_number:   4.4-H
@crit_type_code: 
@notes:          Source ERA: rmfrpArmsLaw.criticals.era; variant abbreviation 'LPH'.
@column_axis:    severity
#
01-05 | A | No Damage. Large creatures ignore criticals of severity A. | 
01-05 | B | Glancing blow shakes you up. You suffer a -10 penalty next round. | +20H
01-05 | C | Glancing blow shakes you up. You suffer a -10 penalty next round. | +20H
01-05 | D | Glancing blow shakes you up. You suffer a -10 penalty next round. | +20H
01-05 | E | Glancing blow shakes you up. You suffer a -10 penalty next round. | +20H
06-10 | A | No Damage. Large creatures ignore criticals of severity A. | 
06-10 | B | Your swing lands lightly. You had hoped for better. | +9H
06-10 | C | Your swing lands lightly. You had hoped for better. | +9H
06-10 | D | Your swing lands lightly. You had hoped for better. | +9H
06-10 | E | Your swing lands lightly. You had hoped for better. | +9H
11-20 | A | No Damage. Large creatures ignore criticals of severity A. | 
11-20 | B | Your strike lands solid and righteous. You wish it had landed a little more. | +12H
11-20 | C | Your strike lands solid and righteous. You wish it had landed a little more. | +12H
11-20 | D | Your strike lands solid and righteous. You wish it had landed a little more. | +12H
11-20 | E | Your strike lands solid and righteous. You wish it had landed a little more. | +12H
21-30 | A | No Damage. Large creatures ignore criticals of severity A. | 
21-30 | B | You trip foe and slam his shin with your weapon. You are not being noble. | +15H
21-30 | C | You trip foe and slam his shin with your weapon. You are not being noble. | +15H
21-30 | D | You trip foe and slam his shin with your weapon. You are not being noble. | +15H
21-30 | E | You trip foe and slam his shin with your weapon. You are not being noble. | +15H
31-40 | A | No Damage. Large creatures ignore criticals of severity A. | 
31-40 | B | Your weapon sparks against the beast's hide and he realizes its mighty blessing. | +25H
31-40 | C | Your weapon sparks against the beast's hide and he realizes its mighty blessing. | +25H
31-40 | D | Your weapon sparks against the beast's hide and he realizes its mighty blessing. | +25H
31-40 | E | Your weapon sparks against the beast's hide and he realizes its mighty blessing. | +25H
41-50 | A | No Damage. Large creatures ignore criticals of severity A. | 
41-50 | B | Heavy blow with all of your weight behind it hits foe in his side. | +30H
41-50 | C | Heavy blow with all of your weight behind it hits foe in his side. | +30H
41-50 | D | Heavy blow with all of your weight behind it hits foe in his side. | +30H
41-50 | E | Heavy blow with all of your weight behind it hits foe in his side. | +30H
51-65 | A | No Damage. Large creatures ignore criticals of severity A. | 
51-65 | B | Strike lands lightly against foe's shoulder. You have the initiative for 3 rounds. Foe's blood gets all over you. | +10H - [Must Parry] - 2[Bleeding]
51-65 | C | Strike lands lightly against foe's shoulder. You have the initiative for 3 rounds. Foe's blood gets all over you. | +10H - [Must Parry] - 2[Bleeding]
51-65 | D | Strike lands lightly against foe's shoulder. You have the initiative for 3 rounds. Foe's blood gets all over you. | +10H - [Must Parry] - 2[Bleeding]
51-65 | E | Strike lands lightly against foe's shoulder. You have the initiative for 3 rounds. Foe's blood gets all over you. | +10H - [Must Parry] - 2[Bleeding]
66 | A | No Damage. Large creatures ignore criticals of severity A. | 
66 | B | Drive home your attack right between your foe's eyes. He dies instantly. You have half the round left. | +20H
66 | C | Drive home your attack right between your foe's eyes. He dies instantly. You have half the round left. | +20H
66 | D | Drive home your attack right between your foe's eyes. He dies instantly. You have half the round left. | +20H
66 | E | Drive home your attack right between your foe's eyes. He dies instantly. You have half the round left. | +20H
67-70 | A | No Damage. Large creatures ignore criticals of severity A. | 
67-70 | B | Foe loses his footing with your solid strike. He takes time to gain his balance. You are in good position. | +20H - 2[Stun No Parry] - (+10)
67-70 | C | Foe loses his footing with your solid strike. He takes time to gain his balance. You are in good position. | +20H - 2[Stun No Parry] - (+10)
67-70 | D | Foe loses his footing with your solid strike. He takes time to gain his balance. You are in good position. | +20H - 2[Stun No Parry] - (+10)
67-70 | E | Foe loses his footing with your solid strike. He takes time to gain his balance. You are in good position. | +20H - 2[Stun No Parry] - (+10)
71-80 | A | No Damage. Large creatures ignore criticals of severity A. | 
71-80 | B | Tear open foe's leg with a brutal side swing. Foe is unbalanced and bleeding. His guard goes down. | +9H - [Stun No Parry] - 3[Bleeding] - (-10)
71-80 | C | Tear open foe's leg with a brutal side swing. Foe is unbalanced and bleeding. His guard goes down. | +9H - [Stun No Parry] - 3[Bleeding] - (-10)
71-80 | D | Tear open foe's leg with a brutal side swing. Foe is unbalanced and bleeding. His guard goes down. | +9H - [Stun No Parry] - 3[Bleeding] - (-10)
71-80 | E | Tear open foe's leg with a brutal side swing. Foe is unbalanced and bleeding. His guard goes down. | +9H - [Stun No Parry] - 3[Bleeding] - (-10)
81-90 | A | No Damage. Large creatures ignore criticals of severity A. | 
81-90 | B | With a mighty cross swing you strike foe's head. If he has a helm (or hard head) you knock him out. If he has no helm, you behead him and he dies. | +30H
81-90 | C | With a mighty cross swing you strike foe's head. If he has a helm (or hard head) you knock him out. If he has no helm, you behead him and he dies. | +30H
81-90 | D | With a mighty cross swing you strike foe's head. If he has a helm (or hard head) you knock him out. If he has no helm, you behead him and he dies. | +30H
81-90 | E | With a mighty cross swing you strike foe's head. If he has a helm (or hard head) you knock him out. If he has no helm, you behead him and he dies. | +30H
91-95 | A | No Damage. Large creatures ignore criticals of severity A. | 
91-95 | B | Your victory strike. Your weapon crashes into foe's chest and downs him for 2 rounds. He dies in 6 rounds. | 
91-95 | C | Your victory strike. Your weapon crashes into foe's chest and downs him for 2 rounds. He dies in 6 rounds. | 
91-95 | D | Your victory strike. Your weapon crashes into foe's chest and downs him for 2 rounds. He dies in 6 rounds. | 
91-95 | E | Your victory strike. Your weapon crashes into foe's chest and downs him for 2 rounds. He dies in 6 rounds. | 
96-98 | A | No Damage. Large creatures ignore criticals of severity A. | 
96-98 | B | Strike foe in his ear. He dies next round. You are very confident in your combat skills. | +15H - (+25)
96-98 | C | Strike foe in his ear. He dies next round. You are very confident in your combat skills. | +15H - (+25)
96-98 | D | Strike foe in his ear. He dies next round. You are very confident in your combat skills. | +15H - (+25)
96-98 | E | Strike foe in his ear. He dies next round. You are very confident in your combat skills. | +15H - (+25)
