# Critical Strike Table 4.4-M — Large (Magic Weapon)
# Source: Rolemaster Fantasy Roleplaying — Arms Law (ERA: arms_law)
# Auto-generated by .scratch/build_crit_tables.py from the .era archive.
#
@name:           Large (Magic Weapon)
@table_number:   4.4-M
@crit_type_code: 
@notes:          Source ERA: rmfrpArmsLaw.criticals.era; variant abbreviation 'LPM'.
@column_axis:    severity
#
01-05 | A | No Damage. Large creatures ignore criticals of severity A. | 
01-05 | B | You fumble your weapon (roll on the fumble table). | +15H
01-05 | C | You fumble your weapon (roll on the fumble table). | +15H
01-05 | D | You fumble your weapon (roll on the fumble table). | +15H
01-05 | E | You fumble your weapon (roll on the fumble table). | +15H
06-10 | A | No Damage. Large creatures ignore criticals of severity A. | 
06-10 | B | Blow to foe's side. Pretty sparks. | +4H
06-10 | C | Blow to foe's side. Pretty sparks. | +4H
06-10 | D | Blow to foe's side. Pretty sparks. | +4H
06-10 | E | Blow to foe's side. Pretty sparks. | +4H
11-20 | A | No Damage. Large creatures ignore criticals of severity A. | 
11-20 | B | Your blade guides itself in, but you miss the opportunity. | +8H
11-20 | C | Your blade guides itself in, but you miss the opportunity. | +8H
11-20 | D | Your blade guides itself in, but you miss the opportunity. | +8H
11-20 | E | Your blade guides itself in, but you miss the opportunity. | +8H
21-30 | A | No Damage. Large creatures ignore criticals of severity A. | 
21-30 | B | You give out an epic strike, but foe is an epic creature. | +10H
21-30 | C | You give out an epic strike, but foe is an epic creature. | +10H
21-30 | D | You give out an epic strike, but foe is an epic creature. | +10H
21-30 | E | You give out an epic strike, but foe is an epic creature. | +10H
31-40 | A | No Damage. Large creatures ignore criticals of severity A. | 
31-40 | B | Hard strike to foe's thigh. It glances off. You really wish that had landed better. | +15H
31-40 | C | Hard strike to foe's thigh. It glances off. You really wish that had landed better. | +15H
31-40 | D | Hard strike to foe's thigh. It glances off. You really wish that had landed better. | +15H
31-40 | E | Hard strike to foe's thigh. It glances off. You really wish that had landed better. | +15H
41-50 | A | No Damage. Large creatures ignore criticals of severity A. | 
41-50 | B | Your blade bites into foe's skin with a hiss. Foe roars out at you. You ready yourself for what comes next. | +18H
41-50 | C | Your blade bites into foe's skin with a hiss. Foe roars out at you. You ready yourself for what comes next. | +18H
41-50 | D | Your blade bites into foe's skin with a hiss. Foe roars out at you. You ready yourself for what comes next. | +18H
41-50 | E | Your blade bites into foe's skin with a hiss. Foe roars out at you. You ready yourself for what comes next. | +18H
51-65 | A | No Damage. Large creatures ignore criticals of severity A. | 
51-65 | B | Blow to foe's back. It concerns him greatly. Good luck. | +5H - [Stun]
51-65 | C | Blow to foe's back. It concerns him greatly. Good luck. | +5H - [Stun]
51-65 | D | Blow to foe's back. It concerns him greatly. Good luck. | +5H - [Stun]
51-65 | E | Blow to foe's back. It concerns him greatly. Good luck. | +5H - [Stun]
66 | A | No Damage. Large creatures ignore criticals of severity A. | 
66 | B | Vicious strike to abdomenal region destroys a variety of organs. Foe falls over with a crash. He dies in 3 rounds. | +30H
66 | C | Vicious strike to abdomenal region destroys a variety of organs. Foe falls over with a crash. He dies in 3 rounds. | +30H
66 | D | Vicious strike to abdomenal region destroys a variety of organs. Foe falls over with a crash. He dies in 3 rounds. | +30H
66 | E | Vicious strike to abdomenal region destroys a variety of organs. Foe falls over with a crash. He dies in 3 rounds. | +30H
67-70 | A | No Damage. Large creatures ignore criticals of severity A. | 
67-70 | B | Blow to thigh leaves a bad bruise. Foe almost falls over on you. You leap clear. | +30H
67-70 | C | Blow to thigh leaves a bad bruise. Foe almost falls over on you. You leap clear. | +30H
67-70 | D | Blow to thigh leaves a bad bruise. Foe almost falls over on you. You leap clear. | +30H
67-70 | E | Blow to thigh leaves a bad bruise. Foe almost falls over on you. You leap clear. | +30H
71-80 | A | No Damage. Large creatures ignore criticals of severity A. | 
71-80 | B | Minor forearm wound. The beast's guard is down for an instant. Press your attack. | +13H - 3[Stun No Parry]
71-80 | C | Minor forearm wound. The beast's guard is down for an instant. Press your attack. | +13H - 3[Stun No Parry]
71-80 | D | Minor forearm wound. The beast's guard is down for an instant. Press your attack. | +13H - 3[Stun No Parry]
71-80 | E | Minor forearm wound. The beast's guard is down for an instant. Press your attack. | +13H - 3[Stun No Parry]
81-90 | A | No Damage. Large creatures ignore criticals of severity A. | 
81-90 | B | Hard blow to foe's back. If foe has wings they are damaged. If not, foe has broken ribs. | +22H - 3[Stun] - [No Parry]
81-90 | C | Hard blow to foe's back. If foe has wings they are damaged. If not, foe has broken ribs. | +22H - 3[Stun] - [No Parry]
81-90 | D | Hard blow to foe's back. If foe has wings they are damaged. If not, foe has broken ribs. | +22H - 3[Stun] - [No Parry]
81-90 | E | Hard blow to foe's back. If foe has wings they are damaged. If not, foe has broken ribs. | +22H - 3[Stun] - [No Parry]
91-95 | A | No Damage. Large creatures ignore criticals of severity A. | 
91-95 | B | You strike at foe's face. It hits and causes him some difficulty. | +5H - 3[Bleeding] - (-25) - (+20)
91-95 | C | You strike at foe's face. It hits and causes him some difficulty. | +5H - 3[Bleeding] - (-25) - (+20)
91-95 | D | You strike at foe's face. It hits and causes him some difficulty. | +5H - 3[Bleeding] - (-25) - (+20)
91-95 | E | You strike at foe's face. It hits and causes him some difficulty. | +5H - 3[Bleeding] - (-25) - (+20)
96-98 | A | No Damage. Large creatures ignore criticals of severity A. | 
96-98 | B | Your weapon plunges into foe's chest. He drops and dies in 3 rounds. Your weapon is stuck in him for 12 rounds. | +25H
96-98 | C | Your weapon plunges into foe's chest. He drops and dies in 3 rounds. Your weapon is stuck in him for 12 rounds. | +25H
96-98 | D | Your weapon plunges into foe's chest. He drops and dies in 3 rounds. Your weapon is stuck in him for 12 rounds. | +25H
96-98 | E | Your weapon plunges into foe's chest. He drops and dies in 3 rounds. Your weapon is stuck in him for 12 rounds. | +25H
99-100 | A | No Damage. Large creatures ignore criticals of severity A. | 
99-100 | B | Hard but flat strike. Your weapon takes much of the impact. In addition to his wound, your weapon is broken. | +35H - [Stun No Parry]
99-100 | C | Hard but flat strike. Your weapon takes much of the impact. In addition to his wound, your weapon is broken. | +35H - [Stun No Parry]
99-100 | D | Hard but flat strike. Your weapon takes much of the impact. In addition to his wound, your weapon is broken. | +35H - [Stun No Parry]
99-100 | E | Hard but flat strike. Your weapon takes much of the impact. In addition to his wound, your weapon is broken. | +35H - [Stun No Parry]
101-150 | A | No Damage. Large creatures ignore criticals of severity A. | 
101-150 | B | Strike foe in the side of his head. Foe stumbles back a few feet before he falls to the ground. He is out for 3 hours. | +20H - (+10)
101-150 | C | Strike foe in the side of his head. Foe stumbles back a few feet before he falls to the ground. He is out for 3 hours. | +20H - (+10)
101-150 | D | Strike foe in the side of his head. Foe stumbles back a few feet before he falls to the ground. He is out for 3 hours. | +20H - (+10)
101-150 | E | Strike foe in the side of his head. Foe stumbles back a few feet before he falls to the ground. He is out for 3 hours. | +20H - (+10)
151-175 | A | No Damage. Large creatures ignore criticals of severity A. | 
151-175 | B | Strike shatters foe's jaw and sends it up into his brain. Foe is dead before he hits the ground. Half round left to act. | 
151-175 | C | Strike shatters foe's jaw and sends it up into his brain. Foe is dead before he hits the ground. Half round left to act. | 
151-175 | D | Strike shatters foe's jaw and sends it up into his brain. Foe is dead before he hits the ground. Half round left to act. | 
151-175 | E | Strike shatters foe's jaw and sends it up into his brain. Foe is dead before he hits the ground. Half round left to act. | 
176-200 | A | No Damage. Large creatures ignore criticals of severity A. | 
176-200 | B | Shot along side foe's head penetrates his ear and he dies in 3 rounds. You are mighty in battle. | +10H - (+20)
176-200 | C | Shot along side foe's head penetrates his ear and he dies in 3 rounds. You are mighty in battle. | +10H - (+20)
176-200 | D | Shot along side foe's head penetrates his ear and he dies in 3 rounds. You are mighty in battle. | +10H - (+20)
176-200 | E | Shot along side foe's head penetrates his ear and he dies in 3 rounds. You are mighty in battle. | +10H - (+20)
201-250 | A | No Damage. Large creatures ignore criticals of severity A. | 
201-250 | B | Strike to foe's back. Hit severs spine. Foe is paralyzed from the neck down. Sadly, your weapon is broken. | +15H
201-250 | C | Strike to foe's back. Hit severs spine. Foe is paralyzed from the neck down. Sadly, your weapon is broken. | +15H
201-250 | D | Strike to foe's back. Hit severs spine. Foe is paralyzed from the neck down. Sadly, your weapon is broken. | +15H
201-250 | E | Strike to foe's back. Hit severs spine. Foe is paralyzed from the neck down. Sadly, your weapon is broken. | +15H
251-999 | A | No Damage. Large creatures ignore criticals of severity A. | 
251-999 | B | Strike through foe's eye proves fatal. He dies immediately. You avoid his fall. | +20H - (+25)
251-999 | C | Strike through foe's eye proves fatal. He dies immediately. You avoid his fall. | +20H - (+25)
251-999 | D | Strike through foe's eye proves fatal. He dies immediately. You avoid his fall. | +20H - (+25)
251-999 | E | Strike through foe's eye proves fatal. He dies immediately. You avoid his fall. | +20H - (+25)
