# Critical Strike Table 4.4-O — Large (Mithril Weapon)
# Source: Rolemaster Fantasy Roleplaying — Arms Law (ERA: arms_law)
# Auto-generated by .scratch/build_crit_tables.py from the .era archive.
#
@name:           Large (Mithril Weapon)
@table_number:   4.4-O
@crit_type_code: 
@notes:          Source ERA: rmfrpArmsLaw.criticals.era; variant abbreviation 'LPO'.
@column_axis:    severity
#
01-05 | A | No Damage. Large creatures ignore criticals of severity A. | 
01-05 | B | Your weapon bites hard, but you move poorly. Lose initiative. | +18H
01-05 | C | Your weapon bites hard, but you move poorly. Lose initiative. | +18H
01-05 | D | Your weapon bites hard, but you move poorly. Lose initiative. | +18H
01-05 | E | Your weapon bites hard, but you move poorly. Lose initiative. | +18H
06-10 | A | No Damage. Large creatures ignore criticals of severity A. | 
06-10 | B | Your weapon glances off foe's side and leaves a measurable wound. | +5H
06-10 | C | Your weapon glances off foe's side and leaves a measurable wound. | +5H
06-10 | D | Your weapon glances off foe's side and leaves a measurable wound. | +5H
06-10 | E | Your weapon glances off foe's side and leaves a measurable wound. | +5H
11-20 | A | No Damage. Large creatures ignore criticals of severity A. | 
11-20 | B | Blow shoulder. It's well placed, but you'll need a lucky shot at this pace. | +9H
11-20 | C | Blow shoulder. It's well placed, but you'll need a lucky shot at this pace. | +9H
11-20 | D | Blow shoulder. It's well placed, but you'll need a lucky shot at this pace. | +9H
11-20 | E | Blow shoulder. It's well placed, but you'll need a lucky shot at this pace. | +9H
21-30 | A | No Damage. Large creatures ignore criticals of severity A. | 
21-30 | B | You strike is solid, but your grip fails on impact. | +12H
21-30 | C | You strike is solid, but your grip fails on impact. | +12H
21-30 | D | You strike is solid, but your grip fails on impact. | +12H
21-30 | E | You strike is solid, but your grip fails on impact. | +12H
31-40 | A | No Damage. Large creatures ignore criticals of severity A. | 
31-40 | B | Your strike lands in a critical spot on foe's abdomen. You are unable to mortally wound him, for the moment. | +20H
31-40 | C | Your strike lands in a critical spot on foe's abdomen. You are unable to mortally wound him, for the moment. | +20H
31-40 | D | Your strike lands in a critical spot on foe's abdomen. You are unable to mortally wound him, for the moment. | +20H
31-40 | E | Your strike lands in a critical spot on foe's abdomen. You are unable to mortally wound him, for the moment. | +20H
41-50 | A | No Damage. Large creatures ignore criticals of severity A. | 
41-50 | B | Hack at foe's neck, landing on his shoulder. He moves before the strike bites deeper. | +25H
41-50 | C | Hack at foe's neck, landing on his shoulder. He moves before the strike bites deeper. | +25H
41-50 | D | Hack at foe's neck, landing on his shoulder. He moves before the strike bites deeper. | +25H
41-50 | E | Hack at foe's neck, landing on his shoulder. He moves before the strike bites deeper. | +25H
