# Critical Strike Table 4.4-N — Large (Normal Weapon)
# Source: Rolemaster Fantasy Roleplaying — Arms Law (ERA: arms_law)
# Auto-generated by .scratch/build_crit_tables.py from the .era archive.
#
@name:           Large (Normal Weapon)
@table_number:   4.4-N
@crit_type_code: 
@notes:          Source ERA: rmfrpArmsLaw.criticals.era; variant abbreviation 'LPN'.
@column_axis:    severity
#
01-05 | A | No Damage. Large creatures ignore criticals of severity A. | 
01-05 | B | Weapon shatters on foe's solid form. | +12H
01-05 | C | Weapon shatters on foe's solid form. | +12H
01-05 | D | Weapon shatters on foe's solid form. | +12H
01-05 | E | Weapon shatters on foe's solid form. | +12H
06-10 | A | No Damage. Large creatures ignore criticals of severity A. | 
06-10 | B | Solid, but futile. | +3H
06-10 | C | Solid, but futile. | +3H
06-10 | D | Solid, but futile. | +3H
06-10 | E | Solid, but futile. | +3H
11-20 | A | No Damage. Large creatures ignore criticals of severity A. | 
11-20 | B | Hardly enough for victory. Weak side strike. | +6H
11-20 | C | Hardly enough for victory. Weak side strike. | +6H
11-20 | D | Hardly enough for victory. Weak side strike. | +6H
11-20 | E | Hardly enough for victory. Weak side strike. | +6H
21-30 | A | No Damage. Large creatures ignore criticals of severity A. | 
21-30 | B | Strong blow to foe's forearm yields its measure. | +9H
21-30 | C | Strong blow to foe's forearm yields its measure. | +9H
21-30 | D | Strong blow to foe's forearm yields its measure. | +9H
21-30 | E | Strong blow to foe's forearm yields its measure. | +9H
31-40 | A | No Damage. Large creatures ignore criticals of severity A. | 
31-40 | B | Strike to beast's chest. Some unseen piece of protection blocks your attack. | +12H
31-40 | C | Strike to beast's chest. Some unseen piece of protection blocks your attack. | +12H
31-40 | D | Strike to beast's chest. Some unseen piece of protection blocks your attack. | +12H
31-40 | E | Strike to beast's chest. Some unseen piece of protection blocks your attack. | +12H
41-50 | A | No Damage. Large creatures ignore criticals of severity A. | 
41-50 | B | Strike lands upon foe's side. He responds by leaping back away from you. | +15H
41-50 | C | Strike lands upon foe's side. He responds by leaping back away from you. | +15H
41-50 | D | Strike lands upon foe's side. He responds by leaping back away from you. | +15H
41-50 | E | Strike lands upon foe's side. He responds by leaping back away from you. | +15H
51-65 | A | No Damage. Large creatures ignore criticals of severity A. | 
51-65 | B | Blow crashes into foe's leg. The damage is obvious by the look on his face. | +20H
51-65 | C | Blow crashes into foe's leg. The damage is obvious by the look on his face. | +20H
51-65 | D | Blow crashes into foe's leg. The damage is obvious by the look on his face. | +20H
51-65 | E | Blow crashes into foe's leg. The damage is obvious by the look on his face. | +20H
66 | A | No Damage. Large creatures ignore criticals of severity A. | 
66 | B | Well placed strike to foe's neck severs the jugular vein. Foe falls and dies in 6 rounds. | 
66 | C | Well placed strike to foe's neck severs the jugular vein. Foe falls and dies in 6 rounds. | 
66 | D | Well placed strike to foe's neck severs the jugular vein. Foe falls and dies in 6 rounds. | 
66 | E | Well placed strike to foe's neck severs the jugular vein. Foe falls and dies in 6 rounds. | 
67-70 | A | No Damage. Large creatures ignore criticals of severity A. | 
67-70 | B | Foe's leg catches your failing strike at the right moment. The leg is bruised badly. | +25H
67-70 | C | Foe's leg catches your failing strike at the right moment. The leg is bruised badly. | +25H
67-70 | D | Foe's leg catches your failing strike at the right moment. The leg is bruised badly. | +25H
67-70 | E | Foe's leg catches your failing strike at the right moment. The leg is bruised badly. | +25H
71-80 | A | No Damage. Large creatures ignore criticals of severity A. | 
