# Critical Strike Table 6.5-LS — Large (Slaying Spell)
# Source: Rolemaster Fantasy Roleplaying — Spell Law (ERA: spell_law)
# Auto-generated by .scratch/build_crit_tables.py from the .era archive.
#
@name:           Large (Slaying Spell)
@table_number:   6.5-LS
@crit_type_code: 
@notes:          Source ERA: rmfrpSpellLaw.criticals.era; variant abbreviation 'LMS'.
@column_axis:    severity
#
01-05 | A | No Damage. Large creatures ignore criticals of severity A. | 
01-05 | B | Sparks fly. The enchantment fails. You had hoped for more damage. | +5H
01-05 | C | Sparks fly. The enchantment fails. You had hoped for more damage. | +5H
01-05 | D | Sparks fly. The enchantment fails. You had hoped for more damage. | +5H
01-05 | E | Sparks fly. The enchantment fails. You had hoped for more damage. | +5H
06-10 | A | No Damage. Large creatures ignore criticals of severity A. | 
06-10 | B | Foe throws off the magic that threatens his very existance. | +9H
06-10 | C | Foe throws off the magic that threatens his very existance. | +9H
06-10 | D | Foe throws off the magic that threatens his very existance. | +9H
06-10 | E | Foe throws off the magic that threatens his very existance. | +9H
11-20 | A | No Damage. Large creatures ignore criticals of severity A. | 
11-20 | B | Strike lands solid. Foe howls out in pain and anger! +12H | 
11-20 | C | Strike lands solid. Foe howls out in pain and anger! +12H | 
11-20 | D | Strike lands solid. Foe howls out in pain and anger! +12H | 
11-20 | E | Strike lands solid. Foe howls out in pain and anger! +12H | 
21-30 | A | No Damage. Large creatures ignore criticals of severity A. | 
21-30 | B | Chest strike leaves visible damage. Foe makes a futile attempt to brush it off. | +15H
21-30 | C | Chest strike leaves visible damage. Foe makes a futile attempt to brush it off. | +15H
21-30 | D | Chest strike leaves visible damage. Foe makes a futile attempt to brush it off. | +15H
21-30 | E | Chest strike leaves visible damage. Foe makes a futile attempt to brush it off. | +15H
31-40 | A | No Damage. Large creatures ignore criticals of severity A. | 
31-40 | B | Firm strike to foe's lower abdomen. Measurable damage has been done. | +18H
31-40 | C | Firm strike to foe's lower abdomen. Measurable damage has been done. | +18H
31-40 | D | Firm strike to foe's lower abdomen. Measurable damage has been done. | +18H
31-40 | E | Firm strike to foe's lower abdomen. Measurable damage has been done. | +18H
41-50 | A | No Damage. Large creatures ignore criticals of severity A. | 
41-50 | B | Your assault entangles foe's arm for an instant. Arm is bruised. | +20H
41-50 | C | Your assault entangles foe's arm for an instant. Arm is bruised. | +20H
41-50 | D | Your assault entangles foe's arm for an instant. Arm is bruised. | +20H
41-50 | E | Your assault entangles foe's arm for an instant. Arm is bruised. | +20H
51-65 | A | No Damage. Large creatures ignore criticals of severity A. | 
51-65 | B | Blow to foe's back. Foe's hide is tough, but much damage is done. | +25H
51-65 | C | Blow to foe's back. Foe's hide is tough, but much damage is done. | +25H
51-65 | D | Blow to foe's back. Foe's hide is tough, but much damage is done. | +25H
51-65 | E | Blow to foe's back. Foe's hide is tough, but much damage is done. | +25H
66 | A | No Damage. Large creatures ignore criticals of severity A. | 
66 | B | Assaulting foe's very living essence, your strike lands upon his head. His life is stripped from him. He dies instantly. | (+10)
66 | C | Assaulting foe's very living essence, your strike lands upon his head. His life is stripped from him. He dies instantly. | (+10)
66 | D | Assaulting foe's very living essence, your strike lands upon his head. His life is stripped from him. He dies instantly. | (+10)
66 | E | Assaulting foe's very living essence, your strike lands upon his head. His life is stripped from him. He dies instantly. | (+10)
67-70 | A | No Damage. Large creatures ignore criticals of severity A. | 
67-70 | B | Attack hammers foe in his shield side. He is in much pain. | +30H
67-70 | C | Attack hammers foe in his shield side. He is in much pain. | +30H
67-70 | D | Attack hammers foe in his shield side. He is in much pain. | +30H
67-70 | E | Attack hammers foe in his shield side. He is in much pain. | +30H
71-80 | A | No Damage. Large creatures ignore criticals of severity A. | 
