# Critical Strike Table 4.4-S — Large (Slaying Weapon)
# Source: Rolemaster Fantasy Roleplaying — Arms Law (ERA: arms_law)
# Auto-generated by .scratch/build_crit_tables.py from the .era archive.
#
@name:           Large (Slaying Weapon)
@table_number:   4.4-S
@crit_type_code: 
@notes:          Source ERA: rmfrpArmsLaw.criticals.era; variant abbreviation 'LPS'.
@column_axis:    severity
#
01-05 | A | No Damage. Large creatures ignore criticals of severity A. | 
01-05 | B | Blade touches foe's exposed skin. Your weapon hisses. | +5H
01-05 | C | Blade touches foe's exposed skin. Your weapon hisses. | +5H
01-05 | D | Blade touches foe's exposed skin. Your weapon hisses. | +5H
01-05 | E | Blade touches foe's exposed skin. Your weapon hisses. | +5H
06-10 | A | No Damage. Large creatures ignore criticals of severity A. | 
06-10 | B | Your blow is solid, but lands on a well protected area. | +10H
06-10 | C | Your blow is solid, but lands on a well protected area. | +10H
06-10 | D | Your blow is solid, but lands on a well protected area. | +10H
06-10 | E | Your blow is solid, but lands on a well protected area. | +10H
11-20 | A | No Damage. Large creatures ignore criticals of severity A. | 
11-20 | B | A mortal blow poorly placed. Maybe you're holding it wrong? +15H | 
11-20 | C | A mortal blow poorly placed. Maybe you're holding it wrong? +15H | 
11-20 | D | A mortal blow poorly placed. Maybe you're holding it wrong? +15H | 
11-20 | E | A mortal blow poorly placed. Maybe you're holding it wrong? +15H | 
21-30 | A | No Damage. Large creatures ignore criticals of severity A. | 
21-30 | B | Bruise to foe's shoulder is made worse by your weapon's strong enchantment. | +20H
21-30 | C | Bruise to foe's shoulder is made worse by your weapon's strong enchantment. | +20H
21-30 | D | Bruise to foe's shoulder is made worse by your weapon's strong enchantment. | +20H
21-30 | E | Bruise to foe's shoulder is made worse by your weapon's strong enchantment. | +20H
31-40 | A | No Damage. Large creatures ignore criticals of severity A. | 
31-40 | B | Your weapon strikes foe like a clap of thunder, clawing at his very essence. | +30H
31-40 | C | Your weapon strikes foe like a clap of thunder, clawing at his very essence. | +30H
31-40 | D | Your weapon strikes foe like a clap of thunder, clawing at his very essence. | +30H
31-40 | E | Your weapon strikes foe like a clap of thunder, clawing at his very essence. | +30H
41-50 | A | No Damage. Large creatures ignore criticals of severity A. | 
