# Critical Strike Table 4.6 — Martial Arts Sweeps
# Skeleton generated by extract_skeletons.py.
# Effect codes are extracted verbatim from the PDF by x-position bucketing.
# Narratives are TODO — fill in from your source copy.
# Some armor-conditional cells may be split across multiple lines tagged
# 'alt' — review and rename the condition (e.g. 'with shield' / 'without shield').
#
@name:           Martial Arts Sweeps
@table_number:   4.6
@crit_type_code: 
@notes:          Skeleton; narratives need to be transcribed.
@column_axis:    severity
#
01-05 | A | TODO | +0H
01-05 | B | TODO | +0H
01-05 | C | TODO | +1H
01-05 | D | TODO | +2H
01-05 | E | TODO | +3
06-10 | A | TODO | +1H
06-10 | B | TODO | +1H
06-10 | C | TODO | +2H
06-10 | D | TODO | +3H
06-10 | E | TODO | +4
11-15 | A | TODO | +1H
11-15 | B | TODO | +3H
11-15 | C | TODO | (+20)
11-15 | D | TODO | +4H – π
11-15 | E | TODO | ∑ – (+1
16-20 | A | TODO | +2H – π
16-20 | B | TODO | (π-10)
16-20 | C | TODO | +3H – (π-20)
16-20 | D | TODO | +4H – ∑
16-20 | E | TODO | +2H – ∑
21-35 | A | TODO | +2H – (π-10)
21-35 | B | TODO | +3H – (π-20)
21-35 | C | TODO | +4H – ∑
21-35 | D | TODO | +4H – ∑∏
21-35 | E | TODO | 2
36-45 | A | TODO | +3H – (π-20)
36-45 | B | TODO | +4H – 3(-25)
36-45 | C | TODO | (-10)
36-45 | D | TODO | +5H – (-20)
36-45 | E | TODO | +5H – ∑ – (-2
46-50 | A | TODO | +4H – (π-25)
46-50 | B | TODO | +5H – ∑
46-50 | C | TODO | +4H – 2∑
46-50 | D | TODO | +5H – ∑∏
46-50 | E | TODO | +7H – 2∑
51-55 | A | TODO | +5H – (π-30)
51-55 | B | TODO | +6H – ∑
51-55 | C | TODO | +6H – 2∑
51-55 | D | TODO | +6H – ∑ – (-20)
51-55 | E | TODO | 3
56-60 | A | TODO | +6H – ∑
56-60 | B | TODO | ∑ – (-10)
56-60 | C | TODO | ∑∏
56-60 | D | TODO | +7H – ∑∏
56-60 | E | TODO | +9H – 3
61-65 | A | TODO | +7H – ∑
61-65 | B | TODO | +3H – ∑ – (-20)
61-65 | C | TODO | +3H – ∑
61-65 | D | TODO | 2∑
61-65 | E | TODO | 3
66 | A | TODO | 3∑∏ – (-50)
66 | B | TODO | +9H
66 | C | TODO | +15H – 6∑∏ –(-80)
66 | D | TODO | +10H – 4∑∏ – (-90)
66 | E | TODO | —
67-70 | A | TODO | +7H – 2∑
67-70 | B | TODO | +8H
67-70 | C | TODO | 2∑ – (-10)
67-70 | D | TODO | +5H – 2∑ – (-20)
67-70 | E | TODO | w/o shield: +10H – 2∑∏ – (-2
71-75 | A | TODO | +2H – 2∑∏ – (-5)
71-75 | B | TODO | +5H – ∑∏ – (-10)
71-75 | C | TODO | 2∑∏ – (-25)
71-75 | D | TODO | +5H – 2∑∏ – (-30)
71-75 | E | TODO | 2∑∏ – (-4
76-80 | A | TODO | 2∑ – (-10)
76-80 | B | TODO | 2∑ – (-25)
76-80 | C | TODO | +6H – 6π – (-40)
76-80 | D | TODO | +9H – 2∑∏ – (-20)
76-80 | E | TODO | 4∑ –
81-85 | A | TODO | +3H – 3∑ – (+25)
81-85 | B | TODO | +9H – 2∑∏
81-85 | C | TODO | 2∑∏ – (+30)
81-85 | D | TODO | +10H
81-85 | E | TODO | +5H – 6∑
86-90 | A | TODO | 2∑∏ – (-20)
86-90 | B | TODO | 2∑∏ – (-25)
86-90 | C | TODO | 3∑∏ – (-50)
86-90 | D | TODO | 6∑∏
86-90 | E | TODO | +9H – 3∑
91-95 | A | TODO | +7H – 2∑∏ – (-25)
91-95 | B | TODO | 12∑∏ – (-30)
91-95 | C | TODO | +9H – 15∏
91-95 | D | TODO | +10H
91-95 | E | TODO | —
96-99 | A | TODO | 9∑
96-99 | B | TODO | +20H
96-99 | C | TODO | —
96-99 | D | TODO | —
96-99 | E | TODO | (+2
100 | A | TODO | him or hold him
100 | B | TODO | after rolling 15 feet. You are a mighty
100 | C | TODO | paralyze him from the shoulders down.
100 | D | TODO | breaks foe's back, as you throw him.
100 | E | TODO | available hard surface of your choice. Fo
