# Critical Strike Table 4.8 — Slash
# Transcribed from author-supplied PDF (X:\RMFRPSuite\slash_crit.pdf).
#
@name:           Slash
@table_number:   4.8
@crit_type_code: S
@notes:
@column_axis:    severity
#
01-05 | A | Weak strike. | +0H
01-05 | B | Feeble strike falls clear of target. | +0H
01-05 | C | Firm shot. Good recovery. Try again. | +1H
01-05 | D | Strike lands poorly. | +2H
01-05 | E | Your attack is weak. | +3H
06-10 | A | Good form, but it disappoints. | +1H
06-10 | B | Hard strike with no edge. Foe steps clear before you sort it out. | +2H
06-10 | C | Strike foe with more force than edge. | +3H
06-10 | D | An opening appears and all you can do is smack foe lightly. | +4H
06-10 | E | Unbalance foe. You receive initiative next round. | +5H
11-15 | A | Blade misses foe's face by inches. You receive initiative next round. | +1H
11-15 | B | Foe steps quickly out of your reach. You receive initiative next round. | +3H
11-15 | C | Blow to foe's side yields the initiative to you next round. | +6H
11-15 | D | You force your opponent back. He keeps you at bay with wild swings. | +3H – π
11-15 | E | You push aside foe's weapon and force him back. | +4H – π
16-20 | A | Strike passes under foe's arm. It fails to bite deep. He recoils. | +1H – π
16-20 | B | Blow to foe's side. Foe defends energetically. | +2H – (π-10)
16-20 | C | Your assault catches foe in side and forces him back 5 feet. | +4H – (π-20)
16-20 | D | You lean in and slash foe's side. You receive initiative next round. | +2H – (-10)
16-20 | E | Strong blow to foe's ribs. Foe drops his guard and almost drops his weapon. | ∑∏ – (+10)
21-35 | A | Foe's evasion puts him out of an aggressive posture. | +2H – π – (+10)
21-35 | B | Foe is shaken by your blow to his side. His defensive measures look clumsy. | +2H – (π-20)
21-35 | C | You break foe's rib with a lightning strike to his chest. He recovers quickly. His shield side still faces you. | +3H – ∑
21-35 | D | Arm and chest strike. Foe cannot defend himself for a moment. You step around his shielded side. | +3H – ∑∏
21-35 | E | Foe avoids your main effort, but you nick him on your recovery. Foe receives minor side wound and stumbles back 10 feet. | +3H – ∫ – (-10)
36-45 | A | Minor thigh wound. Cut foe with the smallest of slashes. | ∫
36-45 | B | Strike foe in shin. If he doesn't have greaves, you slash open foe's shin. | +2H – π | with leg greaves
36-45 | B | Strike foe in shin. If he doesn't have greaves, you slash open foe's shin. | +2H – ∫ | without leg greaves
36-45 | C | The blow does nothing more than open a wide cut in foe. | +2H – 2∫
36-45 | D | Foe blocks your attack on his chest. You slash foe's upper area. | +3H – 2∫
36-45 | E | Blow to foe's upper leg. Leg armor helps block the blow. | +5H | with leg greaves
36-45 | E | Blow to foe's upper leg. Leg armor helps block the blow. | +3H – 3∫ | without leg greaves
46-50 | A | Blow to foe's back. Foe attempts to ward you off with a wild swing. | +2H – (π-30)
46-50 | B | Foe twists oddly to avoid your attack. Blow strikes foe's back. | +4H – (π-30)
46-50 | C | Blow to foe's back. Foe twists out of it and you turn your weapon to magnify the wound. Foe yells out. | +3H – ∑∏ – ∫
46-50 | D | Reach long and catch foe in his lower back. He twists out of it, but is unbalanced. | +3H – ∑∏ – 2∫
46-50 | E | Strike to foe's stomach. He doubles over in pain and you pull your sword clean with one more sweep. | +4H – ∑∏ – 3∫
51-55 | A | Blow to foe's chest. Foe stumbles back and puts up a feeble guard. | +2H – (π-25) – ∫
51-55 | B | Quality strike. Minor chest wound. If foe has armor, he only staggers. If not, the wound is effective. | +4H – π | with chest armor
51-55 | B | Quality strike. Minor chest wound. If foe has armor, he only staggers. If not, the wound is effective. | +3H – 2π – ∫ – (-5) | without chest armor
51-55 | C | Blow lands solidly upon foe's chest. You get some slashing action, but not a mortal wound. | +4H – π – 2∫ – (-10)
51-55 | D | Heavy blow to upper torso. Wound falls open and foe is in pain. His guard is still up, amazingly enough. | +5H – π – 3∫ – (-15)
51-55 | E | Cut foe open with little grace. You are unsure of your success until you see all the blood coming out of his chest. | +6H – 2∑ – 4∫ – (-10)
56-60 | A | You recover from your initial swing and bring edge across foe's thigh. | +3H – π – 2∫
56-60 | B | Edge makes contact well enough. Minor thigh wound. | +4H – 2π – 2∫
56-60 | C | Strike to side slips down onto foe's thigh. The wound is effective. | +5H – ∑ – 2∫
56-60 | D | Tip of your blade gets a hit on foe's thigh. You twist your weapon. | +6H – 2∑ – 2∫
56-60 | E | Thigh wound. Your blow cuts deep and severs an important vein. | +8H – 2∑ – 5∫
61-65 | A | You feign high and strike low. Slash foe in back of upper leg. | +3H – 2∫ – (-10)
