# Critical Strike Table 4.10 — Super Large Creature
# Skeleton generated by extract_skeletons.py.
# Effect codes are extracted verbatim from the PDF by x-position bucketing.
# Narratives are TODO — fill in from your source copy.
# Some armor-conditional cells may be split across multiple lines tagged
# 'alt' — review and rename the condition (e.g. 'with shield' / 'without shield').
#
@name:           Super Large Creature
@table_number:   4.10
@crit_type_code: 
@notes:          Skeleton; narratives need to be transcribed.
@column_axis:    attack_type
@column_1:        normal
@column_2:        magic
@column_3:        mithril
@column_4:        holy_arms
@column_5:        slaying
#
01-05 | normal | TODO | +10H
01-05 | magic | TODO | +10H
01-05 | mithril | TODO | +10H
01-05 | holy_arms | TODO | +10H
01-05 | slaying | TODO | +10
06-10 | normal | TODO | +2H
06-10 | magic | TODO | +3H
06-10 | mithril | TODO | +4H
06-10 | holy_arms | TODO | +6H
06-10 | slaying | TODO | +8
11-15 | normal | TODO | +3H
11-15 | magic | TODO | +4H
11-15 | mithril | TODO | +5H
11-15 | holy_arms | TODO | +8H
11-15 | slaying | TODO | +10
16-20 | normal | TODO | +4H
16-20 | magic | TODO | +5H
16-20 | mithril | TODO | +6H
16-20 | holy_arms | TODO | +10H
16-20 | slaying | TODO | +12
21-35 | normal | TODO | +5H
21-35 | magic | TODO | +6H
21-35 | mithril | TODO | +7H
21-35 | holy_arms | TODO | +12H
21-35 | slaying | TODO | +15
36-45 | normal | TODO | +6H
36-45 | magic | TODO | +7H
36-45 | mithril | TODO | +8H
36-45 | holy_arms | TODO | +15H
36-45 | slaying | TODO | +18
46-50 | normal | TODO | +7H
46-50 | magic | TODO | +8H
46-50 | mithril | TODO | +9H
46-50 | holy_arms | TODO | +18H
46-50 | slaying | TODO | +20
51-55 | normal | TODO | +20H
51-55 | magic | TODO | +12H – 3∫ – (-10)
51-55 | mithril | TODO | +15H – 5∫ – (-10)
51-55 | holy_arms | TODO | ∑∏ – 10 ∫ – (-15)
51-55 | slaying | TODO | +50H – (+2
56-60 | normal | TODO | +8H
56-60 | magic | TODO | +9H
56-60 | mithril | TODO | +10H
56-60 | holy_arms | TODO | +20H
56-60 | slaying | TODO | +30H – 2∑
61-65 | normal | TODO | +9H
61-65 | magic | TODO | +10H
61-65 | mithril | TODO | +15H
61-65 | holy_arms | TODO | +13H – 5∫ – (-10) – (+10)
61-65 | slaying | TODO | +24H – 3∑∏ – 5∫ – (-2
66 | normal | TODO | +10H
66 | magic | TODO | +15H
66 | mithril | TODO | +20H
66 | holy_arms | TODO | +12H – π – 4∫ – (+20)
66 | slaying | TODO | +25H – 3∑∏ – 20∫ – (-2
67-70 | normal | TODO | +15H
67-70 | magic | TODO | +20H
67-70 | mithril | TODO | +12H – 4∫ – (+20)
67-70 | holy_arms | TODO | +25H – 2∑∏ –
67-70 | slaying | TODO | 3∫ +35
71-75 | normal | TODO | foe's side. Your blow shatters armor.
71-75 | magic | TODO | Your strike plunges into this
71-75 | mithril | TODO | mighty blow. Foe drops and dies in 1
71-75 | holy_arms | TODO | instantly. You are too close. He pins you
71-75 | slaying | TODO | weapon home. Foe dies after 3 rounds o
76-80 | normal | TODO | +30H – 10∫ – (-25)
76-80 | magic | TODO | —
76-80 | mithril | TODO | +5H
76-80 | holy_arms | TODO | +20H
76-80 | slaying | TODO | (+2
81-85 | normal | TODO | +12H – 1∫ – (+10)
81-85 | magic | TODO | +13H – 2∫ – (+20)
81-85 | mithril | TODO | +30H – 3∑∏ – (+10)
81-85 | holy_arms | TODO | +30H – 2∑∏
81-85 | slaying | TODO | +20H – 6∑
86-90 | normal | TODO | +20H – 5∫ – (-20)
86-90 | magic | TODO | +25H – ∑∏ – (-20)
86-90 | mithril | TODO | +25H – 2∑∏ – (+10)
86-90 | holy_arms | TODO | +40H – 6∑∏
86-90 | slaying | TODO | +25H – (+2
91-95 | normal | TODO | +15H – (-25) – (+20)
91-95 | magic | TODO | +20H – 2∏ – (+25)
91-95 | mithril | TODO | +28H – 3∑∏ – 10∫ – (-40)
91-95 | holy_arms | TODO | +25H – 9∑∏ – (-25)
91-95 | slaying | TODO | +24H – (-2
96-99 | normal | TODO | +35H – 2∑ – 10∫ – (-30)
96-99 | magic | TODO | +35H – 3∑∏ – 10∫ – (-40)
96-99 | mithril | TODO | +30H – 6∑∏ – 12∫ – (-50)
96-99 | holy_arms | TODO | +15H – (+20)
96-99 | slaying | TODO | +35
