# Critical Strike Table 6.5 — Super Large Creature (Spell)
# Transcribed from author-supplied PDF (X:\RMFRPSuite\Spell Critical Hit Tables.pdf).
#
# This is the spell-attack version of the creature crit table (chapter 6),
# distinct from the chapter-4 physical-attack tables. Two columns:
#   normal  — standard spell hits a Super Large creature
#   slaying — slaying-type spell hits a Super Large creature
# The "251+" roll band is encoded as "251-999".
#
@name:           Super Large Creature (Spell)
@table_number:   6.5
@crit_type_code:
@notes:
@column_axis:    attack_type
@column_1:       normal
@column_2:       slaying
#
01-05 | normal | The strength of your strike is not up to the challange. | +0H
01-05 | slaying | You warn foe of his doom with this tiny whisper of your power. | +3H
06-10 | normal | Strike lands with little result. You had better get serious soon. | +1H
06-10 | slaying | Foe evades much of the damage. Maybe next time. | +5H
11-20 | normal | The beast is made of stronger stuff than you hoped. | +2H
11-20 | slaying | Your blast scrapes along foe's shoulder hissing as it touches his skin. | +9H
21-30 | normal | Strike glances off foe and damages his surroundings. | +3H
21-30 | slaying | Your strike is solid and flat, foe is burned by the enchantment. | +12H
31-40 | normal | Solid, but nowhere near a vital spot. Bruise foe's calf muscle. | +5H
31-40 | slaying | Heavy assault yields a measure of damage to foe's leg. | +15H
41-50 | normal | Blow is placed solidly against foe's side. His vitals are beyond reach. | +7H
41-50 | slaying | Strike tears down foe's back. He ducts down in pain. | +18H
51-65 | normal | Strike threatens foe's eyes and he flinches. You have initiative. | +7H
51-65 | slaying | Blast to foe's face. Most of the damage misses him. Some does not. | +20H
66 | normal | You find a weak point. Unexpectedly, foe reels and falls down. His shoulder is shattered. He gets up slowly. | +25H – (-75)
66 | slaying | Collapse foe's chest with perfect placement. His lungs are destroyed and his heart stops. He dies after 6 rounds of wheezing. | +30H
67-70 | normal | Although not deadly, this strike leaves a visible and encouraging wound. You may win yet. | +12H
67-70 | slaying | Assault bounces off foe's primary arm. Arm is damaged but still functioning. Try again. | +25H
71-80 | normal | Blow to foe's upper arm. Discoloration and various bruises mark your success. | +15H
71-80 | slaying | Solid strike to the chest. Foe steps back 10 feet and rebounds. | +25H
81-90 | normal | Your strike hit no vitals, but you can hear the ribs in foe's side crackle. Foe fights on in some pain. | +20H
81-90 | slaying | Sparks fly and smoke rises off foe as your assault impacts. | +30H
91-95 | normal | Heavy and hard. Your strike is effective. Foe's abdomen is damaged. | +30H
91-95 | slaying | Your attack lands with a beautiful crash. Foe's leg is heavily damaged. He struggles to keeps his defense up. | +25H – 2∑∏
96-98 | normal | Your onslaught lands against foe's skull. Brain is damaged. Swelling fractures his skull. Foe drops and dies in 6 rounds. | –
96-98 | slaying | Shot lands against foe's chest. Strike infests foe with terminal poison. The full burden of the enchantment ends his life instantly. | –
99-100 | normal | Violent strike to foe's face. His eyes are badly damaged. He is blinded. He falls over. You have him now. | 12∑∏ – (-95)
99-100 | slaying | Blast to foe's head. Inner ear destroyed. Foe dies in 6 inactive rounds. | +20H
101-150 | normal | Titanic blast sends foe stumbling despite his bulk. He is unable to defend himself for a moment. | +30H – 2∑∏
101-150 | slaying | Foe stumbles 10 feet to his right with the impact of your attack. He is vulnerable. | +35H – 3∑∏
151-175 | normal | Side strike. Foe steps to the side and takes the damage in his ribs. Bones are broken. | 4∑∏ – (-20)
151-175 | slaying | Blast breaks bones and causes bleeding in foe's leg. He can still operate. | 5∫ – (-20)
176-200 | normal | Mighty is your strike. Its your turn to give. Foe's chest tears open and blood sprays on all bystanders. | +30H – 5∫ – (-30)
176-200 | slaying | Epic assault to foe's side sends foe onto his back. Wounds are severe. Internal bleeding. He is in trouble. | +40H – 10∫ – (-50)
201-250 | normal | Snap foe's head back and fracture his spine. Foe is paralyzed from the neck down. | +40H
201-250 | slaying | TODO | —
251-999 | normal | Shatter parts of foe's skeleton. Heart and lungs are damaged. Foe falls dead. | —
251-999 | slaying | Blast goes in through foe's eye and comes out ugly. Foe dies instantly. His terrible bulk comes crashing down. | (+20)
