# Critical Strike Table 4.10-H — Super Large (Holy Weapon)
# Source: Rolemaster Fantasy Roleplaying — Arms Law (ERA: arms_law)
# Auto-generated by .scratch/build_crit_tables.py from the .era archive.
#
@name:           Super Large (Holy Weapon)
@table_number:   4.10-H
@crit_type_code: 
@notes:          Source ERA: rmfrpArmsLaw.criticals.era; variant abbreviation 'SPH'.
@column_axis:    severity
#
01-05 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | D | Your strike is powerful, but your grip was terrible. Roll a fumble for yourself. | +10H
01-05 | E | Your strike is powerful, but your grip was terrible. Roll a fumble for yourself. | +10H
06-10 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | D | Blow foe's arm. Ready for a better strike. You gain the initiative next round. | +6H
06-10 | E | Blow foe's arm. Ready for a better strike. You gain the initiative next round. | +6H
11-20 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | D | Back strike. Weapon seems to damage by touch only. | +8H
11-20 | E | Back strike. Weapon seems to damage by touch only. | +8H
21-30 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | D | Your strike is solid and flat, but foe is not slowed at all. | +10H
21-30 | E | Your strike is solid and flat, but foe is not slowed at all. | +10H
31-40 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | D | You strike the fell titan in the chest. He yells back at you. | +12H
31-40 | E | You strike the fell titan in the chest. He yells back at you. | +12H
41-50 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | D | You step under his assault and strike him hard in the abdomen. | +15H
41-50 | E | You step under his assault and strike him hard in the abdomen. | +15H
51-65 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | D | The vile beast leans foward. You strike at his snout in frantic response. | +18H
51-65 | E | The vile beast leans foward. You strike at his snout in frantic response. | +18H
66 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | D | Your blow lands against foe's shoulder. You are pleased with the effect. Blood pours from the wound. | [Stun No Parry] - 10 [Bleeding] - (-15)
66 | E | Your blow lands against foe's shoulder. You are pleased with the effect. Blood pours from the wound. | [Stun No Parry] - 10 [Bleeding] - (-15)
67-70 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | D | Hard blow to foe's thigh. He stumbles, but does not fall. You have the initiative next round. | +20H
67-70 | E | Hard blow to foe's thigh. He stumbles, but does not fall. You have the initiative next round. | +20H
71-80 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | D | Catch foe in his exposed leg. You come down hard on it. He will have a bruise. It slows him. You have the initiative. | +13H - 5[Bleeding] - (-10) - (+10)
71-80 | E | Catch foe in his exposed leg. You come down hard on it. He will have a bruise. It slows him. You have the initiative. | +13H - 5[Bleeding] - (-10) - (+10)
81-90 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | D | To make this strike land well, you almost climb onto foe. You deal out a brutal srike to his neck and leap back. | +12H - [No Parry] - 4[Bleeding] - (+20)
81-90 | E | To make this strike land well, you almost climb onto foe. You deal out a brutal srike to his neck and leap back. | +12H - [No Parry] - 4[Bleeding] - (+20)
91-95 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | D | You have a uncomfortable opportunity to strike foe in his mouth. If foe has a breath weapon, he may not use it. | +25H - 2[Stun No Parry] - 3[Bleeding]
91-95 | E | You have a uncomfortable opportunity to strike foe in his mouth. If foe has a breath weapon, he may not use it. | +25H - 2[Stun No Parry] - 3[Bleeding]
96-98 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | D | Weapon bites into foe's skull. He just comes apart. He dies in 6 rounds. Your weapon is stuck. Foe rolls over and takes your weapon out of reach. All allies get (+10) | 
96-98 | E | Weapon bites into foe's skull. He just comes apart. He dies in 6 rounds. Your weapon is stuck. Foe rolls over and takes your weapon out of reach. All allies get (+10) | 
99-100 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | D | Strike through foe's heart kills him instantly. You are too close. He pins you under him as he dies. | +20H
99-100 | E | Strike through foe's heart kills him instantly. You are too close. He pins you under him as he dies. | +20H
101-150 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | D | Brutal strike to foe's forearm. He reels from your presence. You are his bane. | +30H - 2[Stun No Parry]
101-150 | E | Brutal strike to foe's forearm. He reels from your presence. You are his bane. | +30H - 2[Stun No Parry]
151-175 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | D | Vicious blow to forehead sends foe to the ground. If he falls on stone, he is in a coma. | +40H - 6[Stun No Parry]
151-175 | E | Vicious blow to forehead sends foe to the ground. If he falls on stone, he is in a coma. | +40H - 6[Stun No Parry]
176-200 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | D | Strike to foe's abdomen. Foe has the biggest bruise you have ever seen. | +25H - 9[Stun No Parry] - (-25)
176-200 | E | Strike to foe's abdomen. Foe has the biggest bruise you have ever seen. | +25H - 9[Stun No Parry] - (-25)
201-250 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | D | You duck around foe's side and catch him in the ear. Blow collapses skull. Foe dies of massive brain damage in 3 rounds. | +15H - (+20)
201-250 | E | You duck around foe's side and catch him in the ear. Blow collapses skull. Foe dies of massive brain damage in 3 rounds. | +15H - (+20)
251-999 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | D | Your mighty blow is the stuff epics are made of. Foe's spine is broken. He dies in 2 rounds. | +50H
251-999 | E | Your mighty blow is the stuff epics are made of. Foe's spine is broken. He dies in 2 rounds. | +50H
