# Critical Strike Table 4.10-M — Super Large (Magic Weapon)
# Source: Rolemaster Fantasy Roleplaying — Arms Law (ERA: arms_law)
# Auto-generated by .scratch/build_crit_tables.py from the .era archive.
#
@name:           Super Large (Magic Weapon)
@table_number:   4.10-M
@crit_type_code: 
@notes:          Source ERA: rmfrpArmsLaw.criticals.era; variant abbreviation 'SPM'.
@column_axis:    severity
#
01-05 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | D | Your weapon is knocked from your hand. It will take 2 rounds to recover. | +10H
01-05 | E | Your weapon is knocked from your hand. It will take 2 rounds to recover. | +10H
06-10 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | D | Your weapon hits at a bad angle. Take a weapon strength check. Bum luck. | +3H
06-10 | E | Your weapon hits at a bad angle. Take a weapon strength check. Bum luck. | +3H
11-20 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | D | Your blow was deflected, but you gain the initiative next round. | +4H
11-20 | E | Your blow was deflected, but you gain the initiative next round. | +4H
21-30 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | D | Glancing side blow. A spark of light reminds you your weapon is magical. | +5H
21-30 | E | Glancing side blow. A spark of light reminds you your weapon is magical. | +5H
31-40 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | D | Foe is unbalanced. You gain the initiative next round. | +6H
31-40 | E | Foe is unbalanced. You gain the initiative next round. | +6H
41-50 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | D | You deal out a sharp and hard leg strike. Foe steps back to look at his leg. | +7H
41-50 | E | You deal out a sharp and hard leg strike. Foe steps back to look at his leg. | +7H
51-65 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | D | Blow to foe's back. Foe's hide is tough there. You need more strength. | +8H
51-65 | E | Blow to foe's back. Foe's hide is tough there. You need more strength. | +8H
66 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | D | You step under foe's lunge and use the force against him. Strike to under belly. He feels the pain instantly. | +12H - 3[Bleeding] - (-10)
66 | E | You step under foe's lunge and use the force against him. Strike to under belly. He feels the pain instantly. | +12H - 3[Bleeding] - (-10)
67-70 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | D | Blow to thigh leaves a bad bruise. Your weapon cracks and bends. It will break after one more strike. | +9H
67-70 | E | Blow to thigh leaves a bad bruise. Your weapon cracks and bends. It will break after one more strike. | +9H
71-80 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | D | Minor forearm wound.The beast used its forearm for defense. Foe soaks up the damage. | +10H
71-80 | E | Minor forearm wound.The beast used its forearm for defense. Foe soaks up the damage. | +10H
81-90 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | D | Blow to foe's arm joint lands poorly. Foe will have a bruise. You think that you know what went wrong. | +15H
81-90 | E | Blow to foe's arm joint lands poorly. Foe will have a bruise. You think that you know what went wrong. | +15H
91-95 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | D | Blow is placed solidly against foe's side. The thick hide there protects him well. | +20H
91-95 | E | Blow is placed solidly against foe's side. The thick hide there protects him well. | +20H
96-98 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | D | You are a mighty warrior. Your strike hits foe's neck and breaks it. Bones are crushed and the spine in broken. Foe drops in 1 round and dies. | (+25)
96-98 | E | You are a mighty warrior. Your strike hits foe's neck and breaks it. Bones are crushed and the spine in broken. Foe drops in 1 round and dies. | (+25)
99-100 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | D | A little bird shows you the flaw in foe's armor. Your strike plunges into this vulnerable spot killing foe instantly. | 
99-100 | E | A little bird shows you the flaw in foe's armor. Your strike plunges into this vulnerable spot killing foe instantly. | 
101-150 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | D | Wound foe along his side with an excellent strike. Foe leaps back away from your weapon. | +13H - 2[Bleeding] - (+20)
101-150 | E | Wound foe along his side with an excellent strike. Foe leaps back away from your weapon. | +13H - 2[Bleeding] - (+20)
151-175 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | D | You pop foe on his head with some useful results. Foe is confused just long enough for a blow. | +25H - [Stun No Parry] - (-20)
151-175 | E | You pop foe on his head with some useful results. Foe is confused just long enough for a blow. | +25H - [Stun No Parry] - (-20)
176-200 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | D | Solid shot to foe's chest. Foe is down. You take an 'A' Unbalancing Critical result, because you are so close. | +20H - 2[No Parry] - (+25)
176-200 | E | Solid shot to foe's chest. Foe is down. You take an 'A' Unbalancing Critical result, because you are so close. | +20H - 2[No Parry] - (+25)
201-250 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | D | Rip open foe's abdomen. Blood covers you. This cruel wound will not be healed easily. | +35H - 3[Stun No Parry] - 10[Bleeding] - (-40)
201-250 | E | Rip open foe's abdomen. Blood covers you. This cruel wound will not be healed easily. | +35H - 3[Stun No Parry] - 10[Bleeding] - (-40)
251-999 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | D | You leap up and slam foe in the eye. He does not realize he is dead yet. Next round he will. Your weapon is stuck for round. | (+20)
251-999 | E | You leap up and slam foe in the eye. He does not realize he is dead yet. Next round he will. Your weapon is stuck for round. | (+20)
