# Critical Strike Table 4.10-O — Super Large (Mithril Weapon)
# Source: Rolemaster Fantasy Roleplaying — Arms Law (ERA: arms_law)
# Auto-generated by .scratch/build_crit_tables.py from the .era archive.
#
@name:           Super Large (Mithril Weapon)
@table_number:   4.10-O
@crit_type_code: 
@notes:          Source ERA: rmfrpArmsLaw.criticals.era; variant abbreviation 'SPO'.
@column_axis:    severity
#
01-05 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | D | Your strike is powerful. You fumble the rest of the round. | +10H
01-05 | E | Your strike is powerful. You fumble the rest of the round. | +10H
06-10 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | D | Your weapon lands uneven across foe's shoulder. Make a breakage check. | +4H
06-10 | E | Your weapon lands uneven across foe's shoulder. Make a breakage check. | +4H
11-20 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | D | Acceptable strike to foe's leg.You gain the initiative next round. | +5H
11-20 | E | Acceptable strike to foe's leg.You gain the initiative next round. | +5H
21-30 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | D | Glancing blow smears mithril like chalk across beast's hide. | +6H
21-30 | E | Glancing blow smears mithril like chalk across beast's hide. | +6H
31-40 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | D | Solid, but nowhere near a vital spot. Bruise foe's calf muscle. | +7H
31-40 | E | Solid, but nowhere near a vital spot. Bruise foe's calf muscle. | +7H
41-50 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | D | Strike lands on foe's horn. The vibration has some effect. | +8H
41-50 | E | Strike lands on foe's horn. The vibration has some effect. | +8H
51-65 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | D | Your strike thumps foe on his nose. He is insulted, but not wounded badly. | +9H
51-65 | E | Your strike thumps foe on his nose. He is insulted, but not wounded badly. | +9H
66 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | D | Shin strike. Skin is torn open and bone is bruised. This one hurts. You have initiative. | +15H - 5[Bleeding] - (-10)
66 | E | Shin strike. Skin is torn open and bone is bruised. This one hurts. You have initiative. | +15H - 5[Bleeding] - (-10)
67-70 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | D | Hammering foe's thigh gets you some respect. You have the initiative. | +10H
67-70 | E | Hammering foe's thigh gets you some respect. You have the initiative. | +10H
71-80 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | D | Blow to foe's upper arm. This strike had few vices, but it was weak. Get it together. | +15H
71-80 | E | Blow to foe's upper arm. This strike had few vices, but it was weak. Get it together. | +15H
81-90 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | D | Your strike hit no vitals, but you can hear the ribs in foe's side crackle. Foe fights on in some pain. | +20H
81-90 | E | Your strike hit no vitals, but you can hear the ribs in foe's side crackle. Foe fights on in some pain. | +20H
91-95 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | D | Slash at foe's neck fails to land very hard. You have the initiative for 2 rounds. | +12H - 4[Bleeding] - (+20)
91-95 | E | Slash at foe's neck fails to land very hard. You have the initiative for 2 rounds. | +12H - 4[Bleeding] - (+20)
96-98 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | D | Blow to lower skull area. Foe dies instantly. He stumbles on for 1 round, until he realizes this. | (+20)
96-98 | E | Blow to lower skull area. Foe dies instantly. He stumbles on for 1 round, until he realizes this. | (+20)
99-100 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | D | Crush the bones in foe's neck with a mighty blow. Foe drops and dies in 1 round. | +5H
99-100 | E | Crush the bones in foe's neck with a mighty blow. Foe drops and dies in 1 round. | +5H
101-150 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | D | Graceful assault knocks down foe's defenses. He just cannot get his guard up. | +30H - 3[Stun No Parry] - (+10)
101-150 | E | Graceful assault knocks down foe's defenses. He just cannot get his guard up. | +30H - 3[Stun No Parry] - (+10)
151-175 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | D | Incredible strike across foe's calf trips him to the ground. The bigger they are. | +25H - 2[Stun No Parry] - (+10)
151-175 | E | Incredible strike across foe's calf trips him to the ground. The bigger they are. | +25H - 2[Stun No Parry] - (+10)
176-200 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | D | Brutal strike to foe's side. You rip him open and he is hating life. His blood gets all over you. | +28H - 3[Stun No Parry] - 10[Bleeding] - (-40)
176-200 | E | Brutal strike to foe's side. You rip him open and he is hating life. His blood gets all over you. | +28H - 3[Stun No Parry] - 10[Bleeding] - (-40)
201-250 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | D | Vicious blow to foe's leg. You can hear the mithril in your weapon talking, as you rip foe open. | +30H - 6[Stun No Parry] - 12[Bleeding] - (-50)
201-250 | E | Vicious blow to foe's leg. You can hear the mithril in your weapon talking, as you rip foe open. | +30H - 6[Stun No Parry] - 12[Bleeding] - (-50)
251-999 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | D | Awe inspiring strike drives bone through both lungs. Foe realizes his doom before falling into a coma. He dies in 18 rounds. | 
251-999 | E | Awe inspiring strike drives bone through both lungs. Foe realizes his doom before falling into a coma. He dies in 18 rounds. | 
