# Critical Strike Table 6.5-SLN — Super Large (Normal Spell)
# Source: Rolemaster Fantasy Roleplaying — Spell Law (ERA: spell_law)
# Auto-generated by .scratch/build_crit_tables.py from the .era archive.
#
@name:           Super Large (Normal Spell)
@table_number:   6.5-SLN
@crit_type_code: 
@notes:          Source ERA: rmfrpSpellLaw.criticals.era; variant abbreviation 'SMN'.
@column_axis:    severity
#
01-05 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | D | The strength of your strike is not up to the challange. | +0H
01-05 | E | The strength of your strike is not up to the challange. | +0H
06-10 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | D | Strike lands with little result. You had better get serious soon. | +1H
06-10 | E | Strike lands with little result. You had better get serious soon. | +1H
11-20 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | D | The beast is made of stronger stuff than you hoped. | +2H
11-20 | E | The beast is made of stronger stuff than you hoped. | +2H
21-30 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | D | Strike glances off foe and damages his surroundings. | +3H
21-30 | E | Strike glances off foe and damages his surroundings. | +3H
31-40 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | D | Solid, but nowhere near a vital spot. Bruise foe's calf muscle. | +5H
31-40 | E | Solid, but nowhere near a vital spot. Bruise foe's calf muscle. | +5H
41-50 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | D | Blow is placed solidly against foe's side. His vitals are beyond reach. | +7H
41-50 | E | Blow is placed solidly against foe's side. His vitals are beyond reach. | +7H
51-65 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | D | Strike threatens foe's eyes and he flinches. You have initiative. | +7H
51-65 | E | Strike threatens foe's eyes and he flinches. You have initiative. | +7H
66 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | D | You find a weak point. Unexpectedly, foe reels and falls down. His shoulder is shattered. He gets up slowly. | +25H - (-75)
66 | E | You find a weak point. Unexpectedly, foe reels and falls down. His shoulder is shattered. He gets up slowly. | +25H - (-75)
67-70 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | D | Although not deadly, this strike leaves a visible and encouraging wound. You may win yet. | +12H
67-70 | E | Although not deadly, this strike leaves a visible and encouraging wound. You may win yet. | +12H
71-80 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | D | Blow to foe's upper arm. Discoloration and various bruises mark your success. | +15H
71-80 | E | Blow to foe's upper arm. Discoloration and various bruises mark your success. | +15H
81-90 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | D | Your strike hit no vitals, but you can hear the ribs in foe's side crackle. Foe fights on in some pain. | +20H
81-90 | E | Your strike hit no vitals, but you can hear the ribs in foe's side crackle. Foe fights on in some pain. | +20H
91-95 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | D | Heavy and hard. Your strike is effective. Foe's abdomen is damaged. | +30H
91-95 | E | Heavy and hard. Your strike is effective. Foe's abdomen is damaged. | +30H
96-98 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | D | Your onslaught lands against foe's skull. Brain is damaged. Swelling fractures his skull. Foe drops and dies in 6 rounds. | 
96-98 | E | Your onslaught lands against foe's skull. Brain is damaged. Swelling fractures his skull. Foe drops and dies in 6 rounds. | 
99-100 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | D | Violent strike to foe's face. His eyes are badly damaged. He is blinded. He falls over. You have him now. 12[Stun No Parry] - (-95) | 
99-100 | E | Violent strike to foe's face. His eyes are badly damaged. He is blinded. He falls over. You have him now. 12[Stun No Parry] - (-95) | 
101-150 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | D | Titanic blast sends foe stumbling despite his bulk. He is unable to defend himself for a moment. | +30H - 2[Stun No Parry]
101-150 | E | Titanic blast sends foe stumbling despite his bulk. He is unable to defend himself for a moment. | +30H - 2[Stun No Parry]
151-175 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | D | Side strike. Foe steps to the side and takes the damage in his ribs. Bones are broken. | 4[Stun No Parry] - (-20)
151-175 | E | Side strike. Foe steps to the side and takes the damage in his ribs. Bones are broken. | 4[Stun No Parry] - (-20)
176-200 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | D | Mighty is your strike. Its your turn to give. Foe's chest tears open and blood sprays on all bystanders. | +30H - 5[Bleeding] - (-30)
176-200 | E | Mighty is your strike. Its your turn to give. Foe's chest tears open and blood sprays on all bystanders. | +30H - 5[Bleeding] - (-30)
201-250 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | D | Snap foe's head back and fracture his spine. Foe is paralyzed from the neck down. | +40H
201-250 | E | Snap foe's head back and fracture his spine. Foe is paralyzed from the neck down. | +40H
251-999 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | D | Shatter parts of foe's skeleton. Heart and lungs are damaged. Foe falls dead. His blood pours out onto the floor. | 
251-999 | E | Shatter parts of foe's skeleton. Heart and lungs are damaged. Foe falls dead. His blood pours out onto the floor. | 
