# Critical Strike Table 4.10-N — Super Large (Normal Weapon)
# Source: Rolemaster Fantasy Roleplaying — Arms Law (ERA: arms_law)
# Auto-generated by .scratch/build_crit_tables.py from the .era archive.
#
@name:           Super Large (Normal Weapon)
@table_number:   4.10-N
@crit_type_code: 
@notes:          Source ERA: rmfrpArmsLaw.criticals.era; variant abbreviation 'SPN'.
@column_axis:    severity
#
01-05 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | D | You strike the terrible beast hard. Your weapon breaks in half. | +10H
01-05 | E | You strike the terrible beast hard. Your weapon breaks in half. | +10H
06-10 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | D | A decoration pops off your weapon with impact to foe's side. | +2H
06-10 | E | A decoration pops off your weapon with impact to foe's side. | +2H
11-20 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | D | You are daunted by the beast's gaze and swing weakly. | +3H
11-20 | E | You are daunted by the beast's gaze and swing weakly. | +3H
21-30 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | D | This terrible creature's hide deflects the strongest blows. | +4H
21-30 | E | This terrible creature's hide deflects the strongest blows. | +4H
31-40 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | D | Solid strike to foe's side with your common weapon fails to penetrate. | +5H
31-40 | E | Solid strike to foe's side with your common weapon fails to penetrate. | +5H
41-50 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | D | Your strike was more of a last minute parry to avoid the beast's. | +6H
41-50 | E | Your strike was more of a last minute parry to avoid the beast's. | +6H
51-65 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | D | Two light and quick shots to foe's forearm, provides a modest result. | +7H
51-65 | E | Two light and quick shots to foe's forearm, provides a modest result. | +7H
66 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | D | Strike foe's neck with the flat of your weapon during a moment of opportunity. | +20H
66 | E | Strike foe's neck with the flat of your weapon during a moment of opportunity. | +20H
67-70 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | D | Solid strike on foe's leg. You move quickly away to avoid the retaliation. | +8H
67-70 | E | Solid strike on foe's leg. You move quickly away to avoid the retaliation. | +8H
71-80 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | D | Solid strike to foe's head just bounces off. | +9H
71-80 | E | Solid strike to foe's head just bounces off. | +9H
81-90 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | D | Violent strike to foe's forearm. Foe is bruised. Your weapon must make a breakage check. | +10H
81-90 | E | Violent strike to foe's forearm. Foe is bruised. Your weapon must make a breakage check. | +10H
91-95 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | D | Well placed and hard. Try a vital spot next time. | +15H
91-95 | E | Well placed and hard. Try a vital spot next time. | +15H
96-98 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | D | Blow severs vein and artery in foe's upper leg. He drops and dies after 12 inactive rounds. Awesome! | 
96-98 | E | Blow severs vein and artery in foe's upper leg. He drops and dies after 12 inactive rounds. Awesome! | 
99-100 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | D | You step into the right spot and rip open foe's side. Your blow shatters some ribs. | +30H - 10[Bleeding] - (-25)
99-100 | E | You step into the right spot and rip open foe's side. Your blow shatters some ribs. | +30H - 10[Bleeding] - (-25)
101-150 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | D | Glancing strike to foe's abdomen loses much of the impact on foe's hide. | +12H - 1[Bleeding] - (+10)
101-150 | E | Glancing strike to foe's abdomen loses much of the impact on foe's hide. | +12H - 1[Bleeding] - (+10)
151-175 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | D | Your weapon wounds deep and cuts muscles and tendons. Foe's wound bleeds heavily. | +20H - 5[Bleeding] - (-20)
151-175 | E | Your weapon wounds deep and cuts muscles and tendons. Foe's wound bleeds heavily. | +20H - 5[Bleeding] - (-20)
176-200 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | D | Foe presents a weak spot and you strike. Blow lands at the base of the neck. Tendons are damaged. | +15H - (-25) - (+20)
176-200 | E | Foe presents a weak spot and you strike. Blow lands at the base of the neck. Tendons are damaged. | +15H - (-25) - (+20)
201-250 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | D | When your strike lands on foe's back, bones crackle and pop. Internal damage is certain. | +35H - 2[Stun] - 10[Bleeding] - (-30)
201-250 | E | When your strike lands on foe's back, bones crackle and pop. Internal damage is certain. | +35H - 2[Stun] - 10[Bleeding] - (-30)
251-999 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | D | Foe lowers his eyes within your reach and you strike with great skill and fury. He is blinded. | +20H - 6[Stun No Parry] - (-100)
251-999 | E | Foe lowers his eyes within your reach and you strike with great skill and fury. He is blinded. | +20H - 6[Stun No Parry] - (-100)
