# Critical Strike Table 6.5-SLS — Super Large (Slaying Spell)
# Source: Rolemaster Fantasy Roleplaying — Spell Law (ERA: spell_law)
# Auto-generated by .scratch/build_crit_tables.py from the .era archive.
#
@name:           Super Large (Slaying Spell)
@table_number:   6.5-SLS
@crit_type_code: 
@notes:          Source ERA: rmfrpSpellLaw.criticals.era; variant abbreviation 'SMS'.
@column_axis:    severity
#
01-05 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | D | You warn foe of his doom with this tiny whisper of your power. | +3H
01-05 | E | You warn foe of his doom with this tiny whisper of your power. | +3H
06-10 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | D | Foe evades much of the damage. Maybe next time. | +5H
06-10 | E | Foe evades much of the damage. Maybe next time. | +5H
11-20 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | D | Your blast scrapes along foe's shoulder hissing as it touches his skin. | +9H
11-20 | E | Your blast scrapes along foe's shoulder hissing as it touches his skin. | +9H
21-30 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | D | Your strike is solid and flat, foe is burned by the enchantment. | +12H
21-30 | E | Your strike is solid and flat, foe is burned by the enchantment. | +12H
31-40 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | D | Heavy assault yields a measure of damage to foe's leg. | +15H
31-40 | E | Heavy assault yields a measure of damage to foe's leg. | +15H
41-50 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | D | Strike tears down foe’s back. He ducks down in pain. | +18H
41-50 | E | Strike tears down foe’s back. He ducks down in pain. | +18H
51-65 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | D | Blast to foe's face. Most of the damage misses him. Some does not. | +20H
51-65 | E | Blast to foe's face. Most of the damage misses him. Some does not. | +20H
66 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | D | Collapse foe's chest with perfect placement. His lungs are destroyed and his heart stops. He dies after 6 rounds of wheezing. | +30H
66 | E | Collapse foe's chest with perfect placement. His lungs are destroyed and his heart stops. He dies after 6 rounds of wheezing. | +30H
67-70 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | D | Assault bounces off foe's primary arm. Arm is damaged but still functioning. Try again. | +25H
67-70 | E | Assault bounces off foe's primary arm. Arm is damaged but still functioning. Try again. | +25H
71-80 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | D | Solid strike to the chest. Foe steps back 10 feet and rebounds. | +25H
71-80 | E | Solid strike to the chest. Foe steps back 10 feet and rebounds. | +25H
81-90 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | D | Sparks fly and smoke rises off foe as your assault impacts. | +30H
81-90 | E | Sparks fly and smoke rises off foe as your assault impacts. | +30H
91-95 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | D | Your attack lands with a beautiful crash. Foe's leg is heavily damaged. He struggles to keeps his defense up. | +25H - 2[Stun No Parry]
91-95 | E | Your attack lands with a beautiful crash. Foe's leg is heavily damaged. He struggles to keeps his defense up. | +25H - 2[Stun No Parry]
96-98 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | D | Shot lands against foe's chest. Strike infests foe with terminal poison. The full burden of the enchantment ends his life instantly. | 
96-98 | E | Shot lands against foe's chest. Strike infests foe with terminal poison. The full burden of the enchantment ends his life instantly. | 
99-100 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | D | Blast to foe's head. Inner ear destroyed. Foe dies in 6 inactive rounds. | +20H
99-100 | E | Blast to foe's head. Inner ear destroyed. Foe dies in 6 inactive rounds. | +20H
101-150 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | D | Foe stumbles 10 feet to his right with the impact of your attack. He is vulnerable. | +35H - 3[Stun No Parry]
101-150 | E | Foe stumbles 10 feet to his right with the impact of your attack. He is vulnerable. | +35H - 3[Stun No Parry]
151-175 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | D | Blast breaks bones and causes bleeding in foe's leg. He can still operate. | 5[Bleeding] - (-20)
151-175 | E | Blast breaks bones and causes bleeding in foe's leg. He can still operate. | 5[Bleeding] - (-20)
176-200 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | D | Epic assault to foe's side sends foe onto his back. Wounds are severe. Internal bleeding. He is in trouble. | +40H - 10[Bleeding] - (-50)
176-200 | E | Epic assault to foe's side sends foe onto his back. Wounds are severe. Internal bleeding. He is in trouble. | +40H - 10[Bleeding] - (-50)
201-250 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | D | Hammer foe's neck and face. The energy engulfs his throat. Nerves are destroyed. Foe dies after 9 inactive rounds. | +50H
201-250 | E | Hammer foe's neck and face. The energy engulfs his throat. Nerves are destroyed. Foe dies after 9 inactive rounds. | +50H
251-999 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | D | Blast goes in through foe's eye and comes out ugly. Foe dies instantly. His terrible bulk comes crashing down. | (+20)
251-999 | E | Blast goes in through foe's eye and comes out ugly. Foe dies instantly. His terrible bulk comes crashing down. | (+20)
