# Critical Strike Table 4.10-S — Super Large (Slaying Weapon)
# Source: Rolemaster Fantasy Roleplaying — Arms Law (ERA: arms_law)
# Auto-generated by .scratch/build_crit_tables.py from the .era archive.
#
@name:           Super Large (Slaying Weapon)
@table_number:   4.10-S
@crit_type_code: 
@notes:          Source ERA: rmfrpArmsLaw.criticals.era; variant abbreviation 'SPS'.
@column_axis:    severity
#
01-05 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
01-05 | D | The numbing recoil of your strike to foe's chest sends you stumbling back. | +10H
01-05 | E | The numbing recoil of your strike to foe's chest sends you stumbling back. | +10H
06-10 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
06-10 | D | Strike lands at a bad angle. You check for weapon breakage. | +8H
06-10 | E | Strike lands at a bad angle. You check for weapon breakage. | +8H
11-20 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
11-20 | D | Blow to back. You gain the initiative next round. | +10H
11-20 | E | Blow to back. You gain the initiative next round. | +10H
21-30 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
21-30 | D | Sparks fly from your weapon as it embraces your foe. | +12H
21-30 | E | Sparks fly from your weapon as it embraces your foe. | +12H
31-40 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
31-40 | D | Boom! Solid without question. Try a vital spot next time. | +15H
31-40 | E | Boom! Solid without question. Try a vital spot next time. | +15H
41-50 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
41-50 | D | Rip sinew, hair, horn and scale with a glancing blow to side. | +18H
41-50 | E | Rip sinew, hair, horn and scale with a glancing blow to side. | +18H
51-65 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
51-65 | D | Unexpected weak spot found with your strike to foe's side. | +20H
51-65 | E | Unexpected weak spot found with your strike to foe's side. | +20H
66 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
66 | D | Your weapon seems to dig into foe's chest and devour his heart. Foe dies instantly. You are covered with blood. | +50H - (+20)
66 | E | Your weapon seems to dig into foe's chest and devour his heart. Foe dies instantly. You are covered with blood. | +50H - (+20)
67-70 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
67-70 | D | Flat strike to foe's upper body. Heavy blow breaks some bones. Foe's guard is down. | +30H - 2[Stun No Parry]
67-70 | E | Flat strike to foe's upper body. Heavy blow breaks some bones. Foe's guard is down. | +30H - 2[Stun No Parry]
71-80 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
71-80 | D | Hard glancing strike crosses foe's shoulder and chest. Shoulder is slashed and chest is bruised. | +24H - 3[Stun No Parry] - 5[Bleeding] - (-20)
71-80 | E | Hard glancing strike crosses foe's shoulder and chest. Shoulder is slashed and chest is bruised. | +24H - 3[Stun No Parry] - 5[Bleeding] - (-20)
81-90 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
81-90 | D | Just when your swing looked to be failing your weapon took control and crashed into foe's thigh. | +25H - 3[Stun No Parry] - 20[Bleeding] - (-25)
81-90 | E | Just when your swing looked to be failing your weapon took control and crashed into foe's thigh. | +25H - 3[Stun No Parry] - 20[Bleeding] - (-25)
91-95 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
91-95 | D | Your master strike lands against foe's neck. Doom is in his face. He drops and dies in 3 rounds. | +35H
91-95 | E | Your master strike lands against foe's neck. Doom is in his face. He drops and dies in 3 rounds. | +35H
96-98 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
96-98 | D | Your weapon plunges into foe's chest making the nature of its forging certain. He dies a terrible and swift death. Take 12 rounds to reclaim your weapon. | +40H
96-98 | E | Your weapon plunges into foe's chest making the nature of its forging certain. He dies a terrible and swift death. Take 12 rounds to reclaim your weapon. | +40H
99-100 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
99-100 | D | Foe's eye is in reach and you ram your weapon home. Foe dies after 3 rounds of inactivity. You have half the round left. | (+25)
99-100 | E | Foe's eye is in reach and you ram your weapon home. Foe dies after 3 rounds of inactivity. You have half the round left. | (+25)
101-150 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
101-150 | D | Strike to foe's leg severs a vein and tears muscles. Foe flails around for 6 rounds before he dies. | +20H - 6[Stun No Parry]
101-150 | E | Strike to foe's leg severs a vein and tears muscles. Foe flails around for 6 rounds before he dies. | +20H - 6[Stun No Parry]
151-175 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
151-175 | D | Awesome blow to foe's neck. His neck and back are broken. Foe drops and suffocates in 12 rounds. | +25H - (+20)
151-175 | E | Awesome blow to foe's neck. His neck and back are broken. Foe drops and suffocates in 12 rounds. | +25H - (+20)
176-200 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
176-200 | D | Clean strike to foe's eye kills him in one round. He fights on for 1 round before he realizes he is dead. | +24H - (-20)
176-200 | E | Clean strike to foe's eye kills him in one round. He fights on for 1 round before he realizes he is dead. | +24H - (-20)
201-250 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
201-250 | D | Foe steps right into your swing. You tear open foe's abdomenal and drop him in a heap. You are entangled in his fall. Foe dies in 4 rounds from shock. | +35H
201-250 | E | Foe steps right into your swing. You tear open foe's abdomenal and drop him in a heap. You are entangled in his fall. Foe dies in 4 rounds from shock. | +35H
251-999 | A | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | B | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | C | No Damage. Super Large creatures ignore criticals of severity A, B and C. | 
251-999 | D | Strike to side kills foe after a chain reaction of bones shatter. You are covered with blood. | +100H
251-999 | E | Strike to side kills foe after a chain reaction of bones shatter. You are covered with blood. | +100H
