# Critical Strike Table 4.11 — Tiny
# Skeleton generated by extract_skeletons.py.
# Effect codes are extracted verbatim from the PDF by x-position bucketing.
# Narratives are TODO — fill in from your source copy.
# Some armor-conditional cells may be split across multiple lines tagged
# 'alt' — review and rename the condition (e.g. 'with shield' / 'without shield').
#
@name:           Tiny
@table_number:   4.11
@crit_type_code: T
@notes:          Skeleton; narratives need to be transcribed.
@column_axis:    severity
#
01-05 | A | TODO | +0H
01-05 | B | TODO | +0H
01-05 | C | TODO | +0H
01-05 | D | TODO | +0H
01-05 | E | TODO | +1H
06-10 | A | TODO | +0H
06-10 | B | TODO | +0H
06-10 | C | TODO | +0H
06-10 | D | TODO | +1H
06-10 | E | TODO | +2H
11-15 | A | TODO | +0H
11-15 | B | TODO | +0H
11-15 | C | TODO | +1H
11-15 | D | TODO | +1H
11-15 | E | TODO | +2H
16-20 | A | TODO | +1H
16-20 | B | TODO | +1H
16-20 | C | TODO | +1H
16-20 | D | TODO | +2H
16-20 | E | TODO | +2H – ∫
21-35 | A | TODO | +1H
21-35 | B | TODO | +2H
21-35 | C | TODO | +2H
21-35 | D | TODO | +3H
21-35 | E | TODO | +2H – ∫
36-45 | A | TODO | +2H
36-45 | B | TODO | +3H
36-45 | C | TODO | +2H – ∫
36-45 | D | TODO | w/o leg greaves: +5H – ∫
36-45 | E | TODO | +3H – ∫
46-50 | A | TODO | +4H – 2(-5)
46-50 | B | TODO | +3H
46-50 | C | TODO | +4H
46-50 | D | TODO | +3H – ∫
46-50 | E | TODO | +5H – π – ∫
51-55 | A | TODO | +3H
51-55 | B | TODO | +3H – ∫
51-55 | C | TODO | +4H – 2∫
51-55 | D | TODO | w/o abdomen armor: +5H – 3∫
51-55 | E | TODO | +6H – 1∫
56-60 | A | TODO | +1H – ∫
56-60 | B | TODO | +6H
56-60 | C | TODO | +4H – ∑ – 2∫
56-60 | D | TODO | +6H – ∑ – 2∫
56-60 | E | TODO | +7H – ∑ – 3∫
61-65 | A | TODO | +2H – 2∫
61-65 | B | TODO | +3H – 2∫
61-65 | C | TODO | +3H – 2π – 2∫
61-65 | D | TODO | +5H – 2π – 2∫ – (+10)
61-65 | E | TODO | +6H – 2∑ – 3∫
66 | A | TODO | +4h – 2∑∏ – 2∫
66 | B | TODO | +5H – 2∑ – (-20)
66 | C | TODO | +4H – ∑ – (+10)
66 | D | TODO | w/o helm: +7H – 6∏
66 | E | TODO | +15H – 24∑ – (-95)
67-70 | A | TODO | +3H – π –∫
67-70 | B | TODO | +4H – ∑ – ∫
67-70 | C | TODO | +5H – ∑ – 2∫ – 1(-20)
67-70 | D | TODO | +6H – ∑∏ – 2∫
67-70 | E | TODO | +7H – 2∑∏ – (-20)
71-75 | A | TODO | w/o leg armor: +1H – 2∫
71-75 | B | TODO | w/o leg armor: +3H – 2π – 2∫
71-75 | C | TODO | 2∑ – 2∫ – (-20)
71-75 | D | TODO | w/o leg armor: 2∑ – ∏
71-75 | E | TODO | +5H – 3∑ – 4∫
76-80 | A | TODO | +3H – ∑ – ∫
76-80 | B | TODO | +5H – 2∫ – (-15)
76-80 | C | TODO | +5H – 2∑ – 2∫ – (-25)
76-80 | D | TODO | +5H – 3∑ – 2∫ – (-25)
76-80 | E | TODO | 2∑∏ – 3∫
81-85 | A | TODO | +4H – ∑ –2∫
81-85 | B | TODO | w/o facial armor: 3∑ – 3∫
81-85 | C | TODO | w/o helmet: +2H – ∑ – 3∫ – (-40)
81-85 | D | TODO | w/o facial armor: 3∑ – 3∫ – (-40)
81-85 | E | TODO | +8H – 9∑ –3∫
86-90 | A | TODO | +6H – 2∑
86-90 | B | TODO | +5H – 3∑ – 2∫
86-90 | C | TODO | +6H – 2∑∏
86-90 | D | TODO | +5H – ∑
86-90 | E | TODO | +4H – 3∑ – ∏ – 3∫ – (-40)
91-95 | A | TODO | +3H – 2∑ – (-30)
91-95 | B | TODO | +5H – 3∑∏ – 2∫
91-95 | C | TODO | +3H – 2∑∏ – 2∫ – (-20)
91-95 | D | TODO | 2∑∏ – (-50)
91-95 | E | TODO | +9H
96-99 | A | TODO | 9∑ – 3∫
96-99 | B | TODO | 3∑∏ – 3∫ – (-40)
96-99 | C | TODO | +5H – 6∑∏ – (-75)
96-99 | D | TODO | (-100)
96-99 | E | TODO | —
100 | A | TODO | —
100 | B | TODO | expose some muscle and make a mess.
100 | C | TODO | helm, foe is dead.
100 | D | TODO | —
100 | E | TODO | inactivity.
