# Fumble Table 4.14 — Non-Weapon Fumble Table
# Skeleton generated by extract_skeletons.py.
# Each cell is narrative-only (no separate effect code).
# Narratives are TODO — fill in from your source copy.
#
@name:         Non-Weapon Fumble Table
@table_number: 4.14
@column_1:    Martial Arts Strikes
@column_2:    Martial Arts Sweeps
@column_3:    Brawling
@column_4:    Animal
#
# Format: <roll-band> | <col_index 1..4> | <narrative>
#
01-25 | 1 | TODO
01-25 | 2 | TODO
01-25 | 3 | TODO
01-25 | 4 | TODO
26-30 | 1 | TODO
26-30 | 2 | TODO
26-30 | 3 | TODO
26-30 | 4 | TODO
31-40 | 1 | TODO
31-40 | 2 | TODO
31-40 | 3 | TODO
31-40 | 4 | TODO
41-50 | 1 | TODO
41-50 | 2 | TODO
41-50 | 3 | TODO
41-50 | 4 | TODO
51-60 | 1 | TODO
51-60 | 2 | TODO
51-60 | 3 | TODO
51-60 | 4 | TODO
61-65 | 1 | TODO
61-65 | 2 | TODO
61-65 | 3 | TODO
61-65 | 4 | TODO
66 | 1 | TODO
66 | 2 | TODO
66 | 3 | TODO
66 | 4 | TODO
67-70 | 1 | TODO
67-70 | 2 | TODO
67-70 | 3 | TODO
67-70 | 4 | TODO
71-80 | 1 | TODO
71-80 | 2 | TODO
71-80 | 3 | TODO
71-80 | 4 | TODO
81-85 | 1 | TODO
81-85 | 2 | TODO
81-85 | 3 | TODO
81-85 | 4 | TODO
86-90 | 1 | TODO
86-90 | 2 | TODO
86-90 | 3 | TODO
86-90 | 4 | TODO
91-95 | 1 | TODO
91-95 | 2 | TODO
91-95 | 3 | TODO
91-95 | 4 | TODO
96-99 | 1 | TODO
96-99 | 2 | TODO
96-99 | 3 | TODO
96-99 | 4 | TODO
100 | 1 | TODO
100 | 2 | TODO
100 | 3 | TODO
100 | 4 | TODO
