# Fumble Table 4.13 — Weapon Fumble Table
# Transcribed from author-supplied PDF (X:\RMFRPSuite\weapon_fumble.pdf).
# Each cell is narrative-only (no separate effect code).
#
@name:         Weapon Fumble Table
@table_number: 4.13
@column_1:    One-Handed Arms
@column_2:    Two-Handed Arms
@column_3:    Polearms and Spears
@column_4:    Mounted Arms
@column_5:    Thrown Arms
@column_6:    Missile Weapons
#
# Format: <roll-band> | <col_index 1..6> | <narrative>
#
01-25 | 1 | Your palm is sweaty. Maybe you will improve.
01-25 | 2 | My that weapon is heavy! You lose the opportunity to take a swing.
01-25 | 3 | You snag your own clothes and lose the opportunity to take a swing.
01-25 | 4 | Your mount's tack tangles your weapon. You lose the opportunity to take a strike.
01-25 | 5 | Your grip is weak. You elect not to attack because of control.
01-25 | 6 | Sweat trickles into your eye. You elect not to attack. Good choice.
26-30 | 1 | Klutzy. Drop your weapon. Spend two rounds recovering it; or draw a new one next round.
26-30 | 2 | Your weapon flies. Take four rounds to recover it; or draw a new one next round.
26-30 | 3 | Fumble your delivery and your weapon is out of position. You lose the option to attack.
26-30 | 4 | Can't find the right angle. You lose 2 rounds of attack (but can still parry).
26-30 | 5 | You fumble your delivery but hang onto your weapon. You have -10 to your next attack.
26-30 | 6 | Your ten thumbs just cannot handle loading. You must reload your weapon.
31-40 | 1 | Your feet get tangled. You miss the opportunity to get in that vital blow.
31-40 | 2 | Your mind is wandering. Spend the rest of the round clearing your head.
31-40 | 3 | You just look clumsy. Your feet are sliding. You are stunned for one round.
31-40 | 4 | You slip in the saddle. You lose 2 rounds of attack (but can still parry).
31-40 | 5 | Your feet are really tangled up. You lose 2 rounds of attack, but can still parry.
31-40 | 6 | Your ammunition slips away. You must reload.
41-50 | 1 | You are over-extended and strain a muscle. Take 1d5 hits.
41-50 | 2 | Stumble over an imaginary dead turtle. You lose 2 rounds of attack, but you can still parry.
41-50 | 3 | Your weapon is spinning for two rounds. You can still parry at -10.
41-50 | 4 | Your mount dodges an unseen foe. You are stunned for 2 rounds.
41-50 | 5 | You begin juggling your weapon because of a bad grip. Your lack of control stuns you for 3 rounds.
41-50 | 6 | You notice that your ammunition is faulty. After removing it you discover you were wrong. Reload it.
51-60 | 1 | You try to impress your opponent with a spin maneuver. Too bad. Lose two rounds while you recover.
51-60 | 2 | Your combination of acrobatics and attacks is unimpressive. Lose two rounds of attacks, but you can still parry.
51-60 | 3 | You stagger into a nearby fixed object. You are stunned and unable to parry for two rounds.
51-60 | 4 | You lose your grip on your weapon. Luckily, it is tangled in your mount's tack. Your lack of grace stuns you for three rounds.
51-60 | 5 | Poor release. Weapon travels 2d10 feet to the left of the target.
51-60 | 6 | Your ammunition keeps jumping off of your weapon! Try melee next time.
61-65 | 1 | You snag your clothes with your weapon, causing it to slip from your hand. Spend two rounds juggling it.
61-65 | 2 | Your weapon flies from your hands, but you are able to catch it before it flies totally away. Lose two rounds of attack.
61-65 | 3 | Your shaft tangles in your legs. You almost fall down in an impressive feat of entangling. Your next attack is at -20.
61-65 | 4 | Your poor mount stumbles. You are stunned for two rounds.
61-65 | 5 | Very poor release sends your weapon straight up! You duck for cover while your weapon checks for breakage.
61-65 | 6 | Your weapon slips from your hands. Spend two rounds recovering it; or draw a new weapon.
66    | 1 | You execute a perfect attack—against closest ally (yourself if no one else is around). Ally takes 1d10 hits and a 'B' critical.
