# Spell List 2.1.2 — Concussion's Ways (Open)
# Transcribed (summary chart only — Phase 1) from author-supplied PDF
# X:\RMFRPSuite\spell law - channeling.pdf.
#
@realm:    Channeling
@name:     Concussion's Ways
@number:   2.1.2
@category: Open
#
# Format: <level> | <spell_name> | <area_effect> | <duration> | <range> | <type>
# A trailing '*' in the source chart (a Concentration / continuing-effect
# marker) is recorded in the @starred slot rather than the name.
#
 1 | Healing I | 1 target | P | touch | U
 2 | Frost/Burn Relief I | 1 target | P | touch | U
 3 | Min. Irritation Relief | 1 target | P | touch | U
 4 | Healing III | 1 target | P | touch | U
 5 | Stun Relief * | 1 target | P | touch | Us
 6 | Frost/Burn Relief II | 1 target | P | touch | U
 7 | Regeneration I * | 1 target | C | touch | Us
 8 | Healing V | 1 target | P | touch | U
 9 | Frost/Burn Relief III | 1 target | P | touch | U
10 | Awakening | 1 target | — | 100' | U
11 | Healing VII | 1 target | P | touch | U
12 | Regeneration II * | 1 target | C | touch | U
13 | Frost/Burn Relief IV | 1 target | P | touch | U
15 | Healing X | 1 target | P | touch | U
17 | Long Stun Relief * | 1 target | P | 100' | Us
18 | Regeneration III * | 1 target | C | touch | U
20 | Healing XV | 1 target | P | touch | U
25 | Regeneration V * | 1 target | C | touch | U
30 | True Healing | 1 target | P | touch | U
50 | Mass True Healing | varies | P | 100' | U
