# Spell List 2.5.6 — Inspiring Ways (Base)
# Transcribed (summary chart only — Phase 1) from author-supplied PDF
# X:\RMFRPSuite\spell law - channeling.pdf.
#
@realm:    Channeling
@name:     Inspiring Ways
@number:   2.5.6
@category: Base
@class:    Paladin
#
# Format: <level> | <spell_name> | <area_effect> | <duration> | <range> | <type>
# A trailing '*' in the source chart (a Concentration / continuing-effect
# marker) is recorded in the @starred slot rather than the name.
#
 1 | Courage | 10'R | 1 rnd/lvl | self | U
 2 | Inspirations I * | 20'R | 1 rnd/lvl | 100' | U
 3 | Voice of Friendship | * 1 target | varies | 50' | Fm
 4 | Inspirations II * | 20'R | 1 rnd/lvl | 100' | U
 5 | Voice of Reason * | 1 target | varies | 50' | Fm
 6 | Inspirations III * | 20'R | 1 rnd/lvl | 100' | U
 7 | Voice of Caution * | 1 target | varies | 50' | Fm
 8 | Command I * | 1 target | C | 10'/lvl | Fm
 9 | Inspirations IV * | 20'R | 1 rnd/lvl | 100' | U
10 | Words of Friendship | * varies | varies | 100' | Fm
11 | Inspirations V * | 20'R | 1 rnd/lvl | 100' | U
13 | Command II * | 2 targets | C | 10'/lvl | Fm
14 | Words of Reason * | varies | varies | 100' | Fm
15 | Inspirations VI * | 20'R | 1 rnd/lvl | 100' | U
16 | Courage True | 10'R | 1 rnd/lvl | self | U
17 | Inspirations VII * | 20'R | 1 rnd/lvl | 100' | U
18 | Words of Caution * | varies | varies | 100' | Fm
19 | Inspirations VIII * | 20'R | 1 rnd/lvl | 100' | U
20 | Voice of Conviction | 1 target | varies | 10' | Fm
25 | Inspirations True * | 20'R | 1 rnd/lvl | 100' | U
30 | Words of Conviction | varies | varies | 100' | Fm
50 | Inspirations Mastery | varies | 1 rnd/lvl | varies | U
