# Spell List 2.2.7 — Muscle Law (Closed)
# Transcribed (summary chart only — Phase 1) from author-supplied PDF
# X:\RMFRPSuite\spell law - channeling.pdf.
#
@realm:    Channeling
@name:     Muscle Law
@number:   2.2.7
@category: Closed
#
# Format: <level> | <spell_name> | <area_effect> | <duration> | <range> | <type>
# A trailing '*' in the source chart (a Concentration / continuing-effect
# marker) is recorded in the @starred slot rather than the name.
#
 1 | Muscle Lore | 1 target | — | touch | I
 2 | Tendon Lore | 1 target | — | touch | I
 3 | Sprain Repair | 1 target | P | touch | U
 4 | Muscle Repair I | 1 target | P | touch | U
 5 | Limb Preservation | * 1 target | 1 day/lvl | touch | U
 6 | Tendon Repair I | 1 target | P | touch | U
 9 | Muscle Repair III | 1 target | P | touch | U
10 | Tendon Repair III | 1 target | P | touch | U
12 | Joining * | 1 target | P | touch | U
13 | Muscle Repair True | 1 target | P | touch | U
15 | Tendon Repair True | 1 target | P | touch | U
17 | Mass Muscle Repair | varies | P | touch | U
19 | Mass Tendon Repair | varies | P | touch | U
20 | Muscle Regeneration | 1 target | P | touch | U
25 | Joining True * | 1 target | P | touch | U
30 | Tendon Regeneration | 1 target | P | touch | U
50 | Mass Repair True | varies | P | 100'R | U
