# Spell List 2.7.4 — Muscle Ways (Base)
# Transcribed (summary chart only — Phase 1) from author-supplied PDF
# X:\RMFRPSuite\spell law - channeling.pdf.
#
@realm:    Channeling
@name:     Muscle Ways
@number:   2.7.4
@category: Base
@class:    Healer
#
# Format: <level> | <spell_name> | <area_effect> | <duration> | <range> | <type>
# A trailing '*' in the source chart (a Concentration / continuing-effect
# marker) is recorded in the @starred slot rather than the name.
#
 1 | Sprain Repair | caster | P | self | Us
 2 | Muscle Repair I | caster | P | self | Us
 3 | Tendon Repair I | caster | P | self | Us
 4 | Muscle Repair III | caster | P | self | Us
 5 | Tendon Repair III | caster | P | self | Us
 7 | Joining * | caster | P | self | Us
 8 | Muscle Repair True | caster | P | self | Us
 9 | Tendon Repair True | caster | P | self | Us
11 | Mass Muscle Repair | caster | P | self | Us
12 | Muscle Regeneration | caster | P | self | Us
13 | Mass Tendon Repair | caster | P | self | Us
14 | Tendon Regeneration | caster | P | self | Us
15 | Joining True * | caster | P | self | Us
17 | Rapid Muscle Regen. | caster | P | self | Us
19 | Rapid Tendon Regen. | caster | P | self | Us
20 | Regeneration True | caster | P | self | Us
25 | Total Muscle Regen. | caster | P | self | Us
30 | Total Tendon Regen. | caster | P | self | Us
50 | Mass Repairs True | caster | P | self | Us
