# Spell List 2.1.6 — Nature's Law (Open)
# Transcribed (summary chart only — Phase 1) from author-supplied PDF
# X:\RMFRPSuite\spell law - channeling.pdf.
#
@realm:    Channeling
@name:     Nature's Law
@number:   2.1.6
@category: Open
#
# Format: <level> | <spell_name> | <area_effect> | <duration> | <range> | <type>
# A trailing '*' in the source chart (a Concentration / continuing-effect
# marker) is recorded in the @starred slot rather than the name.
#
 2 | Plant Lore | 1 plant | — | 10' | I
 3 | Herb Lore | 1 herb | — | 10' | I
 5 | Stone Lore | 1 stone | — | 10' | I
 6 | Speed Growth | 1 species | 1 day | 10' | U
 7 | Animal Tongues | caster | 1 min/lvl | self | I
 9 | Animal Mastery I | 1 animal | C | 100' | Fm
10 | Nature’s Awareness | I caster | C | 100' | I
11 | Plant Tongues | caster | 1 min/lvl | self | I
12 | Animal Mastery III | 3 animals | C | 100' | F
13 | Animal Empathy | 1 animal | C | 100' | P
14 | Plant Control I | 1 plant | 1 min/lvl | 100' | Fm
15 | Stonespeech | 1 stone | 1 min/lvl | self | I
16 | Herb Production | 1 seed | P | touch | U
18 | Animal Mastery V | 5 animals | C | 100' | Fm
19 | Plant Control III | 3 plants | 1 min /lvl | 100' | Fm
20 | Nature’s Awareness | V caster | C | 500' | I
25 | Earth Empathy | 1 object | 1 min/lvl | 100' | P
30 | Mastery | 1 species | C | 10'/lvl | Fm
50 | Animal Mastery True | 1 species | P | 10'/lvl | Fm
