# Spell List 2.2.8 — Nerve Law (Closed)
# Transcribed (summary chart only — Phase 1) from author-supplied PDF
# X:\RMFRPSuite\spell law - channeling.pdf.
#
@realm:    Channeling
@name:     Nerve Law
@number:   2.2.8
@category: Closed
#
# Format: <level> | <spell_name> | <area_effect> | <duration> | <range> | <type>
# A trailing '*' in the source chart (a Concentration / continuing-effect
# marker) is recorded in the @starred slot rather than the name.
#
 1 | Nerve Lore | 1 target | — | touch | I
 4 | Minor Nerve Repair | 1 target | P | touch | U
 5 | Limb Preservation | * 1 limb | 1 day/lvl | touch | U
 9 | Major Nerve Repair | 1 target | P | touch | U
10 | Unparalysis | 1 target | 10 min/lvl | touch | U
11 | Min. Nerve Repair Tr. | 1 target | P | touch | U
12 | Joining * | 1 target | P | touch | U
15 | Minor Brain Repair | 1 target | P | touch | U
16 | Maj. Nerve Repair Tr. | 1 target | P | touch | U
18 | Paralysis Cures | 1 target | P | touch | U
19 | Unpsychosis | 1 target | P | touch | U
20 | Mass Nerve Rep. Tr. | varies | P | touch | U
25 | Joining True * | 1 target | P | touch | U
30 | Nerve Regeneration | 1 target | P | touch | U
50 | Brain Regeneration | 1 target | P | touch | U
