# Channeling Realm — class-to-list index
# Extracted from canonical ERA archives across:
#   - rmfrpChannelingCompanion.spellLists.era
#   - rmfrpSpellLaw.spellLists.era
#   - rmfrpTreasureCompanion.spellLists.era
# Generated by scripts/build_spell_lists_era.py.
#
@realm: Channeling
#
# Every declared class also gets implicit access to all Open and
# Closed lists in this realm — load.py grants those memberships
# automatically; this file only enumerates the class-specific
# Base / supplement Base lists.
#
# Format: <class_name> | <list_name>
#
Animist | Animal Mastery
Animist | Herb Mastery
Animist | Nature's Lore
Animist | Nature's Movement and Senses
Animist | Nature's Protection
Animist | Plant Mastery
Channeling Alchemist | Holy Armoring
Channeling Alchemist | Holy Office
Channeling Alchemist | Holy Wards
Channeling Alchemist | Holy Weapons
Channeling Alchemist | Holy Works
Cleric | Channels
Cleric | Communal Ways
Cleric | Life Mastery
Cleric | Protections
Cleric | Repulsions
Cleric | Summons
Healer | Blood Ways
Healer | Bone Ways
Healer | Cleansing
Healer | Muscle Ways
Healer | Organ Ways
Healer | Surface Ways
Mythic | Holy Mission
Mythic | The Defender
Mythic | The Eye
Mythic | The Mask
Mythic | The Will
Mythic | Vengeance
Paladin | Communion
Paladin | Exorcism
Paladin | Holy Arms
Paladin | Holy Healing
Paladin | Holy Shields
Paladin | Inspiring Ways
Priest | Aquatic Forms
Priest | Banishments
Priest | Battlefield Healing
Priest | Ceremonies
Priest | Crusade
Priest | Death Mastery
Priest | Divine Aura
Priest | Divine Magic
Priest | Faith's Shield (Priest)
Priest | Holy Defenses
Priest | Holy Discipline
Priest | Holy Element
Priest | Holy Symbol
Priest | Holy Trances
Priest | Holy Weapon
Priest | Holy Wind
Priest | Holy Wrath
Priest | Horse Mastery
Priest | Hunting Mastery
Priest | Insect Mastery
Priest | Land Forms
Priest | Nature Domination
Priest | Proselytizing
Priest | Serpent Law
Priest | Spiritual Vision
Priest | Stone Mastery
Priest | The Hunter
Priest | Time Lore
Priest | Tree Mastery
Priest | Voodoo Magic
Ranger | Inner Walls
Ranger | Moving Ways
Ranger | Nature's Guises
Ranger | Nature's Summons
Ranger | Nature's Way
Ranger | Path Mastery
Summoner | Animal Summons
Summoner | Planar Summons
Summoner | Summoning Bond
Summoner | Summoning Circles
Summoner | Summoning Mastery
Summoner | Teleportals
Warlock | Doom's Law
Warlock | Faith Destruction
Warlock | Look of Terror
Warlock | Revenging Law
Warlock | Transformations
Warlock | Wyrd Mastery
