# Essence Realm — class-to-list index
# Extracted from canonical ERA archives across:
#   - rmfrpEssenceCompanion.spellLists.era
#   - rmfrpSpellLaw.spellLists.era
#   - rmfrpTreasureCompanion.spellLists.era
# Generated by scripts/build_spell_lists_era.py.
#
@realm: Essence
#
# Every declared class also gets implicit access to all Open and
# Closed lists in this realm — load.py grants those memberships
# automatically; this file only enumerates the class-specific
# Base / supplement Base lists.
#
# Format: <class_name> | <list_name>
#
Dabbler | Concealment Mastery
Dabbler | Influences
Dabbler | Mechanisms
Dabbler | Movement Mastery
Dabbler | Senses
Dabbler | Thieving Law
Essence Alchemist | Armor Enchantments
Essence Alchemist | General Enchantments
Essence Alchemist | Item Analysis
Essence Alchemist | Organic Skills
Essence Alchemist | Weapon Enchantments
General Alchemist | Inorganic Skills
General Alchemist | Liquid-Gas Skills
General Alchemist | Other Realm Imbedding
General Alchemist | Own Realm Imbedding
Illusionist | Feel-Taste-Smell
Illusionist | Guises
Illusionist | Illusion Mastery
Illusionist | Light Molding
Illusionist | Mind Sense Molding
Illusionist | Sound Molding
Magician | Earth Law
Magician | Fire Law
Magician | Ice Law
Magician | Light Law
Magician | Water Law
Magician | Wind Law
Mana Molder | Glyphs
Mana Molder | Mana Barriers
Mana Molder | Mana Items
Mana Molder | Mana Molding
Mana Molder | Mana Servants
Mana Molder | Mana Warriors
Runemage | Commanding Will
Runemage | Inscriptions
Runemage | Nomenclature Mastery
Runemage | Physical Manipulations
Runemage | Symbolism
Runemage | Warding Ways
Sorcerer | Flesh Destruction
Sorcerer | Fluid Destruction
Sorcerer | Gas Destruction
Sorcerer | Mind Destruction
Sorcerer | Solid Destruction
Sorcerer | Soul Destruction
Warrior Mage | Combat Illusions
Warrior Mage | Combat Ways
Warrior Mage | Spell Defenses
Warrior Mage | Warrior's Enhancement
Warrior Mage | Warrior's Weapon
Warrior Mage | Will of the Warrior
