# Mentalism Realm — class-to-list index
# Extracted from canonical ERA archives across:
#   - rmfrpMentalismCompanion.spellLists.era
#   - rmfrpSpellLaw.spellLists.era
#   - rmfrpTreasureCompanion.spellLists.era
# Generated by scripts/build_spell_lists_era.py.
#
@realm: Mentalism
#
# Every declared class also gets implicit access to all Open and
# Closed lists in this realm — load.py grants those memberships
# automatically; this file only enumerates the class-specific
# Base / supplement Base lists.
#
# Format: <class_name> | <list_name>
#
Armsmaster | Armor Mastery
Armsmaster | Battle Law
Armsmaster | Fortress Law
Armsmaster | Martial Law
Armsmaster | Warrior Law
Armsmaster | Weapon Mastery
Astrologer | Far Voice
Astrologer | Holy Vision
Astrologer | Starlights
Astrologer | Starlore
Astrologer | Starsense
Astrologer | Way of the Voice
Bard | Controlling Songs
Bard | Entertaining Ways
Bard | Item Lore
Bard | Lores
Bard | Sound Control
Bard | Sound Projection
Enchanter | Seeming Defenses
Enchanter | Seeming Enhancement
Enchanter | Seeming Law
Enchanter | Seeming Mastery
Enchanter | Seeming Memories
Enchanter | Seeming Projection
Lay Healer | Blood Mastery
Lay Healer | Bone Mastery
Lay Healer | Concussion Mastery
Lay Healer | Muscle Mastery
Lay Healer | Nerve And Organ Mastery
Lay Healer | Prosthetics
Magent | Assassination Mastery
Magent | Disguise Mastery
Magent | Escapes
Magent | Gathering Secrets
Magent | Misdirections
Magent | Poison Mastery
Mentalist | Mind Attack
Mentalist | Mind Control
Mentalist | Mind Merge
Mentalist | Mind Speech
Mentalist | Presence
Mentalist | Sense Control
Mentalist Alchemist | Attack Mastery
Mentalist Alchemist | Defense Mastery
Mentalist Alchemist | External Concentration
Mentalist Alchemist | Meditative Healing
Mentalist Alchemist | Understanding Mastery
Monk | Body Reins
Monk | Body Renewal
Monk | Evasions
Monk | Mind Over Matter
Monk | Monk's Bridge
Monk | Monk's Sense
Mystic | Confusing Ways
Mystic | Gas Alteration
Mystic | Hiding
Mystic | Liquid Alteration
Mystic | Mystical Change
Mystic | Solid Alteration
Seer | Far Visions
Seer | Future Visions
Seer | Mind Visions
Seer | Past Visions
Seer | Vision Borrowing
Seer | Vision Guard
