# Attack Table — Aklys
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Aklys
@attack_table:    armory.aklys
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 05
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 2BK 4CK 6DK 8DK 8CK 8DK 11DK 11DK 7DK 9DK 13DK 14DK 7DK 8DK 13DK 16DK 9DK 12DK 15DK 17DK
145-147 | 2AK 4BK 6CK 8DK 8BK 8DK 11DK 11DK 7DK 9DK 13DK 14DK 7DK 8DK 13DK 16DK 9DK 12DK 15DK 17DK
142-144 | 2 4 6BK 8CK 8AK 8CK 11DK 11DK 7CK 9DK 12DK 13DK 7DK 8DK 13DK 15DK 9DK 12DK 15DK 16DK
139-141 | 2 4 6AK 8CK 8AK 8BK 10CK 10CK 7CK 8CK 12DK 13DK 7DK 8DK 12DK 15DK 8CK 11CK 14DK 16DK
136-138 | 2 4 6 7BK 7 7BK 10CK 10CK 6BK 8CK 11CK 12CK 7CK 8CK 12CK 14DK 8CK 11CK 14CK 15CK
133-135 | 2 4 6 7AK 7 7AK 9BK 9CK 6BK 8CK 11CK 11CK 7CK 7CK 11CK 14CK 8CK 10CK 13CK 15CK
130-132 | 2 4 5 7AK 7 7AK 9BK 9BK 6BK 7BK 10CK 11CK 6CK 7CK 11CK 13CK 7BK 10CK 13CK 14CK
127-129 | 2 4 5 7 7 7 9AK 8BK 6AK 7BK 10BK 10CK 6BK 7BK 10CK 12CK 7BK 10BK 12CK 14BK
124-126 | 2 4 5 6 6 6 8AK 8AK 5 6AK 9BK 9BK 6BK 7BK 10BK 12CK 6AK 9BK 12BK 13BK
121-123 | 2 4 5 6 6 6 8AK 8AK 5 6AK 9BK 9BK 6BK 6BK 10BK 11BK 6AK 9AK 11BK 12BK
118-120 | 2 3 4 5 5 5 7 7AK 4 5AK 8AK 8BK 5AK 6BK 9BK 10BK 5AK 8AK 11BK 11BK
115-117 | 2 3 4 5 5 5 6 6 4 5 7AK 7BK 5AK 6AK 8BK 9BK 5 8AK 10BK 11AK
112-114 | 2 3 4 5 5 5 6 6 4 4 6AK 6AK 5AK 5AK 8AK 9BK 5 7AK 10AK 10AK
109-111 | 2 3 4 4 5 4 6 5 4 4 6 6AK 5 5AK 7AK 8AK 4 7 9AK 10AK
106-108 | 2 3 3 4 4 4 5 5 3 4 5 5AK 4 5 7AK 8AK 4 6 9AK 9
103-105 | 2 2 3 4 4 4 5 4 3 3 5 5AK 4 5 6AK 7AK 3 6 8AK 9
100-102 | 1 2 3 4 4 4 4 4 3 3 4 4 4 4 6 7AK 3 5 8AK 8
97-99 | 1 2 3 3 4 3 4 4 3 2 4 3 4 4 6 6AK 3 5 7 7
94-96 | 1 2 3 3 3 3 4 3 2 2 3 3 4 4 5 5 2 5 7 7
91-93 | 1 2 2 3 3 3 3 3 2 2 3 2 4 4 5 5 2 4 6 6
88-90 | 1 2 2 3 3 3 3 2 2 1 2 1 3 4 4 4 2 - 6 -
85-87 | 1 2 2 2 3 2 2 2 1 - 2 - 3 3 4 4 1 - 6 -
82-84 | 1 2 2 2 2 2 2 1 1 - 1 - 3 3 3 3 - - 5 -
79-81 | 1 2 2 2 2 2 2 1 - - - - 3 3 3 2 - - - -
76-78 | 1 1 2 1 2 1 1 - - - - - 3 3 3 - - - - -
73-75 | 1 1 1 1 2 1 - - - - - - 2 2 2 - - - - -
70-72 | 1 1 1 - 1 - - - - - - - 2 2 - - - - - -
67-69 | 1 1 1 - 1 - - - - - - - 2 - - - - - - -
64-66 | 1 1 - - - - - - - - - - - - - - - - - -
61-63 | 1 - - - - - - - - - - - - - - - - - - -
58-60 | 1 - - - - - - - - - - - - - - - - - - -
