# Attack Table — Atlatl
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Atlatl
@attack_table:    armory.atlatl
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 06
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 8EP 10EP 12EP 14EP 20EP 20EP 23EP 23EP 20EP 22EP 26EP 26EP 20EP 20EP 25EP 28EP 22EP 25EP 28EP 30EP
145-147 | 8EP 10EP 12EP 14EP 20EP 20EP 23EP 23EP 20EP 22EP 25EP 25EP 20EP 20EP 25EP 27EP 22EP 24EP 28EP 29EP
142-144 | 8DP 10DP 12EP 14EP 19EP 19EP 22EP 22EP 19EP 21EP 24EP 24EP 19EP 19EP 24EP 26EP 21EP 23EP 27EP 28EP
139-141 | 8CP 10DP 11DP 13DP 19DP 19DP 21EP 21EP 18EP 20EP 23EP 23EP 19EP 19EP 23EP 25EP 20EP 22EP 26EP 27EP
136-138 | 8CP 9CP 11DP 13DP 18DP 18DP 20DP 20DP 18DP 19DP 22DP 22EP 18DP 18EP 22EP 24EP 19DP 21DP 25EP 26DP
133-135 | 7BP 9CP 11CP 12DP 17DP 17DP 20DP 19DP 17DP 18DP 21DP 21DP 18DP 17DP 21DP 23DP 18DP 20DP 24DP 24DP
130-132 | 7BP 9BP 10CP 12DP 17CP 17DP 19DP 19DP 16DP 17DP 21DP 20DP 17DP 17DP 21DP 23DP 17DP 20DP 23DP 24DP
127-129 | 7AP 9AP 10BP 11CP 16CP 16CP 18CP 18DP 15DP 16DP 19DP 19DP 16DP 16DP 19DP 21DP 16CP 18DP 22DP 22DP
124-126 | 7 8AP 9BP 11CP 16BP 15CP 17CP 17CP 15CP 15CP 18CP 18DP 16CP 16DP 19DP 20DP 15CP 17CP 21DP 21CP
121-123 | 7 8 9BP 10BP 15BP 15BP 16CP 16CP 14CP 14CP 17CP 17CP 15CP 15CP 18CP 19DP 14CP 16CP 20CP 20CP
118-120 | 6 7 8AP 9BP 14BP 14BP 15BP 15CP 13CP 13CP 16CP 15CP 14CP 14CP 16CP 18CP 13BP 15CP 19CP 18CP
115-117 | 6 7 8AP 9BP 13AP 13BP 14BP 14CP 12CP 12BP 15CP 14CP 14CP 13CP 16CP 17CP 12BP 14BP 18CP 17BP
112-114 | 6 7 7 8AP 13AP 12AP 13BP 13BP 11BP 11BP 14BP 13CP 13BP 13CP 15CP 16CP 11BP 13BP 17CP 16BP
109-111 | 5 6 7 8AP 12AP 12AP 13AP 12BP 11BP 10BP 13BP 12BP 12BP 12BP 14CP 15CP 10AP 12BP 16BP 14BP
106-108 | 5 6 7 7AP 11 11AP 12AP 11BP 10BP 9BP 12BP 10BP 12BP 11BP 13BP 14BP 9AP 10BP 15BP 13BP
103-105 | 5 6 6 7 11 10 11AP 10AP 9BP 8AP 11BP 9BP 11BP 11BP 12BP 13BP 8AP 9AP 14BP 12AP
100-102 | 5 5 6 6 10 10 10 9AP 8AP 7AP 10AP 8BP 11AP 10BP 11BP 12BP 7AP 8AP 13BP 11AP
97-99 | 5 5 6 6 10 9 9 9AP 8AP 6AP 9AP 7BP 10AP 10AP 10BP 11BP 6 7AP 12BP 10AP
94-96 | 4 5 5 5 9 8 9 8AP 7AP 5AP 7AP 6AP 10AP 9AP 9AP 9BP 5 6 11AP 8AP
91-93 | 4 5 5 5 8 8 8 7 6AP 4 6AP 5AP 9AP 8AP 9AP 8AP 4 - 10AP -
88-90 | 4 4 4 4 8 7 7 6 6 4 5AP 4AP 8 8AP 8AP 7AP 3 - 10AP -
85-87 | 4 4 4 4 7 6 6 5 5 3 4 3AP 8 7AP 7AP 6AP - - 9AP -
82-84 | 4 4 4 4 7 6 6 4 4 - 3 - 7 6 6AP 5AP - - - -
79-81 | 3 3 3 3 6 5 5 4 3 - 2 - 7 6 5 4AP - - - -
76-78 | 3 3 3 3 5 4 4 3 3 - - - 6 5 4 - - - - -
73-75 | 3 3 3 2 5 4 3 2 2 - - - 6 5 - - - - - -
70-72 | 3 3 2 2 4 3 2 1 - - - - 5 4 - - - - - -
67-69 | 2 2 2 1 3 3 2 - - - - - 4 - - - - - - -
64-66 | 2 2 1 - 3 2 - - - - - - - - - - - - - -
61-63 | 2 2 1 - 2 1 - - - - - - - - - - - - - -
58-60 | 2 1 - - 2 - - - - - - - - - - - - - - -
55-57 | 2 1 - - 1 - - - - - - - - - - - - - - -
52-54 | 1 - - - - - - - - - - - - - - - - - - -
49-51 | 1 - - - - - - - - - - - - - - - - - - -
46-48 | 1 - - - - - - - - - - - - - - - - - - -
