# Attack Table — Bardiche
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Bardiche
@attack_table:    armory.bardiche
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 06
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 14ES 16ES 18ES 20ES 24ES 24ES 27ES 27ES 26ES 28ES 32ES 32ES 31ES 31ES 36ES 39ES 34ES 37ES 40ES 42ES
145-147 | 14ES 16ES 18ES 20ES 24ES 24ES 27ES 26ES 26ES 27ES 31ES 31ES 31ES 31ES 35ES 38ES 33ES 36ES 39ES 41ES
142-144 | 14DS 16DS 17ES 19ES 23ES 23ES 26ES 25ES 25ES 26ES 30ES 30ES 30ES 30ES 34ES 37ES 32ES 34ES 38ES 39ES
139-141 | 13CS 15DS 17DS 18ES 22DS 22DS 25ES 24ES 24ES 25ES 29ES 29ES 29ES 29ES 33ES 35ES 30ES 33ES 37ES 38ES
136-138 | 13BS 15CS 16DS 18DS 22DS 21DS 24DS 23DS 23DS 24DS 28ES 28ES 28ES 28ES 32ES 34ES 29DS 31DS 35ES 36DS
133-135 | 13BS 14CS 15CS 17DS 21CS 21DS 23DS 22DS 22DS 23DS 26DS 26DS 27DS 27DS 30DS 33DS 27DS 30DS 34DS 34DS
130-132 | 12AS 14BS 15CS 16DS 20CS 20CS 22DS 22DS 21DS 22DS 26DS 25DS 26DS 26DS 30DS 32DS 26DS 29DS 33DS 33DS
127-129 | 12 13AS 14CS 15CS 19CS 19CS 21CS 20DS 20DS 21DS 24DS 24DS 25DS 25DS 28DS 30DS 24DS 27DS 31DS 31DS
124-126 | 11 13AS 14BS 15CS 19BS 18CS 20CS 19CS 19CS 19CS 23DS 23DS 24DS 24DS 27DS 29DS 23CS 25CS 30DS 30CS
121-123 | 11 12 13BS 14CS 18BS 18BS 19CS 18CS 18CS 18CS 21CS 21DS 23CS 23DS 25DS 27DS 21CS 24CS 29DS 28CS
118-120 | 10 11 12AS 13BS 17AS 16BS 18BS 17CS 17CS 17CS 20CS 20CS 22CS 21CS 24CS 25CS 19CS 22CS 27CS 26CS
115-117 | 10 11 11AS 12BS 16AS 15BS 17BS 16CS 16BS 16CS 19CS 18CS 21CS 20CS 23CS 24CS 18BS 20CS 26CS 24CS
112-114 | 10 10 11AS 11BS 15AS 15AS 16BS 15BS 15BS 14BS 17CS 17CS 20CS 19CS 21CS 23CS 17BS 19BS 24CS 23BS
109-111 | 9 10 10 11AS 14 14AS 15AS 14BS 14BS 13BS 16BS 16CS 19BS 18CS 20CS 21CS 15BS 17BS 23CS 21BS
106-108 | 9 9 10 10AS 14 13AS 14AS 13BS 13BS 12BS 15BS 15BS 18BS 18BS 19CS 20CS 14BS 16BS 22BS 19BS
103-105 | 8 9 9 9AS 13 12 13AS 12BS 12AS 11BS 14BS 13BS 17BS 17BS 18BS 19BS 12AS 14BS 20BS 18BS
100-102 | 8 8 8 8 12 12 12 11AS 11AS 10AS 12BS 12BS 16BS 16BS 16BS 17BS 11AS 13AS 19BS 16AS
97-99 | 8 8 8 8 12 11 11 10AS 11AS 9AS 11BS 11BS 16AS 15BS 15BS 16BS 9AS 11AS 18BS 14AS
94-96 | 7 7 7 7 11 10 10 9AS 10AS 8AS 10AS 10BS 15AS 14BS 14BS 15BS 8AS 10AS 16BS 13AS
91-93 | 7 7 6 6 10 9 9 8AS 9 6AS 9AS 8AS 14AS 13AS 13BS 13BS 6 8AS 15AS 11AS
88-90 | 7 6 6 6 9 8 8 7 8 5 7AS 7AS 13AS 12AS 12AS 12AS 5 - 14AS 10AS
85-87 | 6 6 5 5 9 8 7 6 7 4 6AS 6AS 12AS 11AS 10AS 10AS - - 12AS -
82-84 | 6 5 5 4 8 7 6 5 6 3 5 5AS 11 10AS 9AS 9AS - - 11AS -
79-81 | 5 5 4 3 7 6 5 4 5 - 4 3AS 10 9 8AS 8AS - - 10AS -
76-78 | 5 5 3 3 6 5 5 3 4 - - - 9 8 7AS 6AS - - - -
73-75 | 5 4 3 2 6 5 4 2 3 - - - 8 7 5 5 - - - -
70-72 | 4 4 2 1 5 4 3 - - - - - 7 6 - - - - - -
67-69 | 4 3 2 - 4 3 - - - - - - 7 5 - - - - - -
64-66 | 4 3 1 - 3 2 - - - - - - 6 - - - - - - -
61-63 | 3 2 - - 3 - - - - - - - - - - - - - - -
58-60 | 3 2 - - 2 - - - - - - - - - - - - - - -
55-57 | 2 1 - - - - - - - - - - - - - - - - - -
52-54 | 2 - - - - - - - - - - - - - - - - - - -
49-51 | 2 - - - - - - - - - - - - - - - - - - -
46-48 | 1 - - - - - - - - - - - - - - - - - - -
