# Attack Table — Bastard Axe
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Bastard Axe
@attack_table:    armory.bastard_axe
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 05
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 14ES 16ES 18ES 20ES 24ES 24ES 27ES 27ES 24ES 26ES 30ES 30ES 24ES 24ES 29ES 32ES 27ES 30ES 33ES 35ES
145-147 | 14ES 16ES 18ES 20ES 24ES 24ES 27ES 27ES 24ES 26ES 29ES 29ES 24ES 24ES 29ES 31ES 26ES 29ES 33ES 34ES
142-144 | 14ES 16ES 17ES 19ES 23ES 23ES 26ES 26ES 23ES 25ES 28ES 28ES 23ES 23ES 28ES 30ES 25ES 28ES 32ES 33ES
139-141 | 13DS 15DS 17ES 19ES 23ES 22ES 25ES 25ES 22ES 24ES 27ES 27ES 23ES 23ES 27ES 29ES 24ES 27ES 31ES 32ES
136-138 | 13DS 15DS 16DS 18DS 22DS 22DS 24DS 24ES 22DS 23ES 26ES 26ES 22ES 22ES 26ES 28ES 23DS 26DS 30ES 31ES
133-135 | 13CS 14DS 16DS 17DS 21DS 21DS 23DS 23DS 21DS 22DS 25DS 25ES 21DS 21DS 25DS 27ES 22DS 25DS 29DS 30DS
130-132 | 13CS 14CS 16DS 17DS 21DS 21DS 23DS 23DS 20DS 21DS 25DS 25DS 21DS 21DS 25DS 27DS 22DS 24DS 28DS 29DS
127-129 | 12BS 14CS 15CS 16DS 20CS 20DS 22DS 22DS 19DS 20DS 23DS 23DS 20DS 20DS 23DS 25DS 20DS 23DS 27DS 27DS
124-126 | 12BS 13BS 14CS 16CS 19CS 19CS 21CS 21DS 19CS 19DS 22DS 22DS 20DS 19DS 23DS 24DS 19CS 22CS 26DS 26DS
121-123 | 12BS 13BS 14CS 15CS 19CS 18CS 20CS 20DS 18CS 18CS 21DS 21DS 19CS 19DS 22DS 23DS 18CS 21CS 25DS 25CS
118-120 | 11AS 12BS 13BS 14CS 18BS 17CS 19CS 18CS 17CS 17CS 20CS 20DS 18CS 17CS 20CS 22DS 17CS 19CS 24CS 23CS
115-117 | 10AS 11AS 12BS 13CS 17BS 17BS 18CS 18CS 16CS 16CS 19CS 19CS 17CS 17CS 19CS 21CS 16BS 18CS 23CS 22CS
112-114 | 10 11AS 12BS 13BS 16BS 16BS 17BS 17CS 15BS 15CS 18CS 18CS 17CS 16CS 19CS 20CS 15BS 17BS 22CS 21CS
109-111 | 10 11AS 11BS 12BS 16BS 15BS 17BS 16CS 14BS 14BS 17CS 17CS 16BS 15CS 18CS 19CS 14BS 16BS 21CS 20BS
106-108 | 9 10 11AS 11BS 15AS 15BS 16BS 15BS 14BS 13BS 16BS 15CS 15BS 15BS 17CS 18CS 13BS 15BS 20CS 18BS
103-105 | 9 10 10AS 11BS 14AS 14AS 15BS 14BS 13BS 12BS 15BS 14CS 15BS 14BS 16BS 17CS 12AS 14BS 19BS 17BS
100-102 | 9 9 10AS 10AS 14AS 13AS 14AS 13BS 12AS 11BS 14BS 13BS 14BS 14BS 15BS 16BS 11AS 13AS 18BS 16BS
97-99 | 8 9 9 10AS 13 13AS 13AS 13BS 11AS 10BS 13BS 12BS 13BS 13BS 14BS 15BS 10AS 12AS 17BS 15AS
94-96 | 8 9 9 9AS 12 12AS 12AS 12BS 11AS 9AS 12BS 11BS 13AS 12BS 13BS 14BS 9AS 11AS 16BS 14AS
91-93 | 8 8 8 8AS 12 11 12AS 11AS 10AS 9AS 11AS 10BS 12AS 12AS 13BS 13BS 8 10AS 15AS 13AS
88-90 | 7 8 8 8 11 11 11 10AS 9AS 8AS 10AS 9BS 12AS 11AS 12AS 12BS 7 9 14AS 11AS
85-87 | 7 7 7 7 11 10 10 9AS 8 7AS 9AS 8AS 11AS 10AS 11AS 11AS 6 8 13AS 10
82-84 | 7 7 7 7 10 9 9 8AS 8 6 8AS 7AS 10 10AS 10AS 10AS 5 - 12AS 9
79-81 | 6 6 6 6 9 9 8 7AS 7 5 7AS 6AS 10 9AS 9AS 9AS - - 11AS -
76-78 | 6 6 6 5 9 8 8 7 6 4 6 5AS 9 8 8AS 8AS - - 10 -
73-75 | 6 6 5 5 8 7 7 6 5 3 5 4AS 9 8 7 7AS - - 9 -
70-72 | 5 5 4 4 7 6 6 5 5 - 4 3 8 7 6 6 - - - -
67-69 | 5 5 4 3 7 6 5 4 4 - - - 7 6 6 5 - - - -
64-66 | 5 4 3 3 6 5 4 3 3 - - - 7 6 - - - - - -
61-63 | 4 4 3 2 5 4 4 2 - - - - 6 5 - - - - - -
58-60 | 4 4 2 2 5 4 3 - - - - - 5 - - - - - - -
55-57 | 4 3 2 1 4 3 2 - - - - - - - - - - - - -
52-54 | 3 3 1 - 3 2 - - - - - - - - - - - - - -
49-51 | 3 2 - - 3 - - - - - - - - - - - - - - -
46-48 | 3 2 - - 2 - - - - - - - - - - - - - - -
43-45 | 2 1 - - - - - - - - - - - - - - - - - -
40-42 | 2 1 - - - - - - - - - - - - - - - - - -
37-39 | 2 - - - - - - - - - - - - - - - - - - -
34-36 | 1 - - - - - - - - - - - - - - - - - - -
31-33 | 1 - - - - - - - - - - - - - - - - - - -
