# Attack Table — Bastard Sword
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Bastard Sword
@attack_table:    armory.bastard_sword
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 04
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 12ES 14ES 16ES 18ES 21ES 21ES 24ES 24ES 24ES 26ES 30ES 30ES 28ES 28ES 33ES 36ES 30ES 33ES 36ES 38ES
145-147 | 12ES 14ES 16ES 18ES 21ES 21ES 24ES 24ES 24ES 26ES 29ES 29ES 28ES 28ES 33ES 35ES 29ES 32ES 35ES 37ES
142-144 | 12DS 14ES 16ES 17ES 20ES 20ES 23ES 23ES 23ES 25ES 28ES 28ES 27ES 27ES 32ES 34ES 28ES 31ES 34ES 36ES
139-141 | 12DS 13DS 15DS 17ES 20DS 20ES 22ES 22ES 22ES 24ES 27ES 27ES 26ES 26ES 31ES 33ES 27ES 30ES 33ES 35ES
136-138 | 11CS 13DS 15DS 16DS 19DS 19DS 21DS 21ES 21DS 23ES 26ES 26ES 26ES 25ES 30ES 32ES 26DS 29ES 32ES 33ES
133-135 | 11CS 13CS 14DS 16DS 19DS 18DS 21DS 21DS 21DS 22DS 25DS 25ES 25DS 25DS 29ES 31ES 25DS 28DS 31DS 32DS
130-132 | 11CS 12CS 14DS 15DS 18DS 18DS 20DS 20DS 20DS 21DS 25DS 25DS 24DS 24DS 28DS 30DS 24DS 27DS 31DS 31DS
127-129 | 10BS 12BS 13CS 14DS 17CS 17CS 19DS 19DS 19DS 20DS 23DS 23DS 23DS 23DS 27DS 29DS 22DS 25DS 29DS 30DS
124-126 | 10AS 11BS 13CS 14CS 17CS 17CS 18CS 18DS 18CS 19DS 22DS 22DS 23DS 22DS 26DS 28DS 21CS 24DS 28DS 28DS
121-123 | 10AS 11BS 12BS 13CS 16BS 16CS 18CS 17CS 18CS 18CS 21DS 21DS 22DS 21DS 25DS 27DS 20CS 23CS 27DS 27CS
118-120 | 9AS 10AS 11BS 12CS 15BS 15BS 17CS 16CS 16CS 17CS 20CS 20DS 21CS 20CS 23DS 25DS 19CS 21CS 26CS 25CS
115-117 | 9 10AS 11BS 12BS 15BS 14BS 16BS 15CS 16CS 16CS 19CS 19CS 20CS 19CS 22CS 24CS 17CS 20CS 25CS 24CS
112-114 | 8 9 10AS 11BS 14AS 14BS 15BS 14CS 15BS 15CS 18CS 18CS 19CS 19CS 21CS 23CS 16BS 19CS 24CS 23CS
109-111 | 8 9 10AS 10BS 13AS 13BS 14BS 14BS 14BS 14BS 17CS 17CS 18CS 18CS 20CS 22CS 15BS 18BS 23CS 21BS
106-108 | 8 9 9AS 10BS 13AS 12AS 14BS 13BS 13BS 13BS 16BS 16CS 18BS 17CS 19CS 21CS 14BS 17BS 21CS 20BS
103-105 | 8 8 9AS 9AS 12AS 12AS 13AS 12BS 13BS 12BS 15BS 15CS 17BS 16BS 18CS 19CS 13BS 16BS 20BS 19BS
100-102 | 7 8 8 9AS 12 11AS 12AS 11BS 12AS 11BS 14BS 14BS 16BS 15BS 17BS 18CS 12AS 14BS 19BS 18BS
97-99 | 7 8 8 8AS 11 11 11AS 10BS 11AS 10BS 13BS 13BS 15BS 15BS 16BS 17BS 11AS 13AS 18BS 16BS
94-96 | 7 7 7 8AS 11 10 11AS 10AS 10AS 9AS 12BS 12BS 15BS 14BS 15BS 16BS 9AS 12AS 17BS 15AS
91-93 | 6 7 7 7 10 9 10 9AS 10AS 8AS 11AS 11BS 14AS 13BS 14BS 15BS 8AS 11AS 16BS 14AS
88-90 | 6 6 6 6 9 9 9 8AS 9AS 7AS 10AS 9BS 13AS 12AS 13BS 14BS 7AS 10AS 15AS 12AS
85-87 | 6 6 6 6 9 8 8 7AS 8 6AS 9AS 8AS 12AS 12AS 12AS 13BS 6 9 14AS 11AS
82-84 | 6 6 5 5 8 8 8 7 7 5 8AS 7AS 12AS 11AS 12AS 12AS 5 7 13AS 10
79-81 | 5 5 5 5 8 7 7 6 7 4 7AS 6AS 11AS 10AS 11AS 11AS - - 12AS -
76-78 | 5 5 4 4 7 6 6 5 6 3 6 5AS 10 9AS 10AS 9AS - - 11AS -
73-75 | 5 5 4 4 6 6 5 4 5 - 5 4AS 9 8AS 9AS 8AS - - 10AS -
70-72 | 4 4 3 3 6 5 5 3 4 - 4 3 9 8 8AS 7AS - - 9 -
67-69 | 4 4 3 2 5 4 4 3 4 - - - 8 7 7 6AS - - - -
64-66 | 4 3 2 2 5 4 3 - - - - - 7 6 6 5 - - - -
61-63 | 4 3 2 1 4 3 2 - - - - - 6 5 - - - - - -
58-60 | 3 3 1 - 4 3 - - - - - - 6 - - - - - - -
55-57 | 3 2 1 - 3 2 - - - - - - 5 - - - - - - -
52-54 | 3 2 - - 2 - - - - - - - - - - - - - - -
49-51 | 2 2 - - - - - - - - - - - - - - - - - -
46-48 | 2 1 - - - - - - - - - - - - - - - - - -
43-45 | 2 - - - - - - - - - - - - - - - - - - -
40-42 | 1 - - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
