# Attack Table — Beaked Axe
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Beaked Axe
@attack_table:    armory.beaked_axe
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 07
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 12EP 14EP 16EP 18EP 21EP 21EP 24EP 24EP 22EP 24EP 28EP 28EP 26EP 26EP 31EP 34EP 28EP 31EP 34EP 36EP
145-147 | 12EP 14EP 16EP 18EP 21EP 21EP 24EP 24EP 22EP 24EP 28EP 27EP 26EP 26EP 31EP 33EP 27EP 30EP 33EP 35EP
142-144 | 12DP 14DP 16EP 17EP 20EP 20EP 23EP 23EP 21EP 23EP 27EP 26EP 25EP 25EP 30EP 32EP 26EP 29EP 32EP 34EP
139-141 | 12CP 13DP 15DP 17EP 20DP 20DP 22EP 22EP 20EP 22EP 26EP 25EP 24EP 24EP 29EP 31EP 25EP 28EP 31EP 33EP
136-138 | 11CP 13CP 15DP 16DP 19DP 19DP 21DP 21DP 20DP 21DP 25EP 24EP 24EP 24EP 28EP 30EP 24DP 27EP 30EP 32EP
133-135 | 11BP 13CP 14CP 16DP 19DP 18DP 21DP 20DP 19DP 20DP 24DP 23DP 23DP 23DP 27DP 29EP 23DP 26DP 29DP 30DP
130-132 | 11BP 12BP 14CP 15DP 18CP 18DP 20DP 20DP 19DP 19DP 23DP 23DP 23DP 22DP 26DP 28DP 22DP 25DP 29DP 29DP
127-129 | 10AP 12BP 13CP 14CP 17CP 17CP 19CP 19DP 18DP 18DP 22DP 21DP 22DP 21DP 25DP 27DP 21DP 23DP 27DP 28DP
124-126 | 10 11AP 13BP 14CP 17BP 16CP 18CP 18CP 17CP 17CP 21DP 20DP 21DP 21DP 24DP 26DP 20CP 22DP 26DP 27DP
121-123 | 10 11AP 12BP 13CP 16BP 16BP 18CP 17CP 16CP 17CP 20CP 19DP 20CP 20DP 23DP 25DP 19CP 21CP 25DP 25CP
118-120 | 9 10 11AP 12BP 15BP 15BP 16BP 16CP 15CP 15CP 18CP 18CP 19CP 19CP 21CP 23DP 17CP 20CP 24CP 24CP
115-117 | 9 10 11AP 11BP 14AP 14BP 16BP 15CP 14BP 14CP 17CP 17CP 18CP 18CP 20CP 22CP 16CP 18CP 23CP 22CP
112-114 | 8 9 10AP 11BP 14AP 13AP 15BP 14BP 14BP 13BP 16CP 16CP 18CP 17CP 19CP 21CP 15BP 17CP 22CP 21CP
109-111 | 8 9 10 10AP 13 13AP 14AP 13BP 13BP 12BP 15BP 15CP 17BP 16CP 18CP 20CP 14BP 16BP 21CP 20BP
106-108 | 8 9 9 10AP 13 12AP 13AP 13BP 12BP 12BP 14BP 14CP 16BP 16BP 18CP 19CP 13BP 15BP 20CP 19BP
103-105 | 8 8 9 9AP 12 12 12AP 12BP 11AP 11BP 13BP 13BP 16BP 15BP 17BP 17CP 12AP 14BP 19BP 17BP
100-102 | 7 8 8 9 12 11 12AP 11AP 11AP 10AP 12BP 12BP 15BP 14BP 16BP 16BP 11AP 13BP 18BP 16BP
97-99 | 7 7 8 8 11 10 11 10AP 10AP 9AP 11BP 11BP 14BP 14BP 15BP 15BP 9AP 12AP 17BP 15BP
94-96 | 7 7 7 7 10 10 10 9AP 9AP 8AP 10AP 10BP 14AP 13BP 14BP 14BP 8AP 10AP 16BP 14AP
91-93 | 6 7 7 7 10 9 9 9AP 9 7AP 9AP 9AP 13AP 12AP 13BP 13BP 7 9AP 15BP 12AP
88-90 | 6 6 6 6 9 8 9 8 8 6 8AP 8AP 12AP 11AP 12AP 12BP 6 8AP 14AP 11AP
85-87 | 6 6 6 6 9 8 8 7 7 5 7AP 7AP 11AP 11AP 11AP 11AP 5 7 13AP 10AP
82-84 | 5 6 5 5 8 7 7 6 7 4 6 6AP 11 10AP 10AP 10AP 4 - 12AP -
79-81 | 5 5 5 4 7 7 6 5 6 4 5 5AP 10 9AP 9AP 9AP - - 11AP -
76-78 | 5 5 4 4 7 6 6 4 5 - 4 4 9 8 8AP 8AP - - 10AP -
73-75 | 5 4 4 3 6 5 5 4 4 - 3 3 9 8 7AP 6AP - - 9 -
70-72 | 4 4 3 3 6 5 4 3 4 - - - 8 7 6 5 - - - -
67-69 | 4 4 3 2 5 4 3 2 3 - - - 7 6 5 - - - - -
64-66 | 4 3 2 1 4 3 3 - - - - - 7 5 - - - - - -
61-63 | 3 3 2 - 4 3 - - - - - - 6 - - - - - - -
58-60 | 3 2 1 - 3 2 - - - - - - 5 - - - - - - -
55-57 | 3 2 - - 3 - - - - - - - - - - - - - - -
52-54 | 2 2 - - 2 - - - - - - - - - - - - - - -
49-51 | 2 1 - - - - - - - - - - - - - - - - - -
46-48 | 2 - - - - - - - - - - - - - - - - - - -
43-45 | 2 - - - - - - - - - - - - - - - - - - -
40-42 | 1 - - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
