# Attack Table — Bec de Corbin
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Bec de Corbin
@attack_table:    armory.bec_de_corbin
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 06
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 14EP 16EP 18EP 20EP 22EP 22EP 25EP 25EP 22EP 24EP 28EP 28EP 22EP 22EP 27EP 30EP 24EP 27EP 30EP 32EP
145-147 | 14EP 16EP 18EP 20EP 22EP 22EP 25EP 25EP 22EP 24EP 28EP 27EP 22EP 22EP 27EP 30EP 24EP 27EP 30EP 31EP
142-144 | 14DP 16DP 17EP 19EP 21EP 21EP 24EP 24EP 21EP 23EP 27EP 26EP 21EP 21EP 26EP 29EP 23EP 26EP 29EP 30EP
139-141 | 13DP 15DP 17DP 19EP 21DP 21DP 23EP 23EP 20EP 22EP 26EP 25EP 21EP 21EP 25EP 28EP 22EP 25EP 28EP 29EP
136-138 | 13CP 15CP 16DP 18DP 20DP 20DP 22DP 22DP 20DP 21DP 25EP 24EP 20EP 20EP 24EP 27EP 21DP 24DP 27EP 28DP
133-135 | 13BP 14CP 16DP 17DP 19DP 19DP 22DP 21DP 19DP 20DP 24DP 23DP 20DP 19DP 23DP 26DP 20DP 23DP 26DP 27DP
130-132 | 13BP 14CP 15CP 17DP 19CP 19DP 21DP 21DP 18DP 20DP 23DP 23DP 19DP 19DP 23DP 25DP 19DP 22DP 25DP 26DP
127-129 | 12AP 13BP 15CP 16CP 18CP 18CP 20CP 20DP 18DP 18DP 22DP 21DP 18DP 18DP 22DP 24DP 18DP 21DP 24DP 25DP
124-126 | 12AP 13AP 14BP 15CP 18BP 17CP 19CP 19CP 17CP 17CP 21DP 20DP 18DP 18DP 21DP 23DP 17CP 20CP 23DP 23CP
121-123 | 11 13AP 14BP 15CP 17BP 17BP 18CP 18CP 16CP 17CP 20CP 19DP 17CP 17DP 20DP 22DP 16CP 19CP 22DP 22CP
118-120 | 11 12 13BP 14BP 16BP 16BP 17BP 17CP 15CP 15CP 18CP 18CP 16CP 16CP 19CP 20CP 15CP 17CP 21CP 21CP
115-117 | 10 11 12AP 13BP 15AP 15BP 16BP 16CP 14BP 14CP 17CP 17CP 16CP 15CP 18CP 19CP 14BP 16CP 20CP 20CP
112-114 | 10 11 12AP 12BP 15AP 14AP 16BP 15BP 14BP 13BP 16CP 16CP 15CP 15CP 17CP 18CP 13BP 15BP 19CP 19BP
109-111 | 10 10 11AP 12BP 14AP 14AP 15BP 14BP 13BP 13BP 15BP 15CP 14BP 14CP 16CP 17CP 12BP 14BP 18CP 17BP
106-108 | 9 10 10 11AP 13 13AP 14AP 13BP 12BP 12BP 14BP 14CP 14BP 14BP 16CP 17CP 11BP 13BP 18BP 16BP
103-105 | 9 10 10 11AP 13 12 13AP 13BP 11AP 11BP 13BP 13BP 13BP 13BP 15BP 16BP 10AP 12BP 17BP 15BP
100-102 | 9 9 9 10AP 12 12 12AP 12AP 11AP 10AP 12BP 12BP 13BP 12BP 14BP 15BP 9AP 11AP 16BP 14AP
97-99 | 8 9 9 9 12 11 12 11AP 10AP 9AP 11BP 11BP 12BP 12BP 13BP 14BP 8AP 10AP 15BP 13AP
94-96 | 8 8 8 9 11 10 11 10AP 9AP 8AP 10AP 10BP 12AP 11BP 12BP 13BP 8AP 9AP 14BP 12AP
91-93 | 8 8 8 8 10 10 10 9AP 9 7AP 9AP 9AP 11AP 10AP 11AP 12BP 7 8AP 13AP 11AP
88-90 | 7 7 7 7 10 9 9 8 8 6 9AP 7AP 10AP 10AP 11AP 11AP 6 7 12AP 10AP
85-87 | 7 7 7 7 9 8 9 8 7 6 8AP 6AP 10AP 9AP 10AP 10AP 5 6 11AP 8
82-84 | 7 7 6 6 8 8 8 7 6 5 7 5AP 9 9AP 9AP 9AP 4 - 10AP -
79-81 | 6 6 6 5 8 7 7 6 6 4 6 4AP 9 8AP 8AP 8AP 3 - 9AP -
76-78 | 6 6 5 5 7 6 6 5 5 3 5 3 8 7 7 7AP - - 9 -
73-75 | 6 5 5 4 7 6 5 4 4 2 4 2 7 7 6 6 - - - -
70-72 | 5 5 4 4 6 5 5 3 4 - 3 - 7 6 6 5 - - - -
67-69 | 5 4 4 3 5 4 4 3 3 - - - 6 6 5 4 - - - -
64-66 | 5 4 3 2 5 4 3 2 2 - - - 6 5 4 - - - - -
61-63 | 4 4 2 2 4 3 2 1 - - - - 5 4 - - - - - -
58-60 | 4 3 2 1 3 3 2 - - - - - 5 - - - - - - -
55-57 | 3 3 1 - 3 2 - - - - - - 4 - - - - - - -
52-54 | 3 2 - - 2 1 - - - - - - - - - - - - - -
49-51 | 3 2 - - 2 - - - - - - - - - - - - - - -
46-48 | 2 1 - - 1 - - - - - - - - - - - - - - -
43-45 | 2 1 - - - - - - - - - - - - - - - - - -
40-42 | 2 - - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
34-36 | 1 - - - - - - - - - - - - - - - - - - -
