# Attack Table — Blowpipe
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Blowpipe
@attack_table:    armory.blowpipe
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 04
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 1AT 2AT 3AT 4BT 4AT 4AT 5BT 5BT 3AT 4BT 6BT 6BT 4BT 5BT 6BT 7BT 5BT 7BT 7BT 8BT
145-147 | 1 2AT 3AT 4BT 4AT 4AT 5BT 5BT 3AT 4BT 6BT 6BT 4BT 5BT 6BT 7BT 5BT 7BT 7BT 8BT
142-144 | 1 2 3AT 4BT 4AT 4AT 5BT 5BT 3AT 4BT 6BT 6BT 4BT 5BT 6BT 7BT 5BT 7BT 7BT 8BT
139-141 | 1 2 3 4AT 4 4AT 5AT 5BT 3AT 4AT 6BT 6BT 4BT 5BT 6BT 7BT 5BT 7BT 7BT 7BT
136-138 | 1 2 3 4AT 4 4 5AT 5BT 3 4AT 6AT 6BT 4AT 5BT 6BT 7BT 5BT 6BT 6BT 7BT
133-135 | 1 2 3 4AT 4 4 5AT 5AT 3 4 5AT 5BT 4AT 5AT 5BT 6BT 5AT 6BT 6BT 7BT
130-132 | 1 2 3 4 4 4 5 5AT 3 4 5AT 5AT 4AT 5AT 5AT 6BT 4AT 6BT 6BT 6BT
127-129 | 1 2 3 4 4 4 4 4AT 3 3 5AT 5AT 4 4AT 5AT 6BT 4AT 5AT 6BT 6BT
124-126 | 1 2 3 4 4 4 4 4AT 3 3 5 5AT 4 4AT 5AT 6AT 4AT 5AT 5BT 5AT
121-123 | 1 2 3 3 4 4 4 4 3 3 4 5AT 4 4 5AT 5AT 4AT 5AT 5AT 5AT
118-120 | 1 2 2 3 3 3 3 3 2 3 4 4AT 3 3 4AT 5AT 3 4AT 4AT 4AT
115-117 | 1 2 2 3 3 3 3 3 2 2 4 4 3 3 4AT 4AT 3 3AT 4AT 4AT
112-114 | 1 2 2 3 3 3 3 3 2 2 3 3 3 3 4 4AT 3 3 4AT 4AT
109-111 | 1 2 2 2 3 3 3 3 2 2 3 3 3 3 3 4AT 2 3 3AT 3AT
106-108 | 1 2 2 2 3 2 3 3 2 2 3 3 2 3 3 4AT 2 3 3AT 3AT
103-105 | 1 1 2 2 2 2 3 3 2 2 3 3 2 3 3 3AT 2 2 3AT 2AT
100-102 | 1 1 2 2 2 2 3 2 2 2 2 2 2 3 3 3 2 2 3AT 2AT
97-99 | 1 1 2 2 2 2 2 2 2 2 2 2 2 2 3 3 2 2 2AT 2
94-96 | 1 1 2 2 2 2 2 2 2 1 2 2 2 2 2 3 1 1 2 1
91-93 | 1 1 2 2 2 2 2 2 1 1 2 2 2 2 2 2 1 - 2 -
88-90 | 1 1 1 2 2 2 2 2 1 1 2 2 2 2 2 2 1 - 2 -
85-87 | 1 1 1 1 2 2 2 2 1 - 1 1 2 2 2 2 - - 1 -
82-84 | 1 1 1 1 2 2 2 1 1 - 1 1 2 2 2 2 - - 1 -
79-81 | 1 1 1 1 2 1 1 1 1 - - - 1 1 1 1 - - - -
76-78 | 1 1 1 1 2 1 1 1 1 - - - 1 1 1 1 - - - -
73-75 | 1 1 1 - 1 1 1 - - - - - 1 1 1 - - - - -
70-72 | 1 1 1 - 1 1 - - - - - - 1 - - - - - - -
67-69 | 1 1 - - 1 1 - - - - - - 1 - - - - - - -
64-66 | 1 1 - - 1 - - - - - - - - - - - - - - -
61-63 | 1 - - - 1 - - - - - - - - - - - - - - -
58-60 | 1 - - - - - - - - - - - - - - - - - - -
55-57 | 1 - - - - - - - - - - - - - - - - - - -
