# Attack Table — Boomerang
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Boomerang
@attack_table:    armory.boomerang
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 04
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 3CK 5CK 7DK 9EK 10EK 10EK 13EK 13EK 8EK 10EK 14EK 15EK 9EK 9EK 14EK 18EK 11EK 14EK 17EK 19EK
145-147 | 3AK 5BK 7DK 9EK 10DK 10EK 13EK 13EK 8EK 10EK 14EK 15EK 9EK 9EK 14EK 18EK 11EK 14EK 17EK 19EK
142-144 | 3 5AK 7CK 9DK 10CK 10DK 13DK 13EK 8EK 10EK 13EK 14EK 9EK 9EK 14EK 17EK 11EK 14EK 17EK 18EK
139-141 | 3 5AK 7CK 9DK 10BK 10DK 12DK 12DK 8DK 9DK 13EK 14EK 9DK 9EK 13EK 17EK 10DK 13DK 16EK 18EK
136-138 | 3 5 7BK 8CK 9AK 9CK 12CK 12DK 7DK 9DK 12DK 13DK 9DK 9DK 13DK 16DK 10DK 13DK 16DK 17DK
133-135 | 3 5 7AK 8CK 9 9BK 11CK 11DK 7CK 9DK 12DK 13DK 8DK 8DK 12DK 15DK 10DK 12DK 15DK 17DK
130-132 | 3 5 6AK 8CK 9 9BK 11CK 11CK 7CK 8DK 12DK 12DK 8DK 8DK 12DK 15DK 9CK 12DK 15DK 16DK
127-129 | 3 5 6 8BK 8 8AK 10BK 10CK 7CK 8CK 11CK 11DK 8CK 8CK 11DK 14DK 9CK 11CK 15DK 15CK
124-126 | 3 5 6 7AK 8 8AK 10AK 10BK 6BK 8CK 10CK 11CK 8CK 8CK 11CK 14CK 8BK 11CK 14CK 15CK
121-123 | 3 4 6 7AK 8 8 9AK 9BK 6BK 7BK 10CK 10CK 8BK 7CK 11CK 13CK 8BK 11BK 14CK 14CK
118-120 | 2 4 5 6AK 7 7 9 8BK 5AK 6BK 9BK 9CK 7BK 7BK 10CK 12CK 7BK 10BK 13CK 13BK
115-117 | 2 4 5 6 7 7 8 8AK 5AK 6BK 9BK 9CK 7BK 7BK 9BK 11CK 7AK 9BK 12CK 13BK
112-114 | 2 4 5 6 6 6 8 7AK 5AK 6AK 8BK 8BK 6AK 6BK 9BK 11BK 6AK 9AK 12BK 12BK
109-111 | 2 3 4 5 6 6 7 7AK 5 5AK 8AK 8BK 6AK 6AK 8BK 10BK 6 8AK 12BK 12AK
106-108 | 2 3 4 5 6 6 7 7 4 5AK 7AK 7BK 6AK 6AK 8BK 9BK 5 8AK 11BK 11AK
103-105 | 2 3 4 5 5 5 6 6 4 4 7AK 6BK 6 6AK 7AK 9BK 5 8 11AK 10AK
100-102 | 2 3 4 5 5 5 6 6 4 4 6AK 6AK 6 5AK 7AK 8AK 5 7 10AK 10AK
97-99 | 2 3 4 4 5 5 5 5 4 4 6 5AK 5 5 7AK 8AK 4 7 10AK 9
94-96 | 2 3 4 4 4 4 5 5 3 3 5 5AK 5 5 6 7AK 4 6 10AK 9
91-93 | 2 3 3 4 4 4 5 4 3 3 5 4AK 5 5 6 6AK 3 6 9 8
88-90 | 2 3 3 4 4 4 4 4 3 3 4 3 5 5 5 6 3 5 9 8
85-87 | 2 2 3 3 4 3 4 3 3 2 4 3 4 4 5 5 3 5 8 7
82-84 | 2 2 3 3 3 3 3 3 2 2 3 2 4 4 4 4 2 - 8 -
79-81 | 2 2 3 3 3 3 3 2 2 1 3 2 4 4 4 4 - - 8 -
76-78 | 2 2 2 2 3 2 2 2 2 1 2 1 4 4 4 3 - - 7 -
73-75 | 2 2 2 2 2 2 2 1 2 - 2 - 4 3 3 - - - - -
70-72 | 2 2 2 2 2 2 1 1 1 - 1 - 3 3 - - - - - -
67-69 | 1 2 2 2 2 1 1 - 1 - - - 3 - - - - - - -
64-66 | 1 2 2 1 1 1 - - - - - - - - - - - - - -
61-63 | 1 2 1 1 1 - - - - - - - - - - - - - - -
58-60 | 1 1 1 - - - - - - - - - - - - - - - - -
55-57 | 1 1 1 - - - - - - - - - - - - - - - - -
52-54 | 1 1 - - - - - - - - - - - - - - - - - -
49-51 | 1 1 - - - - - - - - - - - - - - - - - -
46-48 | 1 - - - - - - - - - - - - - - - - - - -
43-45 | 1 - - - - - - - - - - - - - - - - - - -
