# Attack Table 2.3 — Broadsword (One-Handed Edged)
# Transcribed from author-supplied PDF (X:\RMFRPSuite\attack_broadsword.pdf).
#
@name:            Broadsword
@attack_table:    2.3
@two_handed:      no
@length_ft:       2 - 3.5
@weight_lb:       3 - 5
@fumble_range:    01 - 03 UM
@breakage_nums:   1, 2, 3, 4, 5, 6, 7
@strength:        75 - 86
@range_modifiers: -
@fumble_table:    Weapon Fumble Table
@fumble_column:   1
#
# Each row: <roll> | <AT20> ... <AT1>   (20 cells, space-separated)
# Cells: "-" miss, "N" hits, "NXY" hits + crit severity X + crit type Y.
#
150 | 8EK 10EK 12EK 14EK 15EK 15EK 18EK 18ES 16EK 18EK 22ES 22ES 20EK 20ES 25ES 28ES 22ES 25ES 28ES 30ES
149 | 8DK 10DK 12EK 14ES 15EK 15EK 18EK 18EK 16EP 18EK 22EK 22ES 22ES 20EP 25ES 28ES 22ES 25ES 28ES 30ES
148 | 8DK 10DK 12EK 14EK 15EK 15EK 18EK 18ES 16EK 18EK 22ES 22ES 20EK 20ES 25ES 28ES 22ES 25ES 28ES 30ES
147 | 8CK 10CK 12DK 14ES 15EK 15EK 18EK 18EP 16EK 18EK 22ES 22ES 20EP 20EP 25ES 28ES 22ES 25ES 28ES 30ES
146 | 8CK 10CK 12DK 14EK 15DK 15DK 18EK 18ES 16EK 18EK 22ES 21ES 20EK 20ES 25ES 27ES 21ES 24ES 27ES 29ES
145 | 8CK 10CK 12DS 14ES 15DK 15DK 18DK 18EP 16EK 17EK 21ES 21ES 20EP 20EP 24EP 27ES 21ES 24ES 27ES 29ES
144 | 8CK 10CK 12DP 14EP 15DK 15DK 17DS 17EK 16EK 17EK 21ES 21ES 19EK 19EK 24ES 27ES 21ES 24ES 27ES 29ES
143 | 8CK 10CK 12DK 13DK 15DK 14DK 17DP 17ES 15DK 17EK 21ES 21ES 19EP 19ES 24EP 26ES 21ES 24ES 27ES 28ES
142 | 8BK 10CK 12CS 13DS 14DK 14DK 17DK 17EP 15DK 17EK 21ES 20ES 19EK 19EP 24ES 26ES 20ES 23ES 26ES 28ES
141 | 8BK 10BK 11CP 13DP 14DK 14DK 17DS 17DK 15DK 17EK 20ES 20EP 19ES 19EK 23EP 26ES 20ES 23ES 26ES 28ES
