# Attack Table — Cat o Nine Tails
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Cat o Nine Tails
@attack_table:    armory.cat_o_nine_tails
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 07
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 1AT 3BT 5CT 7DT 7CT 7CT 11DT 11DT 6CT 8DT 12DT 14DT 8DT 9DT 13DT 18DT 10DT 14DT 17DT 20DT
145-147 | 1 3AT 5CT 7DT 7CT 7CT 11DT 11DT 6CT 8DT 12DT 14DT 8DT 9DT 13DT 18DT 10DT 14DT 17DT 20DT
142-144 | 1 3AT 5BT 7CT 7BT 7CT 11DT 11DT 6CT 8DT 12DT 14DT 8DT 9DT 13DT 17DT 10DT 14DT 17DT 19DT
139-141 | 1 3 5AT 7CT 7AT 7BT 11CT 11CT 6BT 8CT 11DT 13DT 8DT 9DT 13DT 17DT 10CT 13DT 16DT 19DT
136-138 | 1 3 5AT 7BT 7AT 7BT 10CT 10CT 6BT 8CT 11CT 13DT 8CT 9CT 12DT 16DT 9CT 13CT 16DT 18CT
133-135 | 1 3 5 7AT 7 7AT 10BT 10CT 6BT 7CT 11CT 12CT 8CT 9CT 12CT 16CT 9CT 13CT 16CT 18CT
130-132 | 1 3 5 6AT 7 7AT 10BT 10CT 6BT 7CT 11CT 12CT 8CT 8CT 12CT 16CT 9CT 12CT 15CT 18CT
127-129 | 1 3 5 6 6 6AT 9BT 9BT 5AT 7BT 10BT 11CT 7BT 8CT 11CT 15CT 8BT 12BT 15CT 17CT
124-126 | 1 3 5 6 6 6 9AT 9BT 5AT 7BT 10BT 11CT 7BT 8BT 11CT 14CT 8BT 12BT 15CT 16BT
121-123 | 1 3 4 6 6 6 9AT 9AT 5 6AT 9BT 11BT 7BT 8BT 11BT 14CT 8AT 11BT 14BT 16BT
118-120 | 1 2 4 5 5 5 8AT 8AT 5 6AT 9AT 10BT 7AT 7BT 10BT 13BT 7AT 10AT 13BT 15BT
115-117 | 1 2 4 5 5 5 8 8AT 4 5AT 8AT 9BT 6AT 7BT 10BT 13BT 7AT 10AT 13BT 14BT
112-114 | 1 2 4 5 5 5 7 7 4 5 8AT 9BT 6AT 7AT 9BT 12BT 6 10AT 13BT 14AT
109-111 | 1 2 3 5 5 5 7 7 4 5 7AT 8AT 6AT 7AT 9AT 12BT 6 9AT 12AT 13AT
106-108 | 1 2 3 4 5 5 7 7 4 5 7 8AT 6 6AT 9AT 11AT 6 9 12AT 13AT
103-105 | 1 2 3 4 5 4 7 6 4 5 7 8AT 6 6AT 8AT 11AT 6 9 12AT 12AT
100-102 | 1 2 3 4 4 4 6 6 4 4 6 7AT 6 6 8AT 10AT 5 8 11AT 12
97-99 | 1 2 3 4 4 4 6 6 3 4 6 7 6 6 8 10AT 5 8 11AT 11
94-96 | 1 2 3 4 4 4 6 5 3 4 6 6 5 6 7 9AT 5 8 11 11
91-93 | 1 2 3 3 4 4 5 5 3 4 5 6 5 6 7 9 4 7 10 10
88-90 | 1 2 3 3 4 4 5 5 3 3 5 5 5 5 7 8 4 7 10 10
85-87 | 1 2 2 3 4 3 5 4 3 3 5 5 5 5 6 8 4 6 10 9
82-84 | 1 2 2 3 3 3 4 4 3 3 4 4 5 5 6 7 3 6 9 9
79-81 | 1 2 2 3 3 3 4 4 3 3 4 4 5 5 6 7 3 6 9 8
76-78 | 1 2 2 2 3 3 4 3 2 2 4 4 5 5 5 6 3 5 9 8
73-75 | 1 2 2 2 3 3 4 3 2 2 3 3 4 5 5 6 3 5 8 7
70-72 | 1 2 2 2 3 3 3 3 2 2 3 3 4 4 5 5 2 - 8 -
67-69 | 1 2 2 2 3 2 3 2 2 2 3 2 4 4 4 5 - - 7 -
64-66 | 1 1 2 2 2 2 3 2 2 1 2 2 4 4 4 4 - - 7 -
61-63 | 1 1 2 2 2 2 2 2 2 1 2 1 4 4 4 4 - - - -
58-60 | 1 1 1 1 2 2 2 2 2 1 2 1 4 4 4 3 - - - -
55-57 | 1 1 1 1 2 2 2 1 1 - 1 - 4 3 3 - - - - -
52-54 | 1 1 1 - 2 2 1 - 1 - - - 3 3 - - - - - -
49-51 | 1 1 1 - 2 1 1 - 1 - - - 3 3 - - - - - -
46-48 | 1 1 - - 1 1 - - - - - - 3 - - - - - - -
43-45 | 1 1 - - 1 1 - - - - - - 3 - - - - - - -
40-42 | 1 1 - - 1 - - - - - - - - - - - - - - -
