# Attack Table — Cold Ball
# Source: Rolemaster Fantasy Roleplaying — Spell Law (ERA: spell_law)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Cold Ball
@attack_table:    spell_law.cold_ball
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 04
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
93-95 | 8BC 11BC 15CC 16CC 12BC 12BC 16CC 17CC 9BC 12BC 17CC 18CC 13BC 13BC 18CC 19CC 17CC 19CC 21CC 22CC
89-92 | 8BC 11BC 15CC 16CC 11BC 12BC 16CC 16CC 9BC 12BC 17CC 17CC 12BC 13BC 17CC 19CC 17CC 19CC 21CC 22CC
85-88 | 8BC 10BC 14CC 15CC 11BC 11BC 15CC 16CC 9BC 11BC 16CC 17CC 11BC 12BC 16CC 18CC 16CC 18CC 20CC 21CC
81-84 | 8BC 10BC 14BC 15CC 10BC 11BC 15CC 15CC 8BC 11BC 16CC 16CC 10BC 12BC 15CC 17CC 16CC 17CC 19CC 20CC
77-80 | 7BC 9BC 13BC 14BC 9BC 10BC 14BC 15CC 8BC 10BC 15CC 16CC 10BC 11BC 15BC 16CC 15CC 16CC 18CC 19CC
73-76 | 7AC 9BC 13BC 14BC 9BC 10BC 14BC 14BC 8BC 10BC 15BC 15CC 9BC 11BC 14BC 15CC 14BC 15CC 17CC 18CC
69-72 | 7AC 8BC 12BC 13BC 9AC 9BC 13BC 14BC 7AC 9BC 14BC 15BC 9BC 10BC 13BC 14CC 13BC 14BC 16CC 17CC
65-68 | 6AC 8AC 12BC 13BC 8AC 9AC 12BC 13BC 7AC 9BC 13BC 14BC 8BC 10BC 12BC 13BC 12BC 13BC 15CC 16CC
61-64 | 6AC 7AC 11BC 12BC 8AC 8AC 11BC 12BC 7AC 8AC 12BC 13BC 8AC 9BC 11BC 12BC 11BC 12BC 14CC 15CC
57-60 | 6AC 7AC 10AC 11BC 7AC 8AC 10BC 11BC 6AC 8AC 11BC 12BC 7AC 9AC 10AC 11BC 10BC 11BC 13BC 14CC
53-56 | 5AC 6AC 9AC 10AC 6AC 7AC 9AC 10BC 6AC 7AC 10AC 11BC 7AC 8AC 9AC 10BC 9AC 10BC 12BC 13BC
49-52 | 5AC 6AC 8AC 9AC 5AC 6AC 8AC 9AC 5AC 7AC 8AC 10AC 6AC 7AC 8AC 9BC 8AC 9AC 11BC 12BC
45-48 | 5 5AC 7AC 8AC 4AC 5AC 7AC 8AC 5 6AC 7AC 9AC 5AC 6AC 7AC 8AC 7AC 8AC 10BC 11BC
41-44 | 4 5AC 6AC 7AC 3 4AC 6AC 7AC 4 5AC 6AC 8AC 4AC 5AC 6AC 7AC 6AC 7AC 9AC 10BC
37-40 | 3 4 5AC 6AC 2 3 5AC 6AC 3 4 5AC 7AC 3 4 5AC 6AC 5AC 6AC 8AC 9AC
33-36 | 2 3 4AC 5AC 1 2 4AC 5AC 2 3 4AC 6AC 2 3 4 5AC 4AC 5AC 7AC 8AC
29-32 | 1 2 3 4AC 1 1 3 4AC 1 2 3 5AC 1 2 3 4AC 3 4AC 6AC 7AC
25-28 | - 1 2 3 - - 2 3 - 1 2 4 - 1 2 3 2 3 5AC 6AC
21-24 | - - 1 2 - - 1 2 - - 1 2 - - 1 2 1 2 4AC 5AC
17-20 | - - - 1 - - - 1 - - - 1 - - - 1 - 1 3 4AC
13-16 | - - - - - - - - - - - - - - - 1 - - 2 3AC
9-12 | - - - - - - - - - - - - - - - - - - 1 2
5-8 | - - - - - - - - - - - - - - - - - - - 1
