# Attack Table — Comet Hammer
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Comet Hammer
@attack_table:    armory.comet_hammer
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 07
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 11EK 13EK 15EK 17EK 18EK 18EK 21EK 21EK 15EK 17EK 21EK 21EK 17EK 17EK 22EK 25EK 18EK 21EK 24EK 26EK
145-147 | 11EK 13EK 15EK 17EK 18EK 18EK 21EK 21EK 15EK 17EK 21EK 21EK 17EK 17EK 22EK 24EK 18EK 21EK 24EK 26EK
142-144 | 11DK 13DK 15EK 16EK 17EK 17EK 20EK 20EK 15EK 16EK 20EK 20EK 17EK 17EK 21EK 23EK 17EK 20EK 23EK 25EK
139-141 | 11CK 12DK 14DK 16DK 17DK 17DK 19EK 19EK 14EK 16EK 19EK 19EK 16EK 16EK 21EK 22EK 17EK 19EK 23EK 24EK
136-138 | 10BK 12CK 14DK 15DK 16DK 16DK 19DK 19DK 14DK 15DK 19DK 18EK 16EK 16EK 20EK 21EK 16DK 19DK 22EK 23EK
133-135 | 10BK 12BK 13CK 15DK 16CK 16DK 18DK 18DK 13DK 14DK 18DK 18DK 15DK 15DK 19DK 20DK 15DK 18DK 21DK 22DK
130-132 | 10AK 12BK 13CK 14DK 16CK 15CK 18DK 17DK 13DK 14DK 17DK 17DK 15DK 15DK 19DK 20DK 15DK 18DK 21DK 22DK
127-129 | 10 11AK 12BK 14CK 15CK 15CK 17CK 17DK 12CK 13DK 17DK 16DK 15DK 14DK 18DK 18DK 14DK 17DK 20DK 21DK
124-126 | 9 11AK 12BK 13CK 14BK 14CK 16CK 16CK 12CK 13CK 16CK 15DK 14DK 14DK 17DK 17DK 13CK 16CK 19DK 20DK
121-123 | 9 10 12BK 13BK 14BK 14BK 15CK 15CK 11CK 12CK 15CK 15CK 14CK 14DK 17DK 16DK 13CK 15CK 19DK 19CK
118-120 | 8 10 11AK 12BK 13AK 13BK 14BK 14CK 10BK 11CK 14CK 13CK 13CK 13CK 16CK 15CK 12CK 14CK 18CK 18CK
115-117 | 8 9 10AK 11BK 12AK 12AK 14BK 13BK 10BK 10CK 13CK 13CK 12CK 12CK 15CK 13CK 11BK 13BK 17CK 17CK
112-114 | 8 9 10 11AK 12AK 12AK 13BK 13BK 9BK 10BK 12BK 12CK 12CK 12CK 14CK 12CK 10BK 13BK 16CK 16CK
109-111 | 8 9 9 10AK 11 11AK 12AK 12BK 9BK 9BK 12BK 11CK 12BK 11CK 14CK 11CK 10BK 12BK 16CK 15BK
106-108 | 7 8 9 10AK 11 10 12AK 11BK 9AK 9BK 11BK 10BK 11BK 11BK 13BK 10CK 9BK 11BK 15CK 14BK
103-105 | 7 8 8 9AK 10 10 11AK 10AK 8AK 8AK 10BK 10BK 11BK 11BK 12BK 9BK 8AK 11AK 14BK 14BK
100-102 | 7 8 8 8 10 9 10 10AK 8AK 7AK 10AK 9BK 10BK 10BK 12BK 8BK 8AK 10AK 14BK 13BK
97-99 | 7 7 7 8 9 9 10 9AK 7 7AK 9AK 8BK 10AK 10BK 11BK 7BK 7AK 9AK 13BK 12AK
94-96 | 6 7 7 7 9 8 9 8 7 6AK 8AK 7AK 10AK 9BK 11BK 6BK 6AK 9 12BK 11AK
91-93 | 6 6 7 7 8 8 8 8 6 6 7AK 7AK 9AK 9AK 10AK 5BK 6 8 12BK 10AK
88-90 | 6 6 6 6 8 7 8 7 6 5 7AK 6AK 9AK 8AK 9AK 4AK 5 7 11AK 9AK
85-87 | 6 6 6 6 7 7 7 6 5 4 6 5AK 8AK 8AK 9AK 4AK 5 6 11AK 9
82-84 | 5 5 5 5 7 6 6 5 5 4 5 4AK 8 7AK 8AK 4AK 4 - 10AK -
79-81 | 5 5 5 5 6 6 6 5 4 3 5 4 8 7 7AK 4AK 3 - 9AK -
76-78 | 5 5 4 4 6 5 5 4 4 3 4 3 7 7 7 4AK - - 9AK -
73-75 | 4 4 4 4 5 5 4 3 4 2 3 2 7 6 6 3AK - - 8 -
70-72 | 4 4 4 3 5 4 4 3 3 - 2 - 6 6 5 - - - - -
67-69 | 4 4 3 3 4 4 3 2 3 - - - 6 5 5 - - - - -
64-66 | 4 3 3 2 4 3 2 1 2 - - - 6 5 4 - - - - -
61-63 | 3 3 2 2 3 2 2 - - - - - 5 4 - - - - - -
58-60 | 3 3 2 1 3 2 1 - - - - - 5 4 - - - - - -
55-57 | 3 2 1 - 2 1 - - - - - - 4 - - - - - - -
52-54 | 3 2 - - 2 - - - - - - - - - - - - - - -
49-51 | 2 2 - - 1 - - - - - - - - - - - - - - -
46-48 | 2 1 - - - - - - - - - - - - - - - - - -
43-45 | 2 1 - - - - - - - - - - - - - - - - - -
40-42 | 2 - - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
34-36 | 1 - - - - - - - - - - - - - - - - - - -
