# Attack Table — Cutlass
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Cutlass
@attack_table:    armory.cutlass
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 03
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 5DS 6DS 8ES 10ES 9ES 9ES 12ES 12ES 12ES 14ES 18ES 18ES 17ES 17ES 22ES 25ES 19ES 22ES 25ES 27ES
145-147 | 5DS 6DS 8ES 10ES 9ES 9ES 12ES 12ES 12ES 14ES 18ES 18ES 17ES 17ES 22ES 25ES 19ES 22ES 25ES 27ES
142-144 | 5CS 6CS 8ES 10ES 9ES 9ES 12ES 12ES 12ES 14ES 17ES 17ES 17ES 17ES 21ES 24ES 18ES 21ES 24ES 26ES
139-141 | 5BS 6CS 8DS 10DS 9DS 9DS 11DS 11ES 11ES 13ES 17ES 17ES 16ES 16ES 21ES 23ES 18ES 21ES 24ES 25ES
136-138 | 5BS 6BS 8DS 9DS 9DS 9DS 11DS 11DS 11DS 13DS 16DS 16ES 16ES 16ES 20ES 23ES 17DS 20DS 23ES 24ES
133-135 | 5AS 6BS 7CS 9DS 8CS 8CS 11DS 11DS 11DS 12DS 16DS 15DS 16DS 16DS 20DS 22ES 16DS 19DS 22DS 24DS
130-132 | 5AS 6AS 7CS 9CS 8CS 8CS 11CS 10DS 11DS 12DS 15DS 15DS 15DS 15DS 19DS 21DS 16DS 19DS 22DS 23DS
127-129 | 5 6AS 7BS 9CS 8BS 8CS 10CS 10CS 10CS 11DS 15DS 14DS 15DS 15DS 18DS 20DS 15DS 18DS 21DS 22DS
124-126 | 5 5 7BS 8CS 8BS 8BS 10CS 10CS 10CS 11CS 14CS 14DS 14DS 14DS 18DS 20DS 15CS 17CS 21DS 21DS
121-123 | 5 5 7AS 8BS 7AS 7BS 9BS 9CS 9CS 10CS 13CS 13DS 14CS 14DS 17DS 19DS 14CS 17CS 20DS 21CS
118-120 | 4 5 6AS 7BS 7AS 7AS 9BS 8CS 9BS 10CS 12CS 12CS 13CS 13CS 16CS 18DS 13CS 16CS 19CS 19CS
115-117 | 4 5 6 7BS 6 6AS 8BS 8BS 8BS 9BS 12CS 11CS 13CS 13CS 16CS 17CS 12BS 15CS 18CS 19CS
112-114 | 4 4 5 7AS 6 6AS 8AS 8BS 8BS 9BS 11BS 11CS 12CS 12CS 15CS 16CS 12BS 14BS 18CS 18CS
109-111 | 4 4 5 6AS 6 6 7AS 7BS 8BS 8BS 11BS 10CS 12BS 12CS 14CS 16CS 11BS 14BS 17CS 17BS
106-108 | 4 4 5 6AS 6 6 7AS 7AS 7AS 8BS 10BS 10BS 12BS 11BS 14CS 15CS 11BS 13BS 17CS 16BS
103-105 | 4 4 5 6 6 5 7 7AS 7AS 7AS 10BS 9BS 11BS 11BS 13BS 14CS 10AS 12BS 16BS 16BS
100-102 | 3 4 5 5 5 5 6 6AS 7AS 7AS 9AS 8BS 11BS 11BS 13BS 14BS 9AS 12AS 15BS 15BS
97-99 | 3 4 4 5 5 5 6 6AS 6 6AS 8AS 8BS 11AS 10BS 12BS 13BS 9AS 11AS 15BS 14BS
94-96 | 3 4 4 5 5 5 6 5 6 6AS 8AS 7BS 10AS 10BS 12BS 12BS 8AS 10AS 14BS 13AS
91-93 | 3 3 4 5 5 4 5 5 6 5 7AS 7AS 10AS 9AS 11BS 11BS 8 10AS 14BS 13AS
88-90 | 3 3 4 4 4 4 5 5 5 5 7AS 6AS 9AS 9AS 10AS 11BS 7 9AS 13AS 12AS
85-87 | 3 3 4 4 4 4 5 4 5 5 6 5AS 9AS 9AS 10AS 10AS 6 9 12AS 11AS
82-84 | 3 3 3 4 4 4 4 4 5 4 6 5AS 9 8AS 9AS 9AS 6 8 12AS 10
79-81 | 3 3 3 3 4 3 4 4 4 4 5 4AS 8 8 9AS 9AS 5 7 11AS 10
76-78 | 3 3 3 3 4 3 4 3 4 3 4 4 8 7 8AS 8AS 5 7 11AS 9
73-75 | 3 3 3 3 3 3 3 3 4 3 4 3 8 7 7 7AS 4 6 10AS 8
70-72 | 2 2 3 3 3 3 3 2 3 2 3 2 7 7 7 6AS 3 - 9 -
67-69 | 2 2 2 2 3 3 3 2 3 - 3 - 7 6 6 6 - - 9 -
64-66 | 2 2 2 2 3 2 2 2 3 - 2 - 6 6 6 5 - - 8 -
61-63 | 2 2 2 2 2 2 2 1 2 - - - 6 5 5 4 - - - -
58-60 | 2 2 2 1 2 2 2 1 2 - - - 6 5 5 - - - - -
55-57 | 2 2 1 1 2 2 1 - - - - - 5 5 4 - - - - -
52-54 | 2 2 1 - 2 1 - - - - - - 5 4 - - - - - -
49-51 | 2 2 1 - 1 1 - - - - - - 5 - - - - - - -
46-48 | 2 1 - - 1 - - - - - - - 4 - - - - - - -
43-45 | 2 1 - - 1 - - - - - - - - - - - - - - -
40-42 | 1 1 - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
34-36 | 1 - - - - - - - - - - - - - - - - - - -
31-33 | 1 - - - - - - - - - - - - - - - - - - -
28-30 | 1 - - - - - - - - - - - - - - - - - - -
