# Attack Table — Dart
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Dart
@attack_table:    armory.dart
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 02
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 2BT 3BT 3BT 4CT 4BT 4BT 5CT 6CT 3BT 4CT 6CT 7CT 5CT 6CT 8CT 10CT 6CT 8CT 9CT 12CT
145-147 | 2AT 3BT 3BT 4CT 4BT 4BT 5CT 6CT 3BT 4CT 6CT 7CT 5CT 6CT 8CT 10CT 6CT 8CT 9CT 12CT
142-144 | 2 3AT 3BT 4CT 4BT 4BT 5CT 6CT 3BT 4CT 6CT 7CT 5CT 6CT 8CT 10CT 6CT 8CT 9CT 12CT
139-141 | 2 3 3AT 4CT 4AT 4BT 5CT 6CT 3BT 4CT 6CT 7CT 5CT 6CT 8CT 9CT 6CT 8CT 9CT 11CT
136-138 | 2 3 3AT 4BT 4AT 4AT 5BT 6CT 3BT 4CT 6CT 6CT 5CT 6CT 8CT 9CT 6CT 7CT 9CT 11CT
133-135 | 2 3 3AT 4BT 4AT 4AT 5BT 6BT 3BT 4BT 5BT 6CT 5CT 6CT 7CT 9CT 5CT 7CT 8CT 11CT
130-132 | 2 3 3AT 4BT 4AT 4AT 5BT 5BT 3AT 4BT 5BT 6CT 5CT 6CT 7CT 9CT 5BT 7CT 8CT 10CT
127-129 | 2 3 3 4AT 4 4AT 4AT 5BT 3AT 4BT 5BT 6BT 5BT 5BT 7BT 8CT 5BT 7BT 8CT 10BT
124-126 | 2 3 3 4AT 4 4 4AT 5BT 3AT 3BT 5BT 5BT 4BT 5BT 7BT 8BT 5BT 6BT 8BT 9BT
121-123 | 2 3 3 4AT 4 4 4AT 5AT 3AT 3AT 5BT 5BT 4BT 5BT 6BT 7BT 5BT 6BT 7BT 9BT
118-120 | 2 2 2 3 3 3 4 4AT 2AT 3AT 4AT 4BT 4BT 4BT 6BT 7BT 4BT 5BT 7BT 8BT
115-117 | 2 2 2 3 3 3 3 4AT 2 3AT 4AT 4BT 4BT 4BT 5BT 6BT 4AT 5BT 6BT 8BT
112-114 | 2 2 2 3 3 3 3 4AT 2 2AT 4AT 4AT 3AT 4BT 5BT 6BT 4AT 5AT 6BT 7BT
109-111 | 2 2 2 3 3 3 3 3 2 2 3AT 4AT 3AT 4AT 5BT 6BT 3AT 5AT 6BT 7BT
106-108 | 2 2 2 2 3 3 3 3 2 2 3AT 3AT 3AT 4AT 5AT 5BT 3AT 4AT 6BT 7AT
103-105 | 2 2 2 2 2 2 3 3 2 2 3 3AT 3AT 3AT 4AT 5AT 3AT 4AT 5AT 6AT
100-102 | 1 2 2 2 2 2 3 3 2 2 3 3AT 3AT 3AT 4AT 5AT 3AT 4AT 5AT 6AT
97-99 | 1 2 2 2 2 2 2 3 2 2 3 3AT 3AT 3AT 4AT 4AT 3 4AT 5AT 5AT
94-96 | 1 2 2 2 2 2 2 2 2 2 2 2 3AT 3AT 4AT 4AT 2 3 5AT 5AT
91-93 | 1 2 2 2 2 2 2 2 2 2 2 2 3 3AT 3AT 4AT 2 3 5AT 5AT
88-90 | 1 2 2 2 2 2 2 2 1 1 2 2 2 3 3AT 3AT 2 3 4AT 4
85-87 | 1 2 2 2 2 2 2 2 1 1 2 2 2 2 3 3AT 2 3 4AT 4
82-84 | 1 2 1 2 2 2 2 2 1 1 2 1 2 2 3 3AT 2 2 4 3
79-81 | 1 1 1 1 2 2 2 1 1 1 1 1 2 2 2 2 1 2 4 3
76-78 | 1 1 1 1 2 1 1 1 1 - 1 - 2 2 2 2 1 - 3 -
73-75 | 1 1 1 1 1 1 1 1 1 - - - 2 2 2 2 - - 3 -
70-72 | 1 1 1 1 1 1 1 - - - - - 2 2 2 1 - - - -
67-69 | 1 1 1 1 1 1 - - - - - - 1 1 1 - - - - -
64-66 | 1 1 1 - 1 1 - - - - - - 1 1 1 - - - - -
61-63 | 1 1 - - 1 - - - - - - - 1 1 - - - - - -
58-60 | 1 1 - - - - - - - - - - 1 - - - - - - -
