# Attack Table — Fauchard
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Fauchard
@attack_table:    armory.fauchard
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 06
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 10ES 12ES 14ES 16ES 19ES 19ES 22ES 22ES 20ES 22ES 26ES 26ES 24ES 24ES 29ES 32ES 27ES 30ES 33ES 35ES
145-147 | 10ES 12ES 14ES 16ES 19ES 19ES 22ES 22ES 20ES 22ES 26ES 26ES 24ES 24ES 29ES 31ES 26ES 29ES 33ES 34ES
142-144 | 10DS 12DS 14ES 15ES 18ES 18ES 21ES 21ES 19ES 21ES 25ES 25ES 23ES 23ES 28ES 30ES 25ES 28ES 32ES 33ES
139-141 | 10CS 12DS 13DS 15DS 18DS 18DS 20DS 20ES 19ES 20ES 24ES 24ES 23ES 22ES 27ES 29ES 24ES 27ES 31ES 32ES
136-138 | 10BS 11CS 13DS 14DS 17DS 17DS 20DS 19DS 18DS 19DS 23ES 23ES 22ES 22ES 26ES 28ES 23DS 26ES 30ES 31ES
133-135 | 9AS 11BS 12CS 14DS 17CS 17DS 19DS 19DS 17DS 18DS 22DS 22DS 21DS 21DS 25ES 27ES 22DS 25DS 29DS 29DS
130-132 | 9AS 11BS 12CS 14DS 16CS 16CS 18DS 18DS 17DS 18DS 21DS 21DS 21DS 21DS 24DS 27DS 21DS 24DS 28DS 29DS
127-129 | 9 10AS 12BS 13CS 16BS 15CS 17CS 17DS 16CS 17DS 20DS 20DS 20DS 20DS 23DS 25DS 20DS 23DS 27DS 27DS
124-126 | 9 10AS 11BS 12CS 15BS 15BS 17CS 16CS 15CS 16CS 19DS 19DS 19DS 19DS 22DS 24DS 19CS 21DS 26DS 26DS
121-123 | 8 10 11BS 12BS 14AS 14BS 16BS 16CS 15CS 15CS 18CS 18DS 19CS 18DS 21DS 23DS 18CS 20CS 25DS 24CS
118-120 | 8 9 10AS 11BS 13AS 13BS 15BS 14CS 13CS 14CS 17CS 17CS 17CS 17CS 20DS 22DS 16CS 19CS 23CS 23CS
115-117 | 7 8 9AS 10BS 13AS 13AS 14BS 14BS 13BS 13CS 16CS 16CS 17CS 16CS 19CS 20CS 15CS 18CS 22CS 22CS
112-114 | 7 8 9 10AS 12 12AS 13AS 13BS 12BS 12BS 15CS 15CS 16CS 16CS 18CS 19CS 14BS 17CS 21CS 20CS
109-111 | 7 8 8 9AS 12 11AS 13AS 12BS 11BS 11BS 14BS 14CS 16BS 15CS 17CS 18CS 13BS 15BS 20CS 19BS
106-108 | 7 7 8 9AS 11 11 12AS 11BS 11AS 10BS 13BS 13CS 15BS 14BS 16CS 17CS 12BS 14BS 19CS 18BS
103-105 | 6 7 8 8AS 11 10 11 10AS 10AS 10BS 12BS 12BS 14BS 14BS 15CS 16CS 11AS 13BS 18BS 17BS
100-102 | 6 7 7 8 10 10 10 10AS 9AS 9AS 11BS 11BS 14BS 13BS 14BS 15BS 10AS 12BS 17BS 15BS
97-99 | 6 7 7 7 10 9 10 9AS 9AS 8AS 10AS 10BS 13BS 12BS 13BS 14BS 9AS 11AS 16BS 14BS
94-96 | 6 6 6 7 9 8 9 8AS 8 7AS 9AS 9BS 12AS 12BS 13BS 13BS 8AS 10AS 15BS 13AS
91-93 | 5 6 6 6 8 8 8 7 7 6AS 8AS 8AS 12AS 11AS 12BS 12BS 7 9AS 14BS 12AS
88-90 | 5 6 6 6 8 7 8 7 7 5 7AS 7AS 11AS 10AS 11BS 11BS 6 8AS 13AS 10AS
85-87 | 5 5 5 5 7 7 7 6 6 5 6AS 6AS 10AS 10AS 10AS 10AS 4 6 12AS 9AS
82-84 | 5 5 5 5 7 6 6 5 6 4 5 5AS 10 9AS 9AS 9AS 3 - 11AS 8
79-81 | 4 5 4 4 6 6 5 4 5 3 4 4AS 9 8AS 8AS 8AS - - 10AS -
76-78 | 4 4 4 4 6 5 5 4 4 2 4 3 8 7 7AS 7AS - - 9AS -
73-75 | 4 4 3 3 5 4 4 3 4 - 3 2 8 7 6AS 6AS - - 8 -
70-72 | 4 4 3 3 5 4 3 2 3 - - - 7 6 5 5AS - - - -
67-69 | 3 3 3 2 4 3 2 1 2 - - - 6 5 4 - - - - -
64-66 | 3 3 2 2 3 3 2 - - - - - 6 5 - - - - - -
61-63 | 3 3 2 1 3 2 1 - - - - - 5 4 - - - - - -
58-60 | 3 2 1 - 2 1 - - - - - - 4 - - - - - - -
55-57 | 3 2 - - 2 - - - - - - - - - - - - - - -
52-54 | 2 2 - - 1 - - - - - - - - - - - - - - -
49-51 | 2 1 - - - - - - - - - - - - - - - - - -
46-48 | 2 1 - - - - - - - - - - - - - - - - - -
43-45 | 2 - - - - - - - - - - - - - - - - - - -
40-42 | 1 - - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
