# Attack Table — Foil
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Foil
@attack_table:    armory.foil
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 03
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 2BP 3CP 3DP 4EP 5EP 5EP 8EP 8EP 4EP 6EP 10EP 10EP 6EP 6EP 11EP 14EP 8EP 11EP 14EP 16EP
145-147 | 2AP 3BP 3DP 4EP 5EP 5EP 8EP 8EP 4EP 6EP 10EP 10EP 6EP 6EP 11EP 14EP 8EP 11EP 14EP 16EP
142-144 | 2 3AP 3DP 4EP 5EP 5EP 8EP 8EP 4EP 6EP 10EP 10EP 6EP 6EP 11EP 14EP 8EP 11EP 14EP 16EP
139-141 | 2 3AP 3CP 4DP 5DP 5EP 8EP 8EP 4EP 6EP 10EP 10EP 6EP 6EP 11EP 13EP 8EP 11EP 14EP 16EP
136-138 | 2 3 3CP 4DP 5DP 5DP 8DP 8EP 4DP 6DP 9EP 9EP 6EP 6EP 11EP 13EP 8EP 11EP 14EP 15EP
133-135 | 2 3 3BP 4DP 5DP 5DP 8DP 7DP 4DP 6DP 9DP 9DP 6DP 6EP 10EP 13EP 7DP 10EP 13EP 15EP
130-132 | 2 3 3BP 4DP 5CP 5DP 7DP 7DP 4DP 6DP 9DP 9DP 6DP 6DP 10DP 13EP 7DP 10DP 13EP 15DP
127-129 | 2 3 3AP 4CP 5CP 5CP 7DP 7DP 4CP 5DP 9DP 9DP 6DP 6DP 10DP 12DP 7DP 10DP 13DP 14DP
124-126 | 2 3 3AP 4CP 5BP 5CP 7CP 7DP 4CP 5CP 8DP 8DP 6DP 6DP 10DP 12DP 7DP 10DP 13DP 14DP
121-123 | 2 3 3AP 4BP 5BP 5CP 7CP 7CP 4CP 5CP 8CP 8DP 6DP 6DP 9DP 11DP 7CP 10DP 12DP 14DP
118-120 | 2 2 2 3BP 4BP 4BP 6CP 6CP 3BP 5CP 7CP 7CP 5CP 5DP 9DP 11DP 6CP 9DP 12DP 13DP
