# Attack Table — Gladiators Net
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Gladiators Net
@attack_table:    armory.gladiators_net
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 06
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 1EG 2EG 3EG 4EG 5EG 5EG 6EG 6EG 4EG 5EG 7EG 8EG 5EG 6EG 8EG 9EG 5EG 8EG 11EG 12EG
145-147 | 1EG 2EG 3EG 4EG 5EG 5EG 6EG 6EG 4EG 5EG 7EG 8EG 5EG 6EG 8EG 9EG 5EG 8EG 11EG 12EG
142-144 | 1EG 2EG 3EG 4EG 5EG 5EG 6EG 6EG 4EG 5EG 7EG 8EG 5EG 6EG 8EG 9EG 5EG 8EG 11EG 12EG
139-141 | 1EG 2EG 3EG 4EG 5EG 5EG 6EG 6EG 4EG 5EG 7EG 8EG 5EG 6EG 8EG 9EG 5EG 8DG 11DG 12DG
136-138 | 1DG 2DG 3DG 4DG 5DG 5DG 6DG 6DG 4DG 5DG 6DG 7DG 5DG 6DG 8DG 8DG 5DG 8DG 11DG 11DG
133-135 | 1DG 2DG 3DG 4DG 5DG 5DG 6DG 5DG 4DG 5DG 6DG 7DG 5DG 6DG 7DG 8DG 4DG 7DG 10DG 11DG
130-132 | 1DG 2DG 3DG 4DG 5DG 5DG 5DG 5DG 4DG 4DG 6DG 7DG 5DG 6DG 7DG 8DG 4DG 7DG 10CG 11CG
127-129 | 1DG 2DG 3DG 4DG 5DG 5DG 5DG 5CG 4DG 4CG 6CG 6CG 5DG 5CG 7CG 7CG 4CG 7CG 10CG 10CG
124-126 | 1CG 2CG 3CG 4CG 4CG 4CG 5CG 5CG 4CG 4CG 5CG 6CG 5CG 5CG 7CG 7CG 4CG 7CG 10CG 10BG
121-123 | 1CG 2CG 3CG 4CG 4CG 4CG 5CG 5CG 3CG 4CG 5CG 6CG 5CG 5CG 6CG 7CG 4CG 7BG 9BG 10BG
118-120 | 1CG 2CG 2CG 3CG 4CG 4CG 4CG 4CG 3CG 3CG 4CG 5BG 4CG 5CG 6BG 6BG 3BG 6BG 9BG 9BG
115-117 | 1CG 2CG 2CG 3BG 4CG 3CG 4BG 4BG 3BG 3BG 4BG 4BG 4BG 4BG 5BG 6BG 3BG 6BG 8BG 8AG
112-114 | 1BG 2BG 2BG 3BG 3BG 3BG 4BG 4BG 3BG 3BG 4BG 4BG 4BG 4BG 5BG 5BG 3BG 5AG 8AG 8AG
109-111 | 1BG 2BG 2BG 3BG 3BG 3BG 4BG 3BG 2BG 3BG 4BG 4AG 4BG 4BG 5BG 5AG 2AG 5AG 8AG 8AG
106-108 | 1BG 2BG 2BG 3BG 3BG 3BG 3BG 3AG 2BG 2AG 3AG 3AG 4BG 4AG 5AG 5AG 2AG 5AG 8AG 7
103-105 | 1BG 2BG 2AG 2AG 3BG 3AG 3AG 3AG 2AG 2AG 3AG 3AG 3AG 4AG 4AG 5AG 2AG 5 8 7
100-102 | 1AG 1AG 2AG 2AG 3AG 3AG 3AG 3AG 2AG 2AG 3AG 3AG 3AG 4AG 4AG 4 2AG 5 7 7
97-99 | 1AG 1AG 2AG 2AG 3AG 3AG 3AG 3AG 2AG 2AG 3AG 3 3AG 3AG 4 4 2 4 7 6
94-96 | 1AG 1AG 2AG 2AG 3AG 2AG 3AG 2 2AG 2 2 2 3AG 3 4 4 1 4 7 6
91-93 | 1AG 1AG 2 2 2AG 2 2 2 2 1 2 2 3 3 3 3 1 - 7 -
88-90 | 1AG 1 2 2 2 2 2 2 2 1 2 2 3 3 3 3 1 - 6 -
85-87 | 1 1 2 2 2 2 2 2 1 1 2 1 3 3 3 3 - - 6 -
82-84 | 1 1 2 2 2 2 2 2 1 - 1 - 3 3 3 2 - - - -
79-81 | 1 1 1 2 2 2 2 1 1 - 1 - 3 3 2 2 - - - -
76-78 | 1 1 1 1 2 2 2 1 1 - - - 2 2 2 - - - - -
73-75 | 1 1 1 1 2 1 1 1 1 - - - 2 2 2 - - - - -
70-72 | 1 1 1 1 2 1 1 - - - - - 2 2 - - - - - -
67-69 | 1 1 1 1 1 1 - - - - - - 2 - - - - - - -
64-66 | 1 1 1 1 1 1 - - - - - - 2 - - - - - - -
61-63 | 1 1 1 - 1 - - - - - - - - - - - - - - -
58-60 | 1 1 1 - 1 - - - - - - - - - - - - - - -
55-57 | 1 1 - - - - - - - - - - - - - - - - - -
52-54 | 1 - - - - - - - - - - - - - - - - - - -
49-51 | 1 - - - - - - - - - - - - - - - - - - -
