# Attack Table — Glaive
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Glaive
@attack_table:    armory.glaive
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 06
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 13ES 15ES 17ES 19ES 22ES 22ES 25ES 25ES 24ES 26ES 30ES 30ES 28ES 28ES 33ES 36ES 30ES 33ES 36ES 38ES
145-147 | 13ES 15ES 17ES 19ES 22ES 22ES 25ES 25ES 24ES 26ES 29ES 29ES 28ES 28ES 32ES 35ES 29ES 32ES 35ES 37ES
142-144 | 13DS 15DS 16ES 18ES 21ES 21ES 24ES 24ES 23ES 25ES 28ES 28ES 27ES 27ES 31ES 34ES 28ES 31ES 34ES 36ES
139-141 | 13CS 14DS 16DS 18ES 21DS 20DS 23ES 23ES 22ES 24ES 27ES 27ES 26ES 26ES 30ES 33ES 27ES 30ES 33ES 34ES
136-138 | 12BS 14CS 15DS 17DS 20DS 20DS 22DS 22DS 21DS 23DS 26ES 26ES 25ES 25ES 29ES 32ES 26DS 28DS 32ES 33ES
133-135 | 12BS 13CS 15CS 16DS 19CS 19DS 21DS 21DS 21DS 22DS 25DS 25DS 25DS 24DS 28DS 31ES 24DS 27DS 31DS 32DS
130-132 | 12AS 13BS 14CS 16DS 19CS 19CS 21DS 21DS 20DS 21DS 24DS 24DS 24DS 24DS 28DS 30DS 24DS 26DS 30DS 31DS
127-129 | 11 13AS 14CS 15CS 18CS 18CS 20CS 19DS 19DS 20DS 23DS 23DS 23DS 23DS 26DS 28DS 22DS 25DS 29DS 29DS
124-126 | 11 12AS 13BS 14CS 17BS 17CS 19CS 19CS 18CS 19CS 22DS 22DS 22DS 22DS 25DS 27DS 21CS 23CS 28DS 28DS
121-123 | 11 12 13BS 14CS 17BS 16BS 18CS 18CS 17CS 18CS 21CS 21DS 22CS 21DS 24DS 26DS 20CS 22CS 27DS 26CS
118-120 | 10 11 12AS 13BS 16AS 15BS 17BS 16CS 16CS 16CS 19CS 19CS 20CS 20CS 23CS 24DS 18CS 20CS 25CS 24CS
115-117 | 9 10 11AS 12BS 15AS 15BS 16BS 16CS 15BS 15CS 18CS 18CS 20CS 19CS 21CS 23CS 17BS 19CS 24CS 23CS
112-114 | 9 10 11AS 11BS 14AS 14AS 15BS 15BS 15BS 14BS 17CS 17CS 19CS 18CS 20CS 22CS 16BS 18BS 23CS 22CS
109-111 | 9 10 10 11AS 14 13AS 14AS 14BS 14BS 13BS 16BS 16CS 18BS 17CS 19CS 21CS 14BS 17BS 22CS 20BS
106-108 | 8 9 10 10AS 13 13AS 14AS 13BS 13BS 12BS 15BS 15CS 17BS 17BS 18CS 20CS 13BS 15BS 21CS 19BS
103-105 | 8 9 9 9AS 13 12 13AS 12BS 12AS 11BS 14BS 14BS 17BS 16BS 17BS 18CS 12AS 14BS 20BS 18BS
100-102 | 8 8 8 9 12 11 12AS 11AS 11AS 10AS 13BS 12BS 16BS 15BS 16BS 17BS 11AS 13AS 18BS 16BS
97-99 | 7 8 8 8 11 11 11 10AS 11AS 9AS 12BS 11BS 15BS 14BS 15BS 16BS 10AS 12AS 17BS 15AS
94-96 | 7 7 7 8 11 10 10 9AS 10AS 8AS 11AS 10BS 14AS 13BS 14BS 15BS 8AS 10AS 16BS 14AS
91-93 | 7 7 7 7 10 9 10 9AS 9 7AS 9AS 9BS 13AS 13AS 13BS 14BS 7 9AS 15BS 12AS
88-90 | 6 7 6 6 9 9 9 8 8 6AS 8AS 8AS 13AS 12AS 12AS 12BS 6 8AS 14AS 11AS
85-87 | 6 6 6 6 9 8 8 7 7 5 7AS 7AS 12AS 11AS 11AS 11AS 5 - 13AS 9
82-84 | 6 6 5 5 8 7 7 6 7 4 6 6AS 11 10AS 10AS 10AS - - 12AS -
79-81 | 5 5 5 4 7 7 6 5 6 3 5 5AS 10 9AS 9AS 9AS - - 11AS -
76-78 | 5 5 4 4 7 6 6 4 5 - 4 4AS 10 9 8AS 8AS - - 10AS -
73-75 | 5 5 4 3 6 5 5 3 4 - 3 - 9 8 7AS 7AS - - - -
70-72 | 4 4 3 2 6 5 4 3 4 - - - 8 7 6 5 - - - -
67-69 | 4 4 3 2 5 4 3 - - - - - 7 6 - - - - - -
64-66 | 4 3 2 1 4 3 2 - - - - - 7 5 - - - - - -
61-63 | 4 3 2 - 4 3 - - - - - - 6 - - - - - - -
58-60 | 3 2 1 - 3 2 - - - - - - 5 - - - - - - -
55-57 | 3 2 - - 2 - - - - - - - - - - - - - - -
52-54 | 3 2 - - - - - - - - - - - - - - - - - -
49-51 | 2 1 - - - - - - - - - - - - - - - - - -
46-48 | 2 - - - - - - - - - - - - - - - - - - -
43-45 | 2 - - - - - - - - - - - - - - - - - - -
40-42 | 1 - - - - - - - - - - - - - - - - - - -
