# Attack Table — Great Sword
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Great Sword
@attack_table:    armory.great_sword
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 06
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 22ES 22ES 24ES 26ES 32ES 32ES 35ES 35ES 36ES 38ES 42ES 42ES 40ES 44ES 45ES 48ES 42ES 45ES 48ES 50ES
145-147 | 21ES 22ES 24ES 26ES 32ES 31ES 34ES 34ES 35ES 37ES 41ES 41ES 39ES 43ES 44ES 47ES 41ES 44ES 47ES 49ES
142-144 | 20ES 21ES 23ES 25ES 31ES 30ES 33ES 33ES 34ES 35ES 39ES 39ES 38ES 42ES 42ES 45ES 39ES 42ES 45ES 47ES
139-141 | 20ES 21ES 22ES 24ES 30ES 29ES 32ES 32ES 33ES 34ES 38ES 38ES 37ES 40ES 41ES 44ES 37ES 40ES 44ES 45ES
136-138 | 19DS 20DS 21DS 23ES 29DS 28ES 31ES 30ES 31ES 32ES 36ES 36ES 36ES 39ES 39ES 42ES 35DS 38DS 42ES 43ES
133-135 | 19DS 19DS 21DS 22DS 28DS 27DS 29DS 29DS 30DS 31DS 35DS 35ES 34DS 37ES 38ES 40ES 33DS 36DS 41ES 41DS
130-132 | 18DS 19DS 20DS 22DS 27DS 27DS 29DS 28DS 29DS 30DS 34DS 34DS 34DS 36DS 37DS 39DS 32DS 34DS 40DS 40DS
127-129 | 18CS 18CS 19DS 20DS 26DS 25DS 27DS 26DS 27DS 28DS 32DS 32DS 32DS 34DS 35DS 37DS 29DS 32DS 38DS 37DS
124-126 | 17CS 17CS 18CS 20DS 25CS 24DS 26DS 25DS 26DS 26DS 30DS 30DS 31DS 33DS 33DS 36DS 28CS 30CS 36DS 35DS
121-123 | 17CS 17CS 18CS 19DS 24CS 23CS 24CS 24DS 25CS 25DS 29DS 29DS 30DS 31DS 32DS 34DS 26CS 28CS 35DS 33CS
118-120 | 16BS 16BS 16CS 17CS 22CS 22CS 23CS 22CS 23CS 23CS 27CS 27DS 28CS 30DS 30DS 32DS 23CS 26CS 33DS 31CS
115-117 | 15BS 15BS 15CS 16CS 21CS 21CS 21CS 21CS 22CS 21CS 25CS 25CS 27CS 28CS 29CS 30CS 22CS 24CS 32CS 29CS
112-114 | 14BS 14BS 15BS 16CS 20BS 19CS 20CS 20CS 21CS 20CS 24CS 24CS 25CS 27CS 27CS 29CS 20BS 22BS 30CS 27CS
109-111 | 14AS 14BS 14BS 15CS 19BS 18BS 19BS 18CS 19BS 18CS 22CS 22CS 24CS 25CS 26CS 27CS 18BS 20BS 29CS 25BS
106-108 | 13AS 13AS 13BS 14BS 18BS 17BS 18BS 17CS 18BS 17BS 21CS 21CS 23CS 24CS 24CS 25CS 16BS 18BS 27CS 23BS
103-105 | 13AS 12AS 12BS 13BS 17AS 16BS 17BS 16BS 17BS 15BS 19BS 19CS 22BS 22CS 23CS 24CS 14BS 16BS 26CS 21BS
100-102 | 12 12AS 12AS 12BS 16AS 15BS 15BS 14BS 15BS 14BS 18BS 18BS 21BS 21BS 21BS 22BS 12AS 14AS 24BS 19BS
97-99 | 12 11 11AS 11BS 15AS 14AS 14BS 13BS 14BS 12BS 16BS 16BS 19BS 19BS 20BS 21BS 10AS 12AS 23BS 18BS
94-96 | 11 10 10AS 10BS 14AS 13AS 13AS 12BS 13AS 11BS 15BS 15BS 18BS 18BS 18BS 19BS 9AS 10AS 21BS 16AS
91-93 | 11 10 9AS 10AS 13 12AS 12AS 11BS 12AS 9AS 13BS 13BS 17BS 17BS 17BS 17BS 7AS 8AS 20BS 14AS
88-90 | 10 9 8 9AS 12 11AS 10AS 9AS 10AS 8AS 12AS 12BS 16AS 15BS 15BS 16BS 5 6 18BS 12AS
85-87 | 10 9 8 8AS 11 10 9AS 8AS 9AS 6AS 10AS 10AS 15AS 14BS 14BS 14BS 3 - 17AS 10AS
82-84 | 9 8 7 7AS 10 9 8 7AS 8 5AS 9AS 9AS 13AS 12AS 12AS 13AS - - 15AS 8
79-81 | 8 7 6 6 9 8 7 5AS 6 3 7AS 7AS 12AS 11AS 11AS 11AS - - 14AS -
76-78 | 8 7 5 5 9 7 6 4AS 5 - 6AS 6AS 11AS 9AS 9AS 9AS - - 12AS -
73-75 | 7 6 5 4 8 6 4 3 4 - 4 4AS 10 8AS 8AS 8AS - - 11AS -
70-72 | 7 5 4 3 7 5 3 - - - - - 8 6AS 6AS 6AS - - 9 -
67-69 | 6 5 3 3 6 4 2 - - - - - 7 5 - - - - - -
64-66 | 6 4 2 - 5 3 - - - - - - 6 - - - - - - -
61-63 | 5 3 2 - 4 2 - - - - - - 5 - - - - - - -
58-60 | 5 3 - - 3 - - - - - - - - - - - - - - -
55-57 | 4 2 - - 2 - - - - - - - - - - - - - - -
52-54 | 4 1 - - - - - - - - - - - - - - - - - -
49-51 | 3 - - - - - - - - - - - - - - - - - - -
46-48 | 2 - - - - - - - - - - - - - - - - - - -
43-45 | 2 - - - - - - - - - - - - - - - - - - -
40-42 | 1 - - - - - - - - - - - - - - - - - - -
