# Attack Table — Guisarme
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Guisarme
@attack_table:    armory.guisarme
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 06
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 11ES 13ES 15ES 17ES 20ES 20ES 23ES 23ES 21ES 23ES 27ES 27ES 25ES 25ES 30ES 33ES 27ES 30ES 33ES 35ES
145-147 | 11ES 13ES 15ES 17ES 20ES 20ES 23ES 23ES 21ES 23ES 27ES 27ES 25ES 25ES 30ES 32ES 26ES 29ES 33ES 34ES
142-144 | 11DS 13DS 15ES 16ES 19ES 19ES 22ES 22ES 20ES 22ES 26ES 26ES 24ES 24ES 29ES 31ES 25ES 28ES 32ES 33ES
139-141 | 11CS 12DS 14DS 16ES 19DS 19DS 21ES 21ES 19ES 21ES 25ES 25ES 24ES 23ES 28ES 30ES 24ES 27ES 31ES 32ES
136-138 | 10CS 12CS 14DS 15DS 18DS 18DS 21DS 20DS 19DS 20DS 24ES 24ES 23ES 23ES 27ES 29ES 23DS 26DS 30ES 31ES
133-135 | 10BS 12CS 13CS 15DS 18CS 18DS 20DS 20DS 18DS 19DS 23DS 23DS 22DS 22DS 26ES 28ES 22DS 25DS 29DS 29DS
130-132 | 10AS 11BS 13CS 14DS 17CS 17DS 19DS 19DS 18DS 19DS 22DS 22DS 22DS 22DS 25DS 28DS 22DS 24DS 28DS 29DS
127-129 | 10AS 11BS 12CS 14CS 17CS 16CS 18CS 18DS 17DS 18DS 21DS 21DS 21DS 21DS 24DS 26DS 20DS 23DS 27DS 27DS
124-126 | 9 11AS 12BS 13CS 16BS 16CS 18CS 17CS 16CS 17CS 20DS 20DS 20DS 20DS 23DS 25DS 19CS 22CS 26DS 26DS
121-123 | 9 10AS 11BS 12CS 15BS 15BS 17CS 16CS 15CS 16CS 19CS 19DS 20CS 19DS 22DS 24DS 18CS 21CS 25DS 25CS
118-120 | 8 9 10AS 11BS 14AS 14BS 16BS 15CS 14CS 15CS 18CS 17CS 18CS 18CS 21DS 23DS 17CS 19CS 23CS 23CS
115-117 | 8 9 10AS 11BS 14AS 13BS 15BS 14CS 14CS 14CS 17CS 16CS 18CS 17CS 20CS 21CS 16BS 18CS 22CS 22CS
112-114 | 8 9 9AS 10BS 13AS 13AS 14BS 14BS 13BS 13BS 16CS 15CS 17CS 17CS 19CS 20CS 14BS 17BS 21CS 21CS
109-111 | 7 8 9 10AS 13 12AS 13BS 13BS 12BS 12BS 15BS 15CS 16BS 16CS 18CS 19CS 13BS 16BS 21CS 19BS
106-108 | 7 8 9 9AS 12 12AS 13AS 12BS 12BS 11BS 14BS 14CS 16BS 15BS 17CS 18CS 12BS 15BS 20CS 18BS
103-105 | 7 8 8 9AS 12 11 12AS 11BS 11AS 10BS 13BS 13BS 15BS 15BS 16CS 17CS 11AS 14BS 19BS 17BS
100-102 | 7 7 8 8AS 11 11 11AS 11AS 10AS 9AS 12BS 12BS 14BS 14BS 15BS 16BS 10AS 12AS 18BS 16BS
97-99 | 6 7 7 8 10 10 11 10AS 10AS 9AS 11BS 11BS 14BS 13BS 14BS 15BS 9AS 11AS 17BS 15AS
94-96 | 6 7 7 7 10 9 10 9AS 9AS 8AS 10AS 10BS 13AS 12BS 13BS 14BS 8AS 10AS 16BS 13AS
91-93 | 6 6 6 6 9 9 9 8AS 8 7AS 9AS 9BS 12AS 12AS 12BS 13BS 7 9AS 15BS 12AS
88-90 | 6 6 6 6 9 8 8 7AS 8 6 8AS 8AS 12AS 11AS 11BS 12BS 6 8AS 14AS 11AS
85-87 | 5 6 5 5 8 8 8 7 7 5 7AS 7AS 11AS 10AS 11AS 11AS 5 7 13AS 10
82-84 | 5 5 5 5 8 7 7 6 6 4 6 6AS 10 10AS 10AS 10AS 4 - 12AS -
79-81 | 5 5 4 4 7 6 6 5 6 4 5 5AS 10 9AS 9AS 9AS - - 11AS -
76-78 | 5 4 4 4 7 6 5 4 5 - 4 4AS 9 8 8AS 8AS - - 10AS -
73-75 | 4 4 3 3 6 5 5 4 4 - 3 3 9 8 7AS 7AS - - 9 -
70-72 | 4 4 3 2 5 5 4 3 4 - - - 8 7 6 6 - - - -
67-69 | 4 3 3 2 5 4 3 2 3 - - - 7 6 5 - - - - -
64-66 | 3 3 2 1 4 3 2 - - - - - 7 5 - - - - - -
61-63 | 3 3 2 - 4 3 - - - - - - 6 - - - - - - -
58-60 | 3 2 1 - 3 2 - - - - - - 5 - - - - - - -
55-57 | 3 2 - - 3 - - - - - - - - - - - - - - -
52-54 | 2 2 - - 2 - - - - - - - - - - - - - - -
49-51 | 2 1 - - - - - - - - - - - - - - - - - -
46-48 | 2 - - - - - - - - - - - - - - - - - - -
43-45 | 2 - - - - - - - - - - - - - - - - - - -
40-42 | 1 - - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
