# Attack Table — Hand Crossbow
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Hand Crossbow
@attack_table:    armory.hand_crossbow
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 05
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 2CP 3CP 3EP 4EP 5EP 5EP 7EP 7EP 4EP 6EP 9EP 9EP 6EP 6EP 10EP 13EP 8EP 10EP 12EP 14EP
145-147 | 2CP 3CP 3EP 4EP 5EP 5EP 7EP 7EP 4EP 6EP 9EP 9EP 6EP 6EP 10EP 13EP 8EP 10EP 12EP 14EP
142-144 | 2BP 3CP 3EP 4EP 5EP 5EP 7EP 7EP 4EP 6EP 9EP 9EP 6EP 6EP 10EP 13EP 8EP 10EP 12EP 14EP
139-141 | 2BP 3BP 3DP 4DP 5DP 5DP 7EP 7EP 4EP 6EP 8EP 8EP 6EP 6EP 10EP 12EP 7DP 9EP 12EP 13EP
136-138 | 2AP 3BP 3DP 4DP 5DP 5DP 7DP 6DP 4DP 6DP 8DP 8EP 6DP 6EP 9EP 12EP 7DP 9DP 11DP 13DP
133-135 | 2AP 3AP 3CP 4DP 5CP 5DP 6DP 6DP 4DP 5DP 8DP 8DP 6DP 6DP 9DP 11DP 7DP 9DP 11DP 12DP
130-132 | 2AP 3AP 3CP 4CP 5CP 5CP 6DP 6DP 4DP 5DP 7DP 7DP 6DP 6DP 9DP 11DP 6CP 8DP 11DP 12DP
127-129 | 2 3AP 3BP 4CP 5CP 4CP 6CP 6DP 4CP 5CP 7DP 7DP 5DP 5DP 8DP 10DP 6CP 8CP 10DP 11CP
124-126 | 2 3 3BP 4CP 4BP 4CP 6CP 5CP 3CP 5CP 7CP 7DP 5CP 5DP 8DP 10DP 5CP 8CP 10CP 11CP
121-123 | 2 3 3AP 3BP 4BP 4BP 5CP 5CP 3CP 4CP 6CP 6CP 5CP 5CP 8CP 9DP 5BP 7CP 10CP 10CP
118-120 | 2 2 2AP 3BP 4AP 4BP 5BP 4CP 3BP 4CP 5CP 5CP 5CP 4CP 7CP 8CP 4BP 6BP 9CP 9CP
115-117 | 2 2 2 3BP 3AP 3BP 4BP 4BP 3BP 3BP 5CP 5CP 4CP 4CP 6CP 8CP 4BP 6BP 8CP 9BP
112-114 | 2 2 2 3AP 3AP 3AP 4BP 4BP 2BP 3BP 5BP 5CP 4BP 4CP 6CP 8CP 4AP 6BP 8BP 8BP
109-111 | 2 2 2 2AP 3 3AP 4AP 4BP 2AP 3BP 4BP 4BP 4BP 4BP 6CP 7CP 3AP 5AP 8BP 8BP
106-108 | 2 2 2 2AP 3 3AP 4AP 3BP 2AP 3AP 4BP 4BP 4BP 4BP 5BP 7BP 3AP 5AP 7BP 7AP
103-105 | 2 2 2 2 3 3 3AP 3AP 2AP 2AP 4BP 4BP 4BP 4BP 5BP 6BP 2 5AP 7BP 7AP
100-102 | 1 2 2 2 3 3 3 3AP 2 2AP 3AP 3BP 4AP 3BP 5BP 6BP 2 4 7AP 6AP
97-99 | 1 2 2 2 3 2 3 3AP 2 2AP 3AP 3AP 3AP 3AP 4BP 5BP 2 4 7AP 6AP
94-96 | 1 2 2 2 2 2 3 2AP 2 2 2AP 3AP 3AP 3AP 4AP 5BP 1 - 6AP 5
91-93 | 1 2 2 2 2 2 3 2 2 1 2AP 2AP 3AP 3AP 4AP 4AP - - 6AP -
88-90 | 1 2 1 2 2 2 2 2 1 1 2 2AP 3 3AP 4AP 4AP - - 6AP -
85-87 | 1 2 1 1 2 2 2 2 1 - 1 1AP 3 3 3AP 3AP - - 5 -
82-84 | 1 1 1 1 2 2 2 1 1 - 1 1 3 3 3AP 3AP - - - -
79-81 | 1 1 1 1 2 2 2 1 1 - - - 3 2 3 2 - - - -
76-78 | 1 1 1 1 2 1 1 - - - - - 2 2 2 2 - - - -
73-75 | 1 1 1 - 2 1 1 - - - - - 2 2 - - - - - -
70-72 | 1 1 1 - 1 1 - - - - - - 2 - - - - - - -
67-69 | 1 1 - - 1 1 - - - - - - 2 - - - - - - -
64-66 | 1 1 - - 1 - - - - - - - - - - - - - - -
61-63 | 1 - - - - - - - - - - - - - - - - - - -
58-60 | 1 - - - - - - - - - - - - - - - - - - -
55-57 | 1 - - - - - - - - - - - - - - - - - - -
