# Attack Table — Heavy Spear
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Heavy Spear
@attack_table:    armory.heavy_spear
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 06
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 16EP 18EP 20EP 22EP 28EP 28EP 31EP 31EP 29EP 31EP 35EP 35EP 30EP 30EP 35EP 38EP 32EP 35EP 38EP 40EP
145-147 | 16EP 18EP 20EP 22EP 28EP 28EP 30EP 30EP 29EP 30EP 34EP 34EP 30EP 30EP 34EP 37EP 31EP 34EP 37EP 39EP
142-144 | 16DP 17EP 19EP 21EP 27EP 27EP 29EP 29EP 28EP 29EP 33EP 33EP 29EP 29EP 33EP 36EP 30EP 33EP 36EP 37EP
139-141 | 15DP 17DP 19DP 20EP 26EP 26EP 28EP 28EP 27EP 28EP 32EP 31EP 28EP 28EP 32EP 34EP 29EP 31EP 35EP 36EP
136-138 | 15CP 16DP 18DP 20DP 25DP 25DP 27DP 27EP 26DP 27EP 30EP 30EP 27DP 27EP 31EP 33EP 27DP 30DP 34EP 34DP
133-135 | 14CP 16CP 17DP 19DP 24DP 24DP 26DP 26DP 25DP 25DP 29DP 29DP 26DP 26DP 30DP 32DP 26DP 28DP 32DP 33DP
130-132 | 14CP 16CP 17CP 18DP 24DP 24DP 26DP 25DP 24DP 25DP 28DP 28DP 26DP 25DP 29DP 31DP 25DP 28DP 31DP 32DP
127-129 | 14BP 15BP 16CP 17CP 23CP 23CP 24DP 24DP 23DP 23DP 27DP 26DP 25DP 24DP 27DP 29DP 23CP 26DP 30DP 30DP
124-126 | 13AP 14BP 15BP 17CP 22CP 22CP 23CP 23DP 22CP 22DP 25DP 25DP 24CP 23DP 26DP 28DP 22CP 24CP 29DP 28CP
121-123 | 13AP 14AP 15BP 16CP 21CP 21CP 22CP 22CP 21CP 21CP 24CP 23CP 23CP 22CP 25CP 26DP 21CP 23CP 27CP 27CP
118-120 | 12 13AP 14BP 15BP 20BP 20CP 21CP 20CP 19CP 19CP 22CP 21CP 21CP 21CP 23CP 24CP 19BP 21CP 26CP 25CP
115-117 | 12 12 13AP 14BP 19BP 19BP 20BP 19CP 18CP 18CP 21CP 20CP 21CP 20CP 22CP 23CP 18BP 20BP 24CP 23CP
112-114 | 11 12 12AP 13BP 18BP 18BP 19BP 18CP 17BP 17CP 20CP 19CP 20BP 19CP 21CP 22CP 16BP 18BP 23CP 21BP
109-111 | 11 11 12AP 12AP 18AP 17BP 18BP 17BP 16BP 15BP 18BP 17CP 19BP 18BP 20CP 20CP 15BP 17BP 22CP 20BP
106-108 | 10 11 11 12AP 17AP 16AP 17BP 16BP 15BP 14BP 17BP 16BP 18BP 17BP 19BP 19BP 14AP 15BP 21BP 18BP
103-105 | 10 10 11 11AP 16AP 15AP 16AP 15BP 14BP 13BP 16BP 14BP 17BP 16BP 18BP 18BP 13AP 14AP 19BP 17BP
100-102 | 9 10 10 10AP 15 14AP 15AP 14BP 13AP 12BP 15BP 13BP 16AP 16BP 17BP 16BP 11AP 13AP 18BP 15AP
97-99 | 9 9 9 9 14 14AP 14AP 13AP 12AP 11AP 13BP 12BP 16AP 15BP 15BP 15BP 10 11AP 17BP 14AP
94-96 | 9 9 9 9 14 13 13AP 12AP 11AP 9AP 12AP 10AP 15AP 14AP 14AP 14BP 9 10AP 16AP 12AP
91-93 | 8 8 8 8 13 12 12 11AP 10AP 8AP 11AP 9AP 14AP 13AP 13AP 12AP 7 8 14AP 11AP
88-90 | 8 8 7 7 12 11 11 10AP 10 7AP 9AP 8AP 13AP 12AP 12AP 11AP 6 7 13AP 9
85-87 | 7 7 7 6 11 10 10 9 9 6 8AP 6AP 12 11AP 11AP 10AP 5 - 12AP -
82-84 | 7 7 6 6 10 9 9 8 8 5 7 5AP 11 10 10AP 8AP - - 11AP -
79-81 | 7 6 5 5 10 9 8 7 7 3 6 3 10 9 8 7AP - - 9 -
76-78 | 6 6 5 4 9 8 7 6 6 - 4 - 10 8 7 5 - - - -
73-75 | 6 5 4 3 8 7 6 4 5 - 3 - 9 7 6 - - - - -
70-72 | 5 5 4 3 7 6 5 3 4 - - - 8 7 5 - - - - -
67-69 | 5 4 3 2 6 5 4 2 - - - - 7 6 - - - - - -
64-66 | 5 4 2 1 5 4 3 - - - - - 6 - - - - - - -
61-63 | 4 3 2 - 5 3 2 - - - - - 5 - - - - - - -
58-60 | 4 3 1 - 4 3 - - - - - - - - - - - - - -
55-57 | 3 2 - - 3 - - - - - - - - - - - - - - -
52-54 | 3 2 - - 2 - - - - - - - - - - - - - - -
49-51 | 3 1 - - - - - - - - - - - - - - - - - -
46-48 | 2 - - - - - - - - - - - - - - - - - - -
43-45 | 2 - - - - - - - - - - - - - - - - - - -
40-42 | 1 - - - - - - - - - - - - - - - - - - -
