# Attack Table — Jitte
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Jitte
@attack_table:    armory.jitte
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 03
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 3EK 5EK 7EK 9EK 10EK 10EK 13EK 13EK 8EK 10EK 14EK 14EK 8EK 8EK 13EK 16EK 9EK 12EK 15EK 17EK
145-147 | 3DK 5DK 7EK 9EK 10EK 10EK 13EK 13EK 8EK 10EK 14EK 14EK 8EK 8EK 13EK 16EK 9EK 12EK 15EK 17EK
142-144 | 3BK 5CK 7DK 9EK 10DK 10DK 13EK 13EK 8EK 10EK 14EK 13EK 8EK 8EK 13EK 16EK 9EK 12EK 15EK 17EK
139-141 | 3AK 5BK 7DK 9DK 10DK 10DK 12DK 12DK 8DK 9EK 13EK 13EK 8EK 8EK 12EK 15EK 9DK 12EK 15EK 16EK
136-138 | 3 5AK 7CK 8DK 9CK 9CK 12DK 12DK 8DK 9DK 13DK 12DK 8DK 8DK 12EK 15EK 8DK 11DK 14EK 16DK
133-135 | 3 5 7BK 8CK 9BK 9CK 12CK 11DK 7DK 9DK 12DK 12DK 8DK 8DK 12DK 14DK 8DK 11DK 14DK 15DK
130-132 | 3 5 6BK 8CK 9BK 9BK 11CK 11DK 7CK 9DK 12DK 12DK 8DK 8DK 12DK 14DK 8DK 11DK 14DK 15DK
127-129 | 3 5 6AK 8BK 9AK 9BK 11BK 11CK 7CK 8CK 11CK 11DK 7CK 7DK 11DK 13DK 7CK 10CK 13DK 14DK
124-126 | 3 5 6AK 7BK 8 8AK 10BK 10CK 7CK 8CK 11CK 10CK 7CK 7CK 11DK 13DK 7CK 10CK 13DK 14CK
121-123 | 3 4 6 7BK 8 8AK 10AK 10BK 6BK 7CK 10CK 10CK 7CK 7CK 10CK 12CK 7BK 10CK 13CK 14CK
118-120 | 2 4 5 6AK 7 7 9AK 9BK 6BK 7BK 9CK 9CK 6CK 6CK 10CK 11CK 6BK 9BK 12CK 13CK
115-117 | 2 4 5 6AK 7 7 9AK 9BK 5BK 6BK 9BK 9CK 6BK 6CK 9CK 11CK 6BK 9BK 12CK 12BK
112-114 | 2 4 5 6 7 7 8 8AK 5AK 6BK 8BK 8BK 6BK 6BK 9CK 10CK 6AK 8BK 11CK 12BK
109-111 | 2 4 5 6 7 6 8 8AK 5AK 6AK 8BK 8BK 6BK 6BK 9BK 10CK 5AK 8BK 11BK 11BK
106-108 | 2 3 4 5 6 6 8 7AK 5AK 5AK 7AK 7BK 6AK 6BK 8BK 9BK 5AK 8AK 11BK 11BK
103-105 | 2 3 4 5 6 6 7 7 4 5AK 7AK 7BK 6AK 6BK 8BK 9BK 5AK 7AK 10BK 10AK
100-102 | 2 3 4 5 6 6 7 6 4 4 6AK 6AK 6AK 5AK 8BK 8BK 4 7AK 10BK 10AK
97-99 | 2 3 4 5 6 5 6 6 4 4 6AK 6AK 5AK 5AK 7AK 8BK 4 7 10BK 10AK
94-96 | 2 3 4 4 5 5 6 6 4 4 6 5AK 5 5AK 7AK 8AK 4 6 9AK 9AK
91-93 | 2 3 4 4 5 5 6 5 3 3 5 5AK 5 5AK 7AK 7AK 4 6 9AK 9
88-90 | 2 3 3 4 5 4 5 5 3 3 5 4 5 5 6AK 7AK 3 6 9AK 8
85-87 | 2 3 3 4 4 4 5 4 3 3 4 4 5 5 6 6AK 3 6 9AK 8
82-84 | 2 3 3 3 4 4 4 4 3 2 4 3 5 4 6 6AK 3 5 8 7
79-81 | 2 2 3 3 4 4 4 4 3 2 3 3 4 4 5 5 2 - 8 -
76-78 | 2 2 3 3 4 3 4 3 2 2 3 2 4 4 5 5 2 - 8 -
73-75 | 2 2 2 3 3 3 3 3 2 1 2 2 4 4 4 4 - - 7 -
70-72 | 2 2 2 2 3 3 3 2 2 1 2 1 4 4 4 4 - - 7 -
67-69 | 2 2 2 2 3 3 3 2 2 - 1 - 4 4 4 3 - - - -
64-66 | 2 2 2 2 3 2 2 2 1 - - - 4 3 3 - - - - -
61-63 | 2 2 2 2 2 2 2 1 1 - - - 4 3 3 - - - - -
58-60 | 1 2 1 1 2 2 1 - - - - - 3 3 - - - - - -
55-57 | 1 2 1 1 2 1 1 - - - - - 3 3 - - - - - -
52-54 | 1 1 1 - 2 1 - - - - - - 3 - - - - - - -
49-51 | 1 1 - - 1 - - - - - - - - - - - - - - -
46-48 | 1 1 - - 1 - - - - - - - - - - - - - - -
43-45 | 1 1 - - - - - - - - - - - - - - - - - -
40-42 | 1 1 - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
34-36 | 1 - - - - - - - - - - - - - - - - - - -
31-33 | 1 - - - - - - - - - - - - - - - - - - -
