# Attack Table — Katana
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Katana
@attack_table:    armory.katana
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 04
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 8ES 8ES 9ES 14ES 13ES 13ES 16ES 16ES 19ES 21ES 25ES 25ES 24ES 24ES 29ES 32ES 26ES 29ES 32ES 34ES
145-147 | 8ES 8ES 9ES 14ES 13ES 13ES 16ES 16ES 19ES 21ES 25ES 25ES 24ES 24ES 29ES 32ES 26ES 29ES 32ES 33ES
142-144 | 8DS 8ES 9ES 14ES 13ES 13ES 16ES 15ES 18ES 20ES 24ES 24ES 23ES 23ES 28ES 31ES 25ES 28ES 31ES 32ES
139-141 | 8DS 8DS 9ES 13ES 12DS 12ES 15ES 15ES 18ES 19ES 23ES 23ES 23ES 23ES 27ES 30ES 24ES 27ES 30ES 31ES
136-138 | 8CS 8DS 9DS 13DS 12DS 12DS 15DS 14ES 17DS 19ES 22ES 22ES 22ES 22ES 26ES 29ES 23DS 26ES 29ES 30ES
133-135 | 8CS 8CS 8DS 12DS 12DS 12DS 14DS 14DS 17DS 18DS 21DS 21ES 22DS 21ES 25ES 28ES 22DS 25DS 28ES 29DS
130-132 | 7CS 7CS 8DS 12DS 12DS 11DS 14DS 14DS 16DS 17DS 21DS 20DS 21DS 21DS 25DS 27DS 21DS 24DS 28DS 29DS
127-129 | 7BS 7BS 8CS 12DS 11CS 11CS 13DS 13DS 15DS 16DS 20DS 19DS 20DS 20DS 24DS 26DS 20DS 23DS 27DS 27DS
124-126 | 7AS 7BS 8CS 11CS 11CS 11CS 13CS 12DS 15CS 16DS 19DS 18DS 20DS 20DS 23DS 25DS 19CS 22DS 26DS 26DS
121-123 | 7AS 7BS 7CS 11CS 10BS 10CS 12CS 12DS 14CS 15CS 18DS 18DS 19DS 19DS 22DS 24DS 18CS 21CS 25DS 25DS
118-120 | 6 6AS 7BS 10CS 10BS 9CS 11CS 11CS 13CS 14CS 17CS 16DS 18CS 18DS 21DS 22DS 17CS 19CS 24DS 24CS
115-117 | 6 6AS 6BS 9CS 9BS 9BS 11CS 10CS 13CS 13CS 16CS 15CS 18CS 17CS 20CS 21DS 16CS 18CS 23CS 23CS
112-114 | 6 6 6BS 9BS 9AS 9BS 10BS 10CS 12BS 12CS 15CS 14CS 17CS 17CS 19CS 20CS 15BS 17CS 22CS 22CS
109-111 | 6 5 6AS 9BS 8AS 8BS 10BS 9CS 11BS 12BS 14CS 14CS 16CS 16CS 18CS 19CS 14BS 16BS 21CS 20CS
106-108 | 6 5 6AS 8BS 8AS 8AS 9BS 9BS 11BS 11BS 13CS 13CS 16BS 15CS 18CS 18CS 13BS 15BS 20CS 19CS
103-105 | 5 5 5AS 8BS 8 7AS 9BS 8BS 10BS 10BS 13BS 12CS 15BS 15CS 17CS 18CS 12BS 14BS 19CS 18BS
100-102 | 5 5 5 7AS 7 7AS 8AS 8BS 10AS 9BS 12BS 11BS 15BS 14BS 16BS 17CS 11AS 13BS 18CS 17BS
97-99 | 5 5 5 7AS 7 7AS 8AS 7BS 9AS 9BS 11BS 10BS 14BS 13BS 15BS 16BS 10AS 12BS 18BS 16BS
94-96 | 5 5 5 6AS 7 6 7AS 7BS 9AS 8AS 10BS 9BS 13BS 13BS 14BS 15BS 9AS 12AS 17BS 15BS
91-93 | 5 4 4 6AS 6 6 7AS 6AS 8AS 7AS 9AS 8BS 13AS 12BS 14BS 14BS 8AS 11AS 16BS 14BS
88-90 | 4 4 4 6 6 6 6 6AS 7 6AS 8AS 7BS 12AS 12BS 13BS 13BS 7AS 10AS 15BS 13AS
85-87 | 4 4 4 5 6 5 6 5AS 7 6AS 8AS 6AS 12AS 11AS 12AS 12BS 6 9AS 14BS 12AS
82-84 | 4 4 4 5 5 5 5 5AS 6 5 7AS 6AS 11AS 10AS 11AS 11BS 5 8 13AS 11AS
79-81 | 4 4 3 4 5 5 5 4 6 4 6AS 5AS 10AS 10AS 10AS 10AS 5 7 13AS 10AS
76-78 | 4 3 3 4 5 4 4 4 5 3 5 4AS 10 9AS 9AS 9AS 4 - 12AS 9AS
