# Attack Table — Knife
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Knife
@attack_table:    armory.knife
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 01
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 2BP 3BP 3CP 4DP 5CP 5DP 7EP 7EP 4EP 6EP 9EP 9EP 6EP 6EP 10EP 13EP 8EP 10EP 12EP 15EP
145-147 | 2AP 3BP 3CP 4DP 5CP 5DP 7EP 7EP 4EP 6EP 9EP 9EP 6EP 6EP 10EP 13EP 8EP 10EP 12EP 15EP
142-144 | 2 3AP 3BP 4DP 5BP 5CP 7DP 7EP 4DP 6EP 9EP 9EP 6EP 6EP 10EP 13EP 8EP 10EP 12EP 14EP
139-141 | 2 3 3BP 4CP 5BP 5CP 7DP 7DP 4DP 6DP 8DP 8EP 6EP 6EP 10EP 12EP 7DP 9EP 11EP 14EP
136-138 | 2 3 3AP 4CP 5AP 5BP 7CP 7DP 4CP 6DP 8DP 8DP 6DP 6DP 9DP 12EP 7DP 9DP 11DP 13DP
133-135 | 2 3 3AP 4BP 5AP 5BP 6CP 6CP 4CP 5CP 8DP 8DP 6DP 6DP 9DP 11DP 7DP 9DP 11DP 13DP
130-132 | 2 3 3 4BP 5 5AP 6BP 6CP 4CP 5CP 8CP 7DP 6DP 6DP 9DP 11DP 7CP 9DP 10DP 13DP
127-129 | 2 3 3 4AP 5 5AP 6AP 6BP 4BP 5CP 7CP 7CP 6CP 5DP 8DP 10DP 6CP 8CP 10DP 12DP
124-126 | 2 3 3 4AP 4 4 6AP 6BP 4AP 5BP 7BP 7CP 5CP 5CP 8CP 10DP 6CP 8CP 10CP 11CP
121-123 | 2 3 3 3AP 4 4 6 5BP 3AP 5BP 6BP 6CP 5CP 5CP 8CP 9CP 5BP 7CP 9CP 11CP
118-120 | 2 2 2 3 4 4 5 5AP 3AP 4AP 6BP 5BP 5CP 5CP 7CP 9CP 5BP 7BP 8CP 10CP
115-117 | 2 2 2 3 4 4 5 5AP 3 4AP 5AP 5BP 4BP 4CP 7CP 8CP 4BP 6BP 8CP 10BP
112-114 | 2 2 2 3 3 3 4 4 3 3AP 5AP 5BP 4BP 4BP 6BP 8CP 4AP 6BP 8BP 9BP
109-111 | 2 2 2 3 3 3 4 4 2 3 5AP 4BP 4BP 4BP 6BP 7BP 4AP 5AP 7BP 9BP
106-108 | 2 2 2 2 3 3 4 4 2 3 4 4AP 4AP 4BP 6BP 7BP 3AP 5AP 7BP 8BP
103-105 | 2 2 2 2 3 3 4 4 2 3 4 4AP 4AP 4AP 5BP 6BP 3 5AP 7BP 8AP
100-102 | 2 2 2 2 3 3 4 3 2 2 4 3AP 4AP 4AP 5AP 6BP 3 4AP 6AP 7AP
97-99 | 1 2 2 2 3 3 3 3 2 2 3 3 4AP 4AP 5AP 5BP 2 4 6AP 7AP
94-96 | 1 2 2 2 3 3 3 3 2 2 3 3 3 3AP 5AP 5AP 2 4 6AP 6AP
91-93 | 1 2 1 2 3 2 3 3 2 2 3 2 3 3 4AP 5AP 2 3 5AP 6
88-90 | 1 2 1 2 2 2 3 3 2 2 2 2 3 3 4AP 4AP 1 3 5AP 5
85-87 | 1 2 1 2 2 2 3 2 2 1 2 2 3 3 4 4AP - - 5 -
82-84 | 1 2 1 2 2 2 2 2 1 1 2 1 3 3 3 3 - - 4 -
79-81 | 1 2 1 1 2 2 2 2 1 - 1 - 3 3 3 3 - - - -
76-78 | 1 1 1 1 2 2 2 2 1 - 1 - 3 3 3 2 - - - -
73-75 | 1 1 - 1 2 2 2 1 1 - - - 3 2 2 - - - - -
70-72 | 1 1 - 1 2 1 1 1 - - - - 2 2 2 - - - - -
67-69 | 1 1 - - 1 1 1 - - - - - 2 2 - - - - - -
64-66 | 1 1 - - 1 1 1 - - - - - 2 - - - - - - -
61-63 | 1 1 - - 1 1 - - - - - - - - - - - - - -
58-60 | 1 1 - - 1 - - - - - - - - - - - - - - -
55-57 | 1 - - - - - - - - - - - - - - - - - - -
52-54 | 1 - - - - - - - - - - - - - - - - - - -
49-51 | 1 - - - - - - - - - - - - - - - - - - -
