# Attack Table — Kyotetsu-shoge
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Kyotetsu-shoge
@attack_table:    armory.kyotetsu_shoge
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 07
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 4CS 6CS 8ES 10ES 9ES 9ES 12ES 12ES 9ES 11ES 13ES 13ES 12ES 12ES 17ES 20ES 14ES 17ES 20ES 22ES
145-147 | 4BS 6CS 8ES 10ES 9ES 9ES 12ES 12ES 9ES 11ES 13ES 13ES 12ES 12ES 17ES 20ES 14ES 17ES 20ES 22ES
142-144 | 4AS 6BS 8DS 10ES 9DS 9DS 12ES 12ES 9ES 11ES 13ES 12ES 12ES 12ES 16ES 19ES 13ES 16ES 19ES 21ES
139-141 | 4AS 6BS 8DS 10DS 9DS 9DS 11DS 11ES 9DS 10DS 12ES 12ES 12ES 12ES 16ES 18ES 13ES 16ES 19ES 20ES
136-138 | 4 6AS 8CS 9DS 8CS 8CS 11DS 11DS 8DS 10DS 12DS 11DS 11DS 11ES 15ES 18ES 12DS 15DS 18ES 19DS
133-135 | 4 6AS 7BS 9CS 8BS 8CS 11CS 10DS 8DS 9DS 11DS 11DS 11DS 11DS 15DS 17DS 12DS 14DS 18DS 19DS
130-132 | 4 6 7BS 9CS 8BS 8CS 10CS 10DS 8CS 9DS 11DS 11DS 11DS 11DS 15DS 17DS 11DS 14DS 17DS 18DS
127-129 | 4 5 7AS 8CS 8AS 8BS 10BS 10CS 7CS 8CS 10CS 10DS 10DS 10DS 14DS 16DS 11CS 13CS 17DS 17DS
124-126 | 4 5 7AS 8BS 7AS 7AS 9BS 9CS 7BS 8CS 10CS 9CS 10CS 10DS 13DS 15DS 10CS 13CS 16DS 16CS
121-123 | 4 5 6 8BS 7 7AS 9BS 9CS 7BS 8BS 9CS 9CS 10CS 10CS 13CS 14DS 10CS 12CS 15CS 16CS
118-120 | 3 5 6 7AS 6 6AS 8AS 8BS 6BS 7BS 8BS 8CS 9CS 9CS 12CS 13CS 8BS 11BS 14CS 15CS
115-117 | 3 4 5 7AS 6 6 8AS 7BS 6AS 6BS 8BS 7CS 9CS 9CS 11CS 13CS 8BS 10BS 14CS 14BS
112-114 | 3 4 5 6AS 6 6 7 7BS 5AS 6AS 7BS 7BS 8BS 8CS 11CS 12CS 7BS 10BS 13CS 13BS
109-111 | 3 4 5 6 6 6 7 7AS 5AS 5AS 7BS 6BS 8BS 8BS 10CS 11CS 7AS 9BS 13BS 12BS
106-108 | 3 4 5 6 5 5 7 6AS 5 5AS 6AS 6BS 8BS 8BS 10BS 10BS 6AS 9AS 12BS 12BS
103-105 | 3 4 5 5 5 5 6 6AS 5 5AS 6AS 5BS 8BS 7BS 9BS 10BS 6AS 8AS 12BS 11AS
100-102 | 3 4 4 5 5 5 6 5 4 4 5AS 5AS 7AS 7BS 9BS 9BS 5 7AS 11BS 10AS
97-99 | 3 3 4 5 5 4 5 5 4 4 5 4AS 7AS 7AS 8BS 8BS 5 7 11BS 9AS
94-96 | 3 3 4 4 4 4 5 5 4 3 4 4AS 7AS 6AS 8AS 8BS 4 6 10AS 9AS
91-93 | 2 3 4 4 4 4 5 4 3 3 4 3AS 6AS 6AS 7AS 7AS 3 6 9AS 8
88-90 | 2 3 3 4 4 4 4 4 3 2 3 3AS 6 6AS 7AS 6AS 3 5 9AS 7
85-87 | 2 3 3 3 4 3 4 3 3 2 3 2 6 5 6AS 6AS 2 - 8AS -
82-84 | 2 3 3 3 3 3 3 3 2 2 2 2 5 5 5AS 5AS - - 8 -
79-81 | 2 3 3 3 3 3 3 3 2 1 2 1 5 5 5 4AS - - 7 -
76-78 | 2 2 2 2 3 3 3 2 2 - 1 - 5 4 4 4 - - - -
73-75 | 2 2 2 2 3 2 2 2 2 - 1 - 5 4 4 3 - - - -
70-72 | 2 2 2 2 2 2 2 1 1 - - - 4 4 3 - - - - -
67-69 | 2 2 2 1 2 2 2 - - - - - 4 3 - - - - - -
64-66 | 2 2 1 1 2 2 1 - - - - - 4 3 - - - - - -
61-63 | 2 2 1 - 2 1 - - - - - - 3 - - - - - - -
58-60 | 2 2 1 - 1 1 - - - - - - 3 - - - - - - -
55-57 | 1 1 - - 1 - - - - - - - - - - - - - - -
52-54 | 1 1 - - - - - - - - - - - - - - - - - -
49-51 | 1 1 - - - - - - - - - - - - - - - - - -
46-48 | 1 - - - - - - - - - - - - - - - - - - -
43-45 | 1 - - - - - - - - - - - - - - - - - - -
