# Attack Table — Lasso
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Lasso
@attack_table:    armory.lasso
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 07
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 1EG 2EG 3EG 4EG 4EG 4EG 5EG 5EG 3EG 4EG 6EG 6EG 4EG 5EG 6EG 7EG 5EG 6EG 6EG 7EG
145-147 | 1EG 2EG 3EG 4EG 4EG 4EG 5EG 5EG 3EG 4EG 6EG 6EG 4EG 5EG 6EG 7EG 5EG 6EG 6EG 7EG
142-144 | 1EG 2EG 3EG 4EG 4EG 4EG 5EG 5EG 3EG 4EG 6EG 6EG 4EG 5EG 6EG 7EG 5EG 6EG 6EG 7EG
139-141 | 1EG 2EG 3EG 4EG 4EG 4EG 5EG 5EG 3EG 4EG 6EG 6DG 4EG 5EG 6EG 7EG 5DG 5DG 6EG 6DG
136-138 | 1EG 2EG 3EG 4DG 4EG 4EG 5DG 5DG 3DG 4DG 5DG 5DG 4EG 5EG 6DG 6DG 4DG 5DG 5DG 6DG
133-135 | 1DG 2DG 3DG 4DG 4DG 4DG 5DG 4DG 3DG 4DG 5DG 5DG 4DG 5DG 5DG 6DG 4DG 5DG 5DG 5CG
130-132 | 1DG 2DG 3DG 4DG 4DG 4DG 4DG 4DG 3DG 3DG 5DG 5DG 4DG 4DG 5DG 6DG 4DG 5CG 5DG 5CG
127-129 | 1DG 2DG 3DG 3DG 4DG 4DG 4DG 4DG 3DG 3CG 5CG 4CG 4DG 4DG 5DG 5CG 4CG 4CG 5CG 5CG
124-126 | 1DG 2DG 3DG 3CG 3DG 3DG 4CG 4CG 3CG 3CG 4CG 4CG 3DG 4DG 5CG 5CG 3CG 4BG 4CG 4BG
121-123 | 1DG 2DG 3CG 3CG 3DG 3CG 4CG 4CG 3CG 3CG 4CG 4BG 3CG 4CG 4CG 5CG 3BG 3BG 4CG 4BG
118-120 | 1CG 2CG 2CG 3CG 3CG 3CG 3CG 3CG 2CG 2BG 3BG 3BG 3CG 3CG 4CG 4BG 2BG 3BG 3BG 3AG
115-117 | 1CG 2CG 2CG 2CG 3CG 3CG 3CG 3BG 2BG 2BG 3BG 3BG 3CG 3CG 3CG 4BG 2BG 2AG 3BG 3AG
112-114 | 1CG 1CG 2CG 2BG 3CG 2CG 3BG 3BG 2BG 2BG 3BG 2AG 2CG 3CG 3BG 3BG 2AG 2AG 3BG 2AG
109-111 | 1CG 1CG 2BG 2BG 2CG 2BG 3BG 2BG 2BG 2BG 2BG 2AG 2BG 3BG 3BG 3BG 2AG 2AG 2AG 2
106-108 | 1CG 1BG 2BG 2BG 2BG 2BG 2BG 2BG 2BG 1AG 2AG 2AG 2BG 2BG 3BG 3AG 1AG 1 2AG 1
103-105 | 1BG 1BG 2BG 2AG 2BG 2BG 2BG 2AG 1AG 1AG 2AG 1 2BG 2BG 2BG 2AG 1 1 2AG 1
100-102 | 1BG 1BG 2BG 2AG 2BG 2BG 2AG 2AG 1AG 1AG 1AG 1 2BG 2BG 2AG 2AG - - 1 -
97-99 | 1BG 1BG 1AG 1AG 2BG 2BG 2AG 2AG 1AG - 1 - 2BG 2AG 2AG 2 - - 1 -
94-96 | 1BG 1BG 1AG 1AG 2BG 2AG 2AG 1AG 1AG - - - 2AG 2AG 2AG 1 - - - -
91-93 | 1BG 1AG 1AG 1 2AG 1AG 1AG 1 1 - - - 2AG 2AG 1AG 1 - - - -
88-90 | 1AG 1AG 1AG 1 2AG 1AG 1AG 1 - - - - 1AG 1AG 1 - - - - -
85-87 | 1AG 1AG 1 - 1AG 1AG 1 - - - - - 1AG 1 - - - - - -
82-84 | 1AG 1AG - - 1AG 1 - - - - - - 1 1 - - - - - -
79-81 | 1AG 1 - - 1AG - - - - - - - 1 - - - - - - -
76-78 | 1AG - - - 1 - - - - - - - - - - - - - - -
73-75 | 1AG - - - - - - - - - - - - - - - - - - -
