# Attack Table — Long Scimitar
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Long Scimitar
@attack_table:    armory.long_scimitar
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 05
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 10ES 10ES 11ES 16ES 16ES 16ES 19ES 19ES 24ES 26ES 30ES 30ES 28ES 28ES 33ES 36ES 30ES 33ES 36ES 38ES
145-147 | 10ES 10ES 11ES 16ES 16ES 16ES 19ES 19ES 24ES 25ES 29ES 29ES 28ES 28ES 32ES 35ES 29ES 32ES 35ES 37ES
142-144 | 10DS 10ES 11ES 15ES 16ES 16ES 18ES 18ES 23ES 24ES 28ES 28ES 27ES 27ES 31ES 34ES 28ES 31ES 34ES 36ES
139-141 | 10DS 10DS 11DS 15ES 15DS 15DS 18ES 18ES 22ES 23ES 27ES 27ES 26ES 26ES 30ES 33ES 26ES 29ES 33ES 34ES
136-138 | 10CS 9DS 10DS 14DS 15DS 15DS 17DS 17DS 21DS 22DS 26ES 26ES 25ES 25ES 29ES 31ES 25DS 28DS 32ES 33DS
133-135 | 9CS 9CS 10DS 14DS 14DS 14DS 16DS 16DS 20DS 21DS 25DS 25DS 24DS 24DS 28DS 30DS 24DS 27DS 31DS 31DS
130-132 | 9CS 9CS 10DS 14DS 14CS 14DS 16DS 16DS 20DS 20DS 24DS 24DS 24DS 23DS 27DS 29DS 23DS 26DS 30DS 30DS
127-129 | 9BS 9BS 9CS 13DS 13CS 13CS 15CS 15DS 18DS 19DS 22DS 22DS 23DS 22DS 26DS 28DS 21CS 24DS 28DS 28DS
124-126 | 9AS 8BS 9CS 12CS 13BS 13CS 15CS 14CS 18CS 18CS 21DS 21DS 22DS 21DS 25DS 26DS 20CS 23CS 27DS 27CS
121-123 | 8AS 8BS 9BS 12CS 12BS 12BS 14CS 14CS 17CS 17CS 20CS 20DS 21CS 21DS 24DS 25DS 18CS 21CS 26DS 25CS
118-120 | 8AS 7AS 8BS 11CS 11BS 11BS 13BS 12CS 15CS 15CS 18CS 18CS 20CS 19CS 22CS 23CS 17CS 19CS 24CS 23CS
115-117 | 7 7AS 7BS 10BS 11AS 11BS 12BS 12CS 15BS 14CS 17CS 17CS 19CS 18CS 21CS 22CS 15BS 18BS 23CS 22CS
112-114 | 7 7 7AS 10BS 11AS 10AS 12BS 11BS 14BS 13BS 16CS 16CS 18CS 17CS 20CS 21CS 14BS 17BS 22CS 20BS
109-111 | 7 7 7AS 9BS 10AS 10AS 11BS 11BS 13BS 12BS 15BS 15CS 17BS 17CS 19CS 20CS 13BS 15BS 21CS 19BS
106-108 | 7 6 6AS 9BS 10 9AS 10AS 10BS 12BS 11BS 14BS 14BS 16BS 16BS 18CS 18CS 11AS 14BS 20BS 17BS
103-105 | 6 6 6AS 8AS 9 9AS 10AS 9BS 11AS 10BS 13BS 12BS 16BS 15BS 16BS 17BS 10AS 12AS 18BS 16BS
100-102 | 6 6 6 8AS 9 8 9AS 9AS 10AS 8AS 11BS 11BS 15BS 14BS 15BS 16BS 8AS 11AS 17BS 14AS
97-99 | 6 6 6 7AS 8 8 9 8AS 9AS 7AS 10BS 10BS 14AS 13BS 14BS 15BS 7AS 10AS 16BS 13AS
94-96 | 6 5 5 7AS 8 7 8 7AS 8AS 6AS 9AS 9BS 13AS 12BS 13BS 13BS 6 8AS 15BS 11AS
91-93 | 5 5 5 6 7 7 7 7AS 8 5AS 8AS 8AS 12AS 11AS 12AS 12BS 4 7 14AS 10AS
88-90 | 5 5 5 6 7 6 7 6AS 7 4 7AS 7AS 11AS 10AS 11AS 11AS - - 13AS -
85-87 | 5 4 4 5 7 6 6 5 6 3 6AS 5AS 11AS 9AS 10AS 10AS - - 11AS -
82-84 | 5 4 4 5 6 6 5 5 5 - 5 4AS 10 9AS 9AS 8AS - - 10AS -
79-81 | 5 4 4 4 6 5 5 4 4 - 3 3 9 8 8AS 7AS - - 9 -
76-78 | 4 4 3 4 5 5 4 3 3 - - - 8 7 6 6AS - - - -
73-75 | 4 3 3 3 5 4 4 3 - - - - 7 6 5 - - - - -
70-72 | 4 3 3 3 4 4 3 2 - - - - 6 5 - - - - - -
67-69 | 4 3 2 2 4 3 2 - - - - - 6 - - - - - - -
64-66 | 3 3 2 2 3 3 - - - - - - - - - - - - - -
61-63 | 3 2 2 1 3 2 - - - - - - - - - - - - - -
58-60 | 3 2 1 - 2 - - - - - - - - - - - - - - -
55-57 | 3 2 1 - 2 - - - - - - - - - - - - - - -
52-54 | 2 2 - - - - - - - - - - - - - - - - - -
49-51 | 2 1 - - - - - - - - - - - - - - - - - -
46-48 | 2 1 - - - - - - - - - - - - - - - - - -
43-45 | 2 - - - - - - - - - - - - - - - - - - -
40-42 | 1 - - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
