# Attack Table — Long Sword
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Long Sword
@attack_table:    armory.long_sword
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 03
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 8ES 10ES 12ES 14ES 15ES 15ES 18ES 18ES 16ES 18ES 22ES 22ES 20ES 20ES 24ES 28ES 22ES 25ES 28ES 30ES
145-147 | 8ES 10ES 12ES 14ES 15ES 15ES 18ES 18ES 16ES 18ES 22ES 22ES 20ES 20ES 24ES 28ES 22ES 25ES 28ES 30ES
142-144 | 8DS 10ES 12ES 14ES 15ES 15ES 17ES 17ES 16ES 17ES 21ES 21ES 20ES 19ES 23ES 27ES 21ES 24ES 27ES 29ES
139-141 | 8DS 10DS 11DS 13ES 14DS 14ES 17ES 17ES 15ES 17ES 20ES 20ES 19ES 19ES 22ES 26ES 20ES 23ES 26ES 28ES
136-138 | 8CS 9DS 11DS 13DS 14DS 14DS 16DS 16ES 15DS 16ES 20ES 19ES 19ES 18ES 22ES 25ES 19DS 22DS 25ES 27ES
133-135 | 8CS 9CS 11DS 12DS 13DS 13DS 16DS 16DS 14DS 15DS 19DS 19ES 18DS 18DS 21ES 24ES 19DS 21DS 25DS 26DS
130-132 | 7CS 9CS 11DS 12DS 13DS 13DS 15DS 15DS 14DS 15DS 18DS 18DS 18DS 18DS 21DS 24DS 18DS 21DS 24DS 25DS
127-129 | 7BS 9BS 10CS 12DS 13CS 12CS 15DS 14DS 13DS 14DS 17DS 17DS 17DS 17DS 20DS 22DS 17DS 20DS 23DS 24DS
124-126 | 7AS 8BS 10CS 11CS 12CS 12CS 14CS 14DS 13CS 14DS 17DS 16DS 17DS 16DS 19DS 22DS 16CS 19CS 22DS 23DS
121-123 | 7AS 8BS 9BS 11CS 12BS 12CS 14CS 13CS 12CS 13CS 16CS 16DS 16CS 16DS 18DS 21DS 15CS 18CS 22DS 22CS
118-120 | 6 7AS 9BS 10CS 11BS 11BS 12CS 12CS 11CS 12CS 15CS 14DS 15CS 15CS 17DS 19DS 14CS 17CS 20CS 20CS
115-117 | 6 7AS 8BS 9BS 10BS 10BS 12BS 12CS 11CS 11CS 14CS 14CS 15CS 14CS 17CS 19CS 13CS 16CS 20CS 19CS
112-114 | 6 7 8AS 9BS 10AS 10BS 11BS 11CS 10BS 11CS 13CS 13CS 14CS 14CS 16CS 18CS 13BS 15BS 19CS 19CS
109-111 | 6 7 8AS 8BS 10AS 9BS 11BS 10BS 10BS 10BS 12CS 12CS 14CS 13CS 15CS 17CS 12BS 14BS 18CS 18BS
106-108 | 5 6 7AS 8BS 9AS 9AS 10BS 10BS 9BS 9BS 12BS 11CS 13BS 13CS 15CS 16CS 11BS 13BS 17CS 17BS
103-105 | 5 6 7 8AS 9 9AS 10AS 9BS 9BS 9BS 11BS 11CS 13BS 12BS 14CS 15CS 10AS 13BS 17BS 16BS
100-102 | 5 6 7 7AS 8 8AS 9AS 9BS 8AS 8BS 10BS 10BS 12BS 12BS 13BS 14BS 9AS 12AS 16BS 15BS
97-99 | 5 6 6 7AS 8 8 9AS 8BS 8AS 7AS 10BS 9BS 12BS 11BS 13BS 13BS 9AS 11AS 15BS 14BS
94-96 | 5 5 6 6AS 8 7 8AS 7AS 7AS 7AS 9AS 8BS 11AS 11BS 12BS 13BS 8AS 10AS 14BS 13AS
91-93 | 5 5 6 6 7 7 7 7AS 7AS 6AS 8AS 8BS 11AS 10BS 11BS 12BS 7 9AS 14BS 12AS
88-90 | 4 5 5 6 7 6 7 6AS 6 6AS 7AS 7BS 10AS 10AS 11BS 11BS 6 8AS 13AS 11AS
85-87 | 4 5 5 5 6 6 6 6AS 6 5 7AS 6AS 10AS 9AS 10AS 10BS 5 8 12AS 10AS
82-84 | 4 4 5 5 6 5 6 5 5 4 6AS 5AS 9AS 9AS 9AS 9AS 5 7 11AS 9
79-81 | 4 4 4 4 6 5 5 5 5 4 5 5AS 9 8AS 8AS 8AS 4 6 11AS 8
76-78 | 4 4 4 4 5 5 5 4 4 3 4 4AS 8 7AS 8AS 7AS 3 - 10AS -
73-75 | 4 4 3 3 5 4 4 3 4 2 4 3AS 8 7 7AS 7AS - - 9AS -
70-72 | 3 3 3 3 4 4 4 3 3 - 3 2 7 6 6 6AS - - 8 -
67-69 | 3 3 3 3 4 3 3 2 3 - 2 - 7 6 6 5 - - - -
64-66 | 3 3 2 2 3 3 2 2 2 - - - 6 5 5 4 - - - -
61-63 | 3 3 2 2 3 2 2 1 2 - - - 6 5 4 - - - - -
58-60 | 3 2 2 1 3 2 1 - - - - - 5 4 - - - - - -
55-57 | 2 2 1 - 2 2 - - - - - - 5 - - - - - - -
52-54 | 2 2 1 - 2 1 - - - - - - 4 - - - - - - -
49-51 | 2 2 - - 1 - - - - - - - - - - - - - - -
46-48 | 2 1 - - 1 - - - - - - - - - - - - - - -
43-45 | 2 1 - - - - - - - - - - - - - - - - - -
40-42 | 2 - - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
34-36 | 1 - - - - - - - - - - - - - - - - - - -
31-33 | 1 - - - - - - - - - - - - - - - - - - -
