# Attack Table — Lucerne Hammer
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Lucerne Hammer
@attack_table:    armory.lucerne_hammer
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 07
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 15EP 17EP 19EP 21EP 24EP 24EP 27EP 27EP 24EP 26EP 30EP 30EP 25EP 25EP 30EP 33EP 28EP 31EP 34EP 36EP
145-147 | 15EP 17EP 19EP 21EP 24EP 24EP 27EP 27EP 24EP 25EP 29EP 29EP 25EP 25EP 30EP 32EP 27EP 30EP 33EP 35EP
142-144 | 15DP 17DP 18EP 20EP 23EP 23EP 26EP 26EP 23EP 24EP 28EP 28EP 24EP 24EP 29EP 31EP 26EP 29EP 32EP 34EP
139-141 | 14DP 16DP 18DP 19EP 22DP 22DP 25EP 25EP 22EP 23EP 27EP 27EP 23EP 23EP 28EP 30EP 25EP 28EP 31EP 32EP
136-138 | 14CP 16CP 17DP 19DP 22DP 22DP 24DP 24DP 21DP 22DP 26EP 26EP 23EP 23EP 27EP 29EP 24DP 27DP 30EP 31DP
133-135 | 14BP 15CP 17DP 18DP 21DP 21DP 23DP 23DP 20DP 21DP 25DP 25DP 22DP 22DP 26DP 28DP 23DP 25DP 29DP 30DP
130-132 | 13BP 15CP 16CP 18DP 21CP 20DP 23DP 22DP 20DP 21DP 24DP 24DP 22DP 21DP 25DP 27DP 22DP 25DP 28DP 29DP
127-129 | 13AP 14BP 15CP 17CP 20CP 19CP 21CP 21DP 19CP 19DP 23DP 22DP 21DP 20DP 24DP 26DP 21DP 23DP 27DP 27DP
124-126 | 12AP 14AP 15BP 16CP 19BP 19CP 20CP 20CP 18CP 18CP 22DP 21DP 20DP 20DP 23DP 25DP 19CP 22CP 26DP 25CP
121-123 | 12 13AP 14BP 15CP 18BP 18BP 20CP 19CP 17CP 17CP 21CP 20DP 19CP 19CP 22DP 23DP 18CP 20CP 25CP 24CP
118-120 | 11 12 13BP 14BP 17BP 17BP 18BP 18CP 16CP 16CP 19CP 18CP 18CP 18CP 20CP 22CP 17CP 19CP 23CP 22CP
115-117 | 11 12 13AP 13BP 16AP 16BP 17BP 17CP 15BP 15CP 18CP 17CP 17CP 17CP 19CP 21CP 16BP 17BP 22CP 21CP
112-114 | 11 11 12AP 13BP 16AP 15AP 16BP 16BP 14BP 14BP 17CP 16CP 17CP 16CP 18CP 20CP 14BP 16BP 21CP 19BP
109-111 | 10 11 11AP 12BP 15AP 14AP 16BP 15BP 14BP 13BP 16BP 15CP 16BP 15CP 17CP 19CP 13BP 15BP 20CP 18BP
106-108 | 10 10 11 11AP 14 14AP 15AP 14BP 13AP 12BP 15BP 14BP 15BP 15BP 17BP 17BP 12BP 14BP 19BP 17BP
103-105 | 9 10 10 11AP 14 13 14AP 13BP 12AP 11BP 14BP 13BP 15BP 14BP 16BP 16BP 11AP 13AP 18BP 15BP
100-102 | 9 9 10 10AP 13 12 13AP 12AP 11AP 10AP 13BP 12BP 14BP 13BP 15BP 15BP 10AP 11AP 16BP 14AP
97-99 | 9 9 9 9 12 12 12 11AP 10AP 9AP 11AP 10BP 13AP 13BP 14BP 14BP 9AP 10AP 15BP 13AP
94-96 | 8 9 8 9 11 11 11 10AP 10 8AP 10AP 9BP 12AP 12AP 13BP 13BP 8 9AP 14AP 11AP
91-93 | 8 8 8 8 11 10 10 9AP 9 7AP 9AP 8AP 12AP 11AP 12AP 12AP 6 8 13AP 10AP
88-90 | 8 8 7 7 10 9 9 8 8 6 8AP 7AP 11AP 10AP 11AP 11AP 5 6 12AP 8
85-87 | 7 7 7 7 9 9 9 8 7 5 7 6AP 10AP 10AP 10AP 10AP 4 - 11AP -
82-84 | 7 7 6 6 9 8 8 7 6 4 6 5AP 10 9AP 9AP 8AP 3 - 10AP -
79-81 | 6 6 6 5 8 7 7 6 5 3 5 4AP 9 8 8AP 7AP - - 9 -
76-78 | 6 6 5 4 7 6 6 5 5 2 4 2 8 7 7 6 - - - -
73-75 | 6 5 4 4 7 6 5 4 4 - 3 - 8 7 6 5 - - - -
70-72 | 5 5 4 3 6 5 4 3 3 - - - 7 6 5 4 - - - -
67-69 | 5 4 3 2 5 4 3 2 2 - - - 6 5 4 - - - - -
64-66 | 5 4 3 2 4 3 2 1 - - - - 5 4 - - - - - -
61-63 | 4 3 2 1 4 3 2 - - - - - 5 - - - - - - -
58-60 | 4 3 1 - 3 2 - - - - - - 4 - - - - - - -
55-57 | 3 2 - - 2 1 - - - - - - - - - - - - - -
52-54 | 3 2 - - 2 - - - - - - - - - - - - - - -
49-51 | 3 1 - - 1 - - - - - - - - - - - - - - -
46-48 | 2 1 - - - - - - - - - - - - - - - - - -
43-45 | 2 - - - - - - - - - - - - - - - - - - -
40-42 | 2 - - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
