# Attack Table — Man Catcher
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Man Catcher
@attack_table:    armory.man_catcher
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 06
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 4EG 6EG 8EG 10EG 11EG 11EG 14EG 14EG 9EG 11EG 15EG 16EG 11EG 11EG 16EG 20EG 14EG 17EG 20EG 22EG
145-147 | 4EG 6EG 8EG 10EG 11EG 11EG 14EG 14EG 9EG 11EG 15EG 16EG 11EG 11EG 16EG 20EG 14EG 17EG 20EG 22EG
142-144 | 4EG 6EG 8EG 10EG 11EG 11EG 14EG 14EG 9EG 11EG 14EG 15EG 11EG 11EG 16EG 19EG 13EG 16EG 19EG 21EG
139-141 | 4DG 6DG 8DG 10DG 11DG 10DG 13DG 13DG 9DG 10DG 14DG 15DG 11DG 11DG 15DG 18DG 13DG 16DG 19DG 20DG
136-138 | 4DG 6DG 8DG 9DG 10DG 10DG 13DG 13DG 8DG 10DG 13DG 14DG 10DG 10DG 15DG 18DG 12DG 15DG 18DG 19DG
133-135 | 4DG 6DG 7DG 9DG 10DG 10DG 12DG 12DG 8DG 9DG 13DG 13DG 10DG 10DG 14DG 17DG 12DG 14DG 18DG 19DG
130-132 | 4DG 6DG 7DG 9DG 10DG 10DG 12DG 12DG 8DG 9DG 12DG 13DG 10DG 10DG 14DG 17DG 11DG 14CG 17DG 18CG
127-129 | 4CG 5CG 7CG 8CG 9CG 9CG 11CG 11CG 7CG 8CG 12CG 12CG 10CG 10CG 13CG 16CG 11CG 13CG 17CG 17CG
124-126 | 4CG 5CG 7CG 8CG 9CG 9CG 11CG 11CG 7CG 8CG 11CG 11CG 9CG 9CG 13CG 15CG 10CG 13CG 16CG 16CG
121-123 | 4BG 5BG 7BG 8BG 9BG 8BG 10BG 10BG 7BG 8BG 10BG 11BG 9BG 9BG 12BG 14BG 10BG 12BG 15BG 16BG
118-120 | 3BG 5BG 6BG 7BG 8BG 8BG 9BG 9BG 6BG 7BG 9BG 10BG 8BG 8BG 11BG 13BG 8BG 11BG 14BG 15BG
115-117 | 3BG 4BG 6BG 7BG 8BG 7BG 9BG 9BG 6BG 6BG 9BG 9BG 8BG 8BG 11BG 13BG 8BG 10BG 14BG 14BG
112-114 | 3AG 4AG 5AG 6AG 7AG 7AG 8AG 8AG 5AG 6AG 8AG 8AG 8AG 8AG 10AG 12AG 7AG 10AG 13AG 13AG
109-111 | 3AG 4AG 5AG 6AG 7AG 7AG 8AG 8AG 5AG 5AG 8AG 8AG 8AG 7AG 10AG 11AG 7AG 9AG 13AG 12AG
106-108 | 3AG 4AG 5AG 6AG 7AG 6AG 8AG 7AG 5AG 5AG 7AG 7AG 7AG 7AG 9AG 10AG 6AG 9AG 12AG 12AG
103-105 | 3AG 4AG 5 6 6 6 7 7 5 5 7 6 7 7 9 10 6 8 12 11
100-102 | 3 4 4 5 6 6 7 6 4 4 6 6 7 6 8 9 5 7 11 10
97-99 | 3 4 4 5 6 5 6 6 4 4 5 5 6 6 8 8 5 7 11 9
94-96 | 3 3 4 5 5 5 6 5 4 3 5 4 6 6 7 8 4 6 10 9
91-93 | 3 3 4 4 5 5 5 5 3 3 4 4 6 6 7 7 3 6 9 8
88-90 | 2 3 4 4 5 4 5 4 3 2 4 3 6 5 6 6 3 5 9 7
85-87 | 2 3 3 4 4 4 4 4 3 2 3 3 5 5 6 6 2 - 8 -
82-84 | 2 3 3 3 4 4 4 3 2 2 3 2 5 5 5 5 - - 8 -
79-81 | 2 3 3 3 4 3 3 3 2 1 2 1 5 5 5 4 - - 7 -
76-78 | 2 3 3 3 3 3 3 2 2 - 2 - 5 4 4 4 - - - -
73-75 | 2 2 2 3 3 3 3 2 2 - 1 - 4 4 4 3 - - - -
70-72 | 2 2 2 2 3 2 2 1 1 - - - 4 4 3 - - - - -
67-69 | 2 2 2 2 2 2 2 - - - - - 4 3 - - - - - -
64-66 | 2 2 2 2 2 2 1 - - - - - 4 3 - - - - - -
61-63 | 2 2 2 1 2 1 - - - - - - 3 - - - - - - -
58-60 | 2 2 1 1 2 1 - - - - - - 3 - - - - - - -
55-57 | 2 2 1 - 1 - - - - - - - - - - - - - - -
52-54 | 1 1 - - - - - - - - - - - - - - - - - -
49-51 | 1 1 - - - - - - - - - - - - - - - - - -
46-48 | 1 1 - - - - - - - - - - - - - - - - - -
43-45 | 1 1 - - - - - - - - - - - - - - - - - -
40-42 | 1 - - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
34-36 | 1 - - - - - - - - - - - - - - - - - - -
